법인등록번호,회사명,고유번호,매출액_백만원,매출근거,종업원수,종업원근거,사업보고서,오류
2001110481104, 주식회사 지지에이,01310904,,없음,,없음,N,
1101210003435,(사)한국예술문화단체총연합회,01892231,,없음,,없음,N,
1311140001668,(유)벵가디아,01954054,,없음,,없음,N,
2145140004162,(유)블루엔지니어링,01721119,,없음,,없음,N,
2148140009603,(유)세웅바이오,01930434,,없음,,없음,N,
1101140058592,(유)아웃백스테이크하우스코리아,00496465,,없음,,없음,N,
1101140026573,(유)에이엠엠케이,01476820,,없음,,없음,N,
1101220024091,(재) 일주학술문화재단,01605079,,없음,,없음,N,
1101220024273,(재)케이티그룹희망나눔재단,01610497,,없음,,없음,N,
1955110081607,(주) SIMPAC KDA,00692999,,없음,,없음,N,
1650110002170,(주) 골드라인파렛텍,00233024,,없음,,없음,N,
1942110053992,(주) 네오플라테크 창원,00918204,,없음,,없음,N,
2001110007801,(주) 대아홀딩스,00172477,,없음,,없음,N,
2101110002461,(주) 대한관광리무진,01885967,,없음,,없음,N,
1101114808197,(주) 더 가디언스,01468645,,없음,,없음,N,
1101114922939,(주) 리멤버앤컴퍼니,01271395,,없음,,없음,N,
1246110277720,(주) 미래해운,00866257,,없음,,없음,N,
1311110337757,(주) 비엔,01524349,,없음,,없음,N,
1648110007258,(주) 삼익브리즈,01923595,,없음,,없음,N,
1101118125852,(주) 세중로지스틱스,01912119,,없음,,없음,N,
1101110570442,(주) 소프트센,00204226,54814,2025 CFS 매출액,16,2025 2행,Y,
1601110052665,(주) 스맥,00580056,153589,2025 CFS 매출액,214,2025 4행,Y,
1201110007204,(주) 승일,00135467,141548,2025 OFS 매출액,319,2025 2행,Y,
1101110612287,(주) 시공사,00302838,,없음,,없음,N,
1201110201442,(주) 에이에프티,00303484,,없음,,없음,N,
1101110991467,(주) 유진로봇,00234227,28189,2025 OFS 매출액,142,2025 2행,Y,
1101117064457,(주) 이공이공,01841538,,없음,,없음,N,
2001110299573,(주) 인디산업개발,01175888,,없음,,없음,N,
1101111081514,(주) 제우건재,01906330,,없음,,없음,N,
2811110093358,(주) 탈로스,01020269,,없음,32,2025 2행,Y,
1349110112845,(주) 탑메탈,01904943,,없음,,없음,N,
1311110329308,(주) 테라베스트,01289075,,없음,,없음,N,
1101115188720,(주) 하르디,01746570,,없음,,없음,N,
1650110034123,(주) 한울,02022389,,없음,,없음,N,
1101113269829,(주) 현대엠프텍,01913109,,없음,,없음,N,
1752110009724,(주) 환화,01907746,,없음,,없음,N,
2850110585288,(주)21세기기아자동차회사,01927591,,없음,,없음,N,
1101110045686,(주)BHK,00136235,,없음,,없음,N,
1101110005995,(주)BYC,00122579,163166,2025 CFS 매출액,544,2025 6행,Y,
1350110115846,(주)CMG제약,00380429,105229,2025 CFS 매출액,206,2025 2행,Y,
1801110031516,(주)ES큐브,00175623,13932,2025 CFS 매출액,31,2025 2행,Y,
1101111105364,(주)GC메디아이,00220057,197696,2025 CFS 매출액,279,2025 8행,Y,
1101110017859,(주)KB손해보험,00120216,,없음,2991,2025 2행,Y,
1801110035071,(주)KTE,00208709,,없음,,없음,N,
1101113555187,(주)LF,00593032,1882430,2025 CFS 매출액,910,2025 2행,Y,
1101112581183,(주)LG생명과학,00423609,,없음,,없음,N,
1101111863889,(주)LG파워콤,00318617,,없음,,없음,N,
1101110286412,(주)MDS스피어,00103130,250921,2025 CFS 매출액,51,2025 6행,Y,
1101111626188,(주)MDS테크,00445841,187705,2025 CFS 매출액,128,2025 2행,Y,
1901110003563,(주)MH에탄올,00121534,94719,2025 CFS 매출액,55,2025 2행,Y,
1101110137491,(주)NI스틸,00116301,247943,2025 OFS 매출액,283,2025 2행,Y,
1615110000037,(주)SG글로벌,00152039,93481,2025 CFS 매출액,115,2025 6행,Y,
1101110048002,(주)SG세계물산,00133511,132347,2025 CFS 매출액,101,2025 6행,Y,
1341110000210,(주)SH에너지화학,00136457,98627,2025 CFS 매출액,153,2025 2행,Y,
1201110002189,(주)SIMPAC,00138260,1179040,2025 CFS 매출액,488,2025 6행,Y,
1942110000183,(주)STX,00138297,641312,2025 CFS 매출액,73,2025 2행,Y,
1801111522465,(주)STX 그린 로지스,01784394,191383,2025 CFS 매출액,17,2025 2행,Y,
1101110032112,(주)TCC스틸,00117300,611513,2025 CFS 매출액,281,2025 2행,Y,
1301110009274,(주)WISCOM,00142865,103275,2025 CFS 매출액,228,2025 2행,Y,
1760110045961,(주)YH데이타베이스,02016555,,없음,,없음,N,
1101112558273,(주)가겐투안,00533915,,없음,,없음,N,
1101110563430,(주)가나아트갤러리,00253790,,없음,,없음,N,
2001110252638,(주)가람이엔씨,01844395,,없음,,없음,N,
1101111777585,(주)가비아,00506294,335681,2025 CFS 매출액,423,2025 2행,Y,
1101116096055,(주)가온제이에스건설,02018289,,없음,,없음,N,
1311110319656,(주)가온칩스,01364747,68510,2025 CFS 매출액,261,2025 2행,Y,
2850110181903,(주)가이아코퍼레이션,01229240,,없음,122,2025 2행,Y,
1101110380967,(주)간삼건축종합건축사사무소,00506276,,없음,,없음,N,
1101115403623,(주)강동씨앤엘,01032583,71843,2025 OFS 매출액,130,2025 3행,Y,
1449110001666,(주)강원랜드,00255619,1476727,2025 CFS 매출액,4906,2025 12행,Y,
1101110191398,(주)강원에너지,00100601,212251,2025 CFS 매출액,128,2025 2행,Y,
1101110221202,(주)건영,00100957,,없음,,없음,N,
1846110016233,(주)게스템프 카테크,00225326,,없음,,없음,N,
1942110226226,(주)경남은행,01030132,,없음,2231,2025 2행,Y,
1101110089395,(주)경농,00101433,339236,2025 CFS 매출액,385,2025 2행,Y,
2301110067221,(주)경도,00367145,,없음,,없음,N,
1347110001159,(주)경동나비엔,00101488,1502239,2025 CFS 매출액,1734,2025 2행,Y,
2301110274751,(주)경동도시가스,01208885,1759465,2025 CFS 매출액,301,2025 2행,Y,
1812110000906,(주)경동인베스트,00143527,276162,2025 CFS 매출액,17,2025 2행,Y,
2341110048508,(주)경림에이치티시,01154654,,없음,,없음,N,
1101110013287,(주)경방,00101628,412475,2025 CFS 매출액,208,2025 4행,Y,
1648110001961,(주)경보제약,00101664,264104,2025 OFS 매출액,571,2025 2행,Y,
1101111250945,(주)경수제철건설,00657473,,없음,,없음,N,
1941110011372,(주)경언씨앤씨,01023929,,없음,,없음,N,
1713110000708,(주)경윤하이드로에너지,00173324,,없음,,없음,N,
1201110005703,(주)경인양행,00102113,379701,2025 CFS 매출액,470,2025 2행,Y,
1101112508088,(주)고영테크놀러지,00579999,232647,2025 CFS 매출액,472,2025 2행,Y,
1101110036990,(주)고제,00103325,,없음,,없음,N,
1101111100926,(주)골드앤에스,00249502,9019,2025 OFS 매출액,46,2025 2행,Y,
1101110319445,(주)골든듀,00188894,,없음,,없음,N,
1601110393069,(주)골프존,01067516,483261,2025 CFS 매출액,526,2025 2행,Y,
1101112911992,(주)골프존클라우드,00764807,,없음,84,2024 2행,Y,
1601110097976,(주)골프존홀딩스,00674498,354319,2025 CFS 매출액,39,2025 2행,Y,
1101110821250,(주)공간지엘씨,00455477,,없음,,없음,N,
1201110009268,(주)광림,00103635,77311,2025 CFS 매출액,129,2025 7행,Y,
1301110006270,(주)광명전기,00103662,95869,2025 OFS 매출액,203,2025 4행,Y,
1101110779152,(주)광무,00186452,7572,2025 CFS 매출액,24,2025 5행,Y,
1701110018748,(주)광성,00502711,,없음,,없음,N,
1101113902130,(주)광안이앤씨,01686904,,없음,,없음,N,
2001110396882,(주)광주은행,01028164,,없음,1759,2025 2행,Y,
1801111543792,(주)광진,02005823,,없음,,없음,N,
1101117608362,(주)교원,01503717,,없음,,없음,N,
1101116318623,(주)교원헬스케어,01374911,,없음,,없음,N,
1747110001791,(주)구영테크,00202060,426181,2025 CFS 매출액,375,2025 4행,Y,
1101110545553,(주)국민은행,00104467,,없음,,없음,N,
1101112365321,(주)국민은행,00386937,,없음,15389,2025 2행,Y,
1101110296073,(주)국보,00104519,4081,2025 CFS 매출액,14,2025 2행,Y,
1101110564066,(주)국보디자인,00253985,438886,2025 CFS 매출액,321,2025 2행,Y,
2013110001155,(주)국순당,00256715,67498,2025 CFS 매출액,252,2025 2행,Y,
