고유번호,접수번호,보고서명,회사명
00100814,20260318001089,사업보고서 (2025.12),포스코이앤씨
00101220,20260323001613,사업보고서 (2025.12),KG케미칼
00101257,20260327001705,사업보고서 (2025.12),경남기업
00101488,20260318001570,사업보고서 (2025.12),경동나비엔
00102432,20260318001298,사업보고서 (2025.12),계룡건설산업
00102760,20260331000566,사업보고서 (2025.12),두산건설
00102858,20260316000929,사업보고서 (2025.12),고려아연
00103006,20260319001226,사업보고서 (2025.12),고려제강
00103042,20260319001225,사업보고서 (2025.12),케이씨티시
00103158,,,
00103176,20260319001047,사업보고서 (2025.12),흥국화재
00103592,20260318001573,사업보고서 (2025.12),광동제약
00103626,20260312000618,사업보고서 (2025.12),한솔피엔에스
00103644,20260323000806,사업보고서 (2025.12),비츠로테크
00104388,20260305001586,사업보고서 (2025.12),국도화학
00104698,20260318001521,사업보고서 (2025.12),LS네트웍스
00104768,20260316000969,사업보고서 (2025.12),가온전선
00104810,20260323001106,사업보고서 (2025.12),소노스퀘어
00104856,20260312001014,사업보고서 (2025.12),삼성증권
00105101,20260310002563,사업보고서 (2025.12),INVENI
00105156,20260323001025,사업보고서 (2025.12),극동유화
00105174,20260330000992,사업보고서 (2025.12),에이치디현대오일뱅크
00105271,20260309001896,사업보고서 (2025.12),케이씨씨
00105280,20260319000764,사업보고서 (2025.12),현대지에프홀딩스
00105466,20260319001024,사업보고서 (2025.12),KCC건설
00105855,20260318001243,사업보고서 (2025.12),엘에스일렉트릭
00105873,20260311003822,사업보고서 (2025.12),LG디스플레이
00105952,20260318001427,사업보고서 (2025.12),LS
00105961,20260312001270,사업보고서 (2025.12),LG이노텍
00106313,20260318000268,사업보고서 (2025.12),금호건설
00106368,20260318001268,사업보고서 (2025.12),금호석유화학
00106377,,,
00106623,20260317000785,사업보고서 (2025.12),현대위아
00106641,20260312001224,사업보고서 (2025.12),기아
00106669,20260316001503,사업보고서 (2025.12),세아베스틸지주
00106881,20260319000445,사업보고서 (2025.12),인디에프
00107224,20260323001569,사업보고서 (2025.12),남선알미늄
00107613,20260323000847,사업보고서 (2025.12),이수페타시스
00107987,20260319000635,사업보고서 (2025.12),남해화학
00108241,20260311003892,사업보고서 (2025.12),농심
00109189,20260319001087,사업보고서 (2025.12),대덕
00109286,20260318001552,사업보고서 (2025.12),대동
00109453,20260326000509,사업보고서 (2025.12),케이조선
00109693,20260318000970,사업보고서 (2025.12),DL
00109718,20260318001283,사업보고서 (2025.12),사조대림
00110893,20260316001596,사업보고서 (2025.12),대신증권
00111704,20260311004557,사업보고서 (2025.12),한화오션
00111722,20260316001394,사업보고서 (2025.12),미래에셋증권
00111810,20260318001178,사업보고서 (2025.12),대웅
00111847,20260318001323,사업보고서 (2025.12),대원강업
00111874,20260312001127,사업보고서 (2025.12),대원산업
00112332,20260318001664,사업보고서 (2025.12),미래에셋생명
00112651,20260318000499,사업보고서 (2025.12),대창
00112882,20260331004015,사업보고서 (2025.12),교보생명보험
00112907,,,
00113058,20260316001304,사업보고서 (2025.12),한화생명
00113207,20260318001418,사업보고서 (2025.12),대한전선
00113225,20260318000780,사업보고서 (2025.12),대한제강
00113234,20260319000542,사업보고서 (2025.12),대한제당
00113243,20260319001278,사업보고서 (2025.12),대한제분
00113359,20260317000550,사업보고서 (2025.12),교보증권
00113410,20260316001417,사업보고서 (2025.12),CJ대한통운
00113508,20260312001302,사업보고서 (2025.12),노루홀딩스
00113526,20260318001125,사업보고서 (2025.12),대한항공
00113535,20260320001138,사업보고서 (2025.12),대한해운
00113544,20260318001465,사업보고서 (2025.12),대한화섬
00113997,20260310002974,사업보고서 (2025.12),롯데에너지머티리얼즈
00114154,20260317000660,사업보고서 (2025.12),디와이덕양
00114792,20260318000823,사업보고서 (2025.12),동국홀딩스
00115612,20260316001362,사업보고서 (2025.12),동부건설
00115667,,,
00115676,20260316001588,사업보고서 (2025.12),KG스틸
00115694,20260318000876,사업보고서 (2025.12),DB증권
00115977,20260318001565,사업보고서 (2025.12),아이에스동서
00116824,20260318001307,사업보고서 (2025.12),동아쏘시오홀딩스
00116949,20260312001285,사업보고서 (2025.12),DN오토모티브
00117072,20260331004184,사업보고서 (2025.12),동양건설산업
00117179,20260318001042,사업보고서 (2025.12),디와이
00117188,20260312000976,사업보고서 (2025.12),효성
00117212,20260323000945,사업보고서 (2025.12),두산
00117258,,,
00117337,20260318001406,사업보고서 (2025.12),동양
00117577,20260318000838,사업보고서 (2025.12),오리온홀딩스
00117601,20260312000253,사업보고서 (2025.12),유안타증권
00118026,20260318001195,사업보고서 (2025.12),동원산업
00118460,,,
00118804,20260319000264,사업보고서 (2025.12),동진쎄미켐
00120021,20260318001025,사업보고서 (2025.12),LG
00120030,20260316001192,사업보고서 (2025.12),GS건설
00120076,20260318000623,사업보고서 (2025.12),LX인터내셔널
00120182,20260313000771,사업보고서 (2025.12),NH투자증권
00120438,20260331004727,사업보고서 (2025.12),롯데건설
00120474,,,
00120526,20260312001405,사업보고서 (2025.12),롯데쇼핑
00120562,20260316001619,사업보고서 (2025.12),롯데지주
00120571,20260311004566,사업보고서 (2025.12),롯데칠성음료
00120924,20260319001082,사업보고서 (2025.12),매일홀딩스
00121686,20260323001379,사업보고서 (2025.12),엠케이전자
00121941,20260318000733,사업보고서 (2025.12),대상
00121969,20260318000864,사업보고서 (2025.12),에쓰씨엔지니어링
00122737,20260319001097,사업보고서 (2025.12),팬오션
00123143,20250320001237,사업보고서 (2024.12),보령
00123718,20260316001273,사업보고서 (2025.12),부광약품
00123967,,,
00124197,20260313000933,사업보고서 (2025.12),세아제강지주
00124294,,,
00124504,20260318001030,사업보고서 (2025.12),포스코인터내셔널
00124540,20260318001029,사업보고서 (2025.12),대우건설
00124656,20260327001174,사업보고서 (2025.12),비씨카드
00124726,20260318001526,사업보고서 (2025.12),빙그레
00124780,20260317000763,사업보고서 (2025.12),사조씨푸드
00124799,20260318000986,사업보고서 (2025.12),사조산업
00124805,20260407003063,사업보고서 (2025.12),푸른저축은행
00125080,20260323001489,사업보고서 (2025.12),AK홀딩스
00125150,20260312001227,사업보고서 (2025.12),SGC에너지
00125521,20260318000781,사업보고서 (2025.12),에스엘
00125530,20260318001066,사업보고서 (2025.12),삼립
00125743,20260316001374,사업보고서 (2025.12),현대비앤지스틸
00126186,20260310002989,사업보고서 (2025.12),삼성에스디에스
00126256,20260311004614,사업보고서 (2025.12),삼성생명
00126292,20260311004049,사업보고서 (2025.12),삼성카드
00126308,20260311003927,사업보고서 (2025.12),삼성E&A
00126362,20260310002954,사업보고서 (2025.12),삼성SDI
00126371,20260310003071,사업보고서 (2025.12),삼성전기
00126380,20260310002820,사업보고서 (2025.12),삼성전자
00126450,,,
00126478,20260312001037,사업보고서 (2025.12),삼성중공업
00126487,20260318001442,사업보고서 (2025.12),F&F 홀딩스
00126566,20260316001112,사업보고서 (2025.12),한화에어로스페이스
00126937,20260323001299,사업보고서 (2025.12),삼양홀딩스
00126955,20260318001082,사업보고서 (2025.12),삼양식품
00127042,20260319000873,사업보고서 (2025.12),SYTS
00127954,20260319000895,사업보고서 (2025.12),CJ프레시웨이
00128111,20260318000807,사업보고서 (2025.12),포스코엠텍
00128175,20260318000858,사업보고서 (2025.12),원익큐브
00128315,20260317000862,사업보고서 (2025.12),삼지전자
00128555,20260312000794,사업보고서 (2025.12),삼천리
00128661,20260317000665,사업보고서 (2025.12),에스에이엠티
00128971,20250314001331,사업보고서 (2024.12),디엘건설
00129013,20260323001443,사업보고서 (2025.12),CJ씨푸드
00129411,,,
00129679,20260318001316,사업보고서 (2025.12),녹십자
00130091,20260313001077,사업보고서 (2025.12),샘표
00130684,20260318000625,사업보고서 (2025.12),서울도시가스
00130763,20260319000003,사업보고서 (2025.12),서울반도체
00130772,20260319001224,사업보고서 (2025.12),SBS
00131054,20260318000844,사업보고서 (2025.12),유진증권
00131197,20260323000852,사업보고서 (2025.12),서원
00131780,20260318001112,사업보고서 (2025.12),SK네트웍스
00131799,20260331003895,사업보고서 (2025.12),에스케이에코플랜트
00131832,20260317000867,사업보고서 (2025.12),SK디스커버리
00132488,20260316001217,사업보고서 (2025.12),신세계톰보이
00132637,20260318001524,사업보고서 (2025.12),동원시스템즈
00132804,20260318001369,사업보고서 (2025.12),성신양회
00132992,20260319000729,사업보고서 (2025.12),성우하이텍
00133812,20260320001327,사업보고서 (2025.12),세방
00133858,20260319001105,사업보고서 (2025.12),세방전지
00133991,20260318001410,사업보고서 (2025.12),세아특수강
00134510,20250317000672,사업보고서 (2024.12),SJG세종
00134963,20260304000913,사업보고서 (2025.12),송원산업
00135917,20260310003000,사업보고서 (2025.12),한화손해보험
00136086,20260316001269,사업보고서 (2025.12),무림페이퍼
00136341,20250918000334,사업보고서 (2025.06),신성통상
00136378,20260316001039,사업보고서 (2025.12),신세계
00136721,20260611000685,사업보고서 (2026.03),신영증권
00136864,20260319001186,사업보고서 (2025.12),신원
00137234,20260318000473,사업보고서 (2025.12),모베이스전자
00137252,20260318001588,사업보고서 (2025.12),사조동아원
00137997,20260318001432,사업보고서 (2025.12),현대차증권
00138020,20260331003949,사업보고서 (2025.12),SK실트론
00138190,20260317000713,사업보고서 (2025.12),GS글로벌
00138206,,,
00138224,20260331004655,사업보고서 (2025.12),쌍용씨앤이
00138242,20260318000964,사업보고서 (2025.12),KG모빌리티
00138260,20260318001274,사업보고서 (2025.12),SIMPAC
00138279,20260320000559,사업보고서 (2025.12),S-Oil
00138321,20260325000632,사업보고서 (2025.12),신한투자증권
00138701,20260318001344,사업보고서 (2025.12),아세아
00138792,20260318001045,사업보고서 (2025.12),아시아나항공
00139083,20260323000927,사업보고서 (2025.12),아진산업
00139153,20260318001470,사업보고서 (2025.12),에코플라스틱
00139214,20260312001399,사업보고서 (2025.12),삼성화재해상보험
00139454,20260318001405,사업보고서 (2025.12),애경산업
00139834,20260316000832,사업보고서 (2025.12),LG씨엔에스
00139889,20260318001180,사업보고서 (2025.12),SKC
00140131,20260317000560,사업보고서 (2025.12),키다리스튜디오
00140168,20260312000821,사업보고서 (2025.12),HS애드
00140177,20260311004487,사업보고서 (2025.12),GS리테일
00140946,20260313000860,사업보고서 (2025.12),한솔로지스틱스
00140955,20260318001424,사업보고서 (2025.12),한솔케미칼
00140964,20260319001240,사업보고서 (2025.12),영원무역홀딩스
00141149,20260312000801,사업보고서 (2025.12),영진약품
00141246,20260311004333,사업보고서 (2025.12),SGC E&C
00141307,20260317000753,사업보고서 (2025.12),영풍
00141389,20260311004507,사업보고서 (2025.12),KZ정밀
00141529,20260318000621,사업보고서 (2025.12),오뚜기
