법인명,KSIC,영위업종,종업원수,매출액_백만,A세분류,B1주업종,B1_2단,B2부업종,밸류체인,묶음노드,모수계층,쟁점
에이치디현대오일뱅크(주),C1921,원유 정제처리업,2156,26666940,소재제조,에너지·자원·환경,,화학·소재,,,T2,그룹 최대 매출 — 비상장
에이치디현대중공업(주),C3111,선박 및 수상 부유 구조물 건조업,18964,17569457,완제품제조,기계·운송기기,조선·해양,,조선·해양|우주·항공·방산,,T1,
에이치디현대삼호(주),C3111,선박 및 수상 부유 구조물 건조업,4005,8071351,완제품제조,기계·운송기기,조선·해양,,조선·해양,,T2,비상장 대형 조선 — 상장 3사와 같은 셀
에이치디현대케미칼(주),C1921,원유 정제처리업,650,7220128,소재제조,에너지·자원·환경,,화학·소재,,,T2,HPC — KSIC는 정제업
에이치디현대일렉트릭(주),C2812,전기 공급 및 제어장치 제조업,2175,3381139,완제품제조,기계·운송기기,전력·중전기,,신재생에너지|건설·인프라,,T1,
에이치디한국조선해양(주),K6499,그 외 기타 금융업,1550,1493754,지주·투자,기계·운송기기,조선·해양,,조선·해양,Y,T1,중간지주 — KSIC K6499 로 확인
에이치디현대마린솔루션(주),M7212,엔지니어링 서비스업,583,1474503,인적서비스,기계·운송기기,조선·해양,전문서비스,조선·해양,,T1,선박 AS·개조
에이치디현대쉘베이스오일(주),C1921,원유 정제처리업,26,1330036,소재제조,화학·소재,정밀·기능화학,에너지·자원·환경,,,T2,윤활기유 합작 — 종업원 26명에 매출 1.3조
에이치디현대사이트솔루션(주),C2916,산업용 트럭 승강기 및 물품취급장비 제조업,1268,1006970,완제품제조,기계·운송기기,건설·농기계,,건설·인프라,,T2,건설기계 — 지주가 아니라 제조업으로 신고
에이치디현대(주),K6499,그 외 기타 금융업,53,526074,지주·투자,다품목·범용,,,조선·해양,Y,T1,순수지주 — KSIC K6499
에이치디현대에너지솔루션(주),C2612,다이오드 트랜지스터 및 유사 반도체소자 제조업,238,484388,부품제조,전자·정밀,반도체·소자,,신재생에너지,,T1,태양광 — KSIC는 반도체소자
에이치디현대마린엔진(주),C2911,내연기관 및 터빈 제조업,303,379848,부품제조,기계·운송기기,조선·해양,,조선·해양,,T1,선박 엔진
에이치디현대오씨아이(주),C2012,기초 무기 화학물질 제조업,115,303213,소재제조,화학·소재,석유화학·기초,,,,T2,카본블랙 합작
에이치디현대로보틱스(주),C2928,산업용 로봇 제조업,399,255540,완제품제조,기계·운송기기,산업기계·로봇,,,,T2,
에이치디현대이엔티(주),M7212,엔지니어링 서비스업,1541,172461,인적서비스,전문서비스,,기계·운송기기,조선·해양,,T2,엔지니어링
에이치디현대마린솔루션테크(주),M7212,엔지니어링 서비스업,127,102352,인적서비스,기계·운송기기,조선·해양,전문서비스,조선·해양,,T2,
에이치디현대엔진(유),C2911,내연기관 및 터빈 제조업,28,72694,부품제조,기계·운송기기,조선·해양,,조선·해양,,T2,유한회사 — 법인형태 실증
에이치디현대(주)스포츠,R9119,기타 스포츠 서비스업,25,53362,인적서비스,레저·숙박·스포츠,,,최종소비재,,T2,프로야구단
에이치디현대크랭크샤프트(주),C2914,베어링 기어 및 동력전달장치 제조업,48,47802,부품제조,기계·운송기기,조선·해양,,조선·해양,,T2,
에이치디현대엠엔에스(주),C3111,선박 및 수상 부유 구조물 건조업,46,44889,완제품제조,기계·운송기기,조선·해양,,조선·해양,,T2,
이큐브솔루션(주),C3031,자동차 엔진용 신품 부품 제조업,8,34333,부품제조,기계·운송기기,완성차·부품,,자동차,,T2,
에이치디현대아비커스,J5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,108,16071,콘텐츠·SW,소프트웨어·IT,,기계·운송기기,조선·해양,,T2,자율운항 SW — 복제 가능
씨마크서비스(주),N7512,인력 공급업,140,13727,인적서비스,고용·인력,,,,,T2,
대불그린1호(주),D3511,발전업,0,996,시설·자산운영,에너지·자원·환경,,,신재생에너지,,T2,종업원 0 이나 매출 있음 — 발전 SPC
(주)메디굿파트너스,G4791,통신 판매업,5,78,소매,의료·보건,,,최종소비재,,T2,판정 불확실 — 매출 7800만
에이엠시사이언스(주),M7011,자연과학 연구개발업,35,0,,,,,,,모수밖,매출 0 — R&D 법인
에이치디하이드로젠(주),C2811,전동기 발전기 및 전기 변환장치 제조업,44,0,,,,,,,모수밖,매출 0 — 수소 사업 준비
에이치디현대이앤에프(주),D3530,증기 냉․온수 및 공기조절 공급업,34,0,,,,,,,모수밖,매출 0 — 미가동
