단위,모법인,이름,A세분류,B1주업종,B1_2단,매출,판정근거
법인,,(유)문경가온태양광발전,시설·자산운영,에너지·자원·환경,,249,KSIC
법인,,(유)빌드윈인동태양광발전,시설·자산운영,에너지·자원·환경,,453,KSIC
법인,,(유)사조씨피케이,완제품제조,식품·음료,,"382,827",KSIC
법인,,(유)스튜디오제이앤에스,콘텐츠·SW,미디어·광고·영상,,50,KSIC
법인,,(유)씨엑스케이,인적서비스,소프트웨어·IT,,170,KSIC
법인,,(유)엑셀로이콰인알앤디센터,시설·자산운영,레저·숙박·스포츠,,"1,612",KSIC
법인,,(유)재벌집막내아들문화산업전문회사,콘텐츠·SW,미디어·광고·영상,,711,KSIC
법인,,(유)전주가온태양광발전,시설·자산운영,에너지·자원·환경,,579,KSIC
법인,,(유)제이씨엔,콘텐츠·SW,미디어·광고·영상,,"1,627",KSIC
법인,,(유)지음,인적서비스,전문서비스,,64,KSIC
법인,,(유)편안한이동1,운송·보관,육상운송,,"9,253",KSIC
법인,,(유)편안한이동2,운송·보관,육상운송,,"9,224",KSIC
법인,,(주) 성경식품,완제품제조,식품·음료,,"131,769",KSIC
법인,,(주) 성경식품제2공장,완제품제조,식품·음료,,"2,144",KSIC
법인,,(주)가진에이케이엠,인적서비스,전문서비스,,70,KSIC
법인,,(주)강원일보,콘텐츠·SW,미디어·광고·영상,,"26,615",KSIC
법인,,(주)강원학교태양광,시설·자산운영,에너지·자원·환경,,"6,886",KSIC
법인,,(주)갤럭시아에스엠,시설·자산운영,레저·숙박·스포츠,,"40,344",KSIC
법인,,(주)게티이미지코리아,인적서비스,전문서비스,,"16,330",KSIC
법인,,(주)경기평택글로벌,시설·자산운영,부동산·임대,,"61,222",KSIC
법인,,(주)고려에스엠,운송·보관,창고·물류,,"6,941",KSIC
법인,,(주)고려에프앤에프,완제품제조,식품·음료,,"34,868",KSIC
법인,,(주)고려저축은행,금융,은행업,,"147,618",KSIC
법인,,(주)고운누리,소매,식품·음료,,487,KSIC
법인,,(주)고촌복합개발자산관리,시설·자산운영,부동산·임대,,6,KSIC
법인,,(주)골든피쉬크리에이티브,도매·상사,다품목·범용,,535,KSIC
