지배법인,지배법인등록번호,대상,대상법인등록번호,지분율,장부가액,대상계층,대상소속그룹,대상A세분류,대상B1주업종,대상매출,대상묶음,연도
(주)BNK금융지주,1801110750893,(주)부산은행,1801110002997,100.0,2968140000000,T1,,금융,은행업,,,2025
(주)BNK금융지주,1801110750893,(주)경남은행,1942110226226,100.0,1949160000000,T1,,금융,은행업,,,2025
(주)BNK금융지주,1801110750893,BNK캐피탈 주식회사,1801110722850,100.0,528488000000,T1u,,금융,여신전문금융업,,,2025
(주)BNK금융지주,1801110750893,BNK자산운용 주식회사,1101113934670,100.0,156930000000,T1u,,금융,자산운용업,,,2025
(주)GC메디아이,1101111105364,(주)크레템,1101112866436,100.0,7505,T1u,,완제품제조,기계·운송기기,,,2025
(주)GC메디아이,1101111105364,(주)이원,1101110381387,50.01,4080,T2,,도매·상사,에너지·자원·환경,"7,114,154",,2025
(주)GC메디아이,1101111105364,주식회사 비브로스,1101115299030,47.89,28352,T1u,,플랫폼·중개,소프트웨어·IT,,,2025
(주)JB금융지주,2101110091498,(주)전북은행,2101110000043,100.0,1188711000000,T1,,금융,은행업,,,2025
(주)JB금융지주,2101110091498,(주)광주은행,2001110396882,100.0,735919000000,T1,,금융,은행업,,,2025
(주)KB금융지주,1101113975517,(주)국민은행,1101110545553,100.0,14821721000000,모수밖,,금융,은행업,,,2025
(주)KB금융지주,1101113975517,(주)KB손해보험,1101110017859,100.0,2375430000000,T1,,금융,보험업,,,2025
(주)KB손해보험,1101110017859,주식회사 케이비헬스케어,1101118049193,100.0,89759000000,T1u,,소매,다품목·범용,,,2025
(주)LF,1101113555187,주식회사 트라이씨클,1101110592116,99.94,26346000000,T1u,,소매,다품목·범용,,,2025
(주)LF,1101113555187,(주)엘에프푸드,1101113782087,94.42,140478000000,T1u,,도매·상사,식품·음료,,,2025
(주)LF,1101113555187,주식회사 씨티닷츠,1101117790557,80.0,17911000000,T1u,,도매·상사,생활용품·가구,,,2025
(주)LF,1101113555187,주식회사코람코자산신탁,1101112359837,67.08,424824000000,T1u,,금융,자산운용업,,,2025
(주)LF,1101113555187,케이스퀘어데이터센터피에프브이 주식회사,1101117915296,66.41,76131000000,T1u,,시설·자산운영,부동산·임대,,,2025
(주)MDS테크,1101111626188,주식회사 지티에프홀딩스,1101110933810,50.0,100000000,T1u,,지주·투자,다품목·범용,,Y,2025
(주)NICE홀딩스,1101110505614,KIS정보통신주식회사,1101110898241,96.1,44118046000,T1u,,시설·자산운영,통신·네트워크,,,2025
