법인명,KSIC,영위업종,종업원수,매출액_백만,A세분류,B1주업종,B1_2단,B2부업종,밸류체인,묶음노드,모수계층,쟁점
(주)엘지,K6499,그 외 기타 금융업,208,884989,지주·투자,다품목·범용,,,,Y,T1,순수지주 — KSIC가 금융업임을 원천 확인
(주)엘지전자,C2651,텔레비전 비디오 및 기타 영상기기 제조업,34405,29554826,완제품제조,전자·정밀,전자기기·모듈,기계·운송기기,최종소비재|자동차,,T1,생활가전+전장
(주)엘지화학,C2020,합성고무 및 플라스틱 물질 제조업,13146,18216499,소재제조,화학·소재,석유화학·기초,의약·바이오,이차전지|바이오·제약,,T1,석화+첨단소재+생명과학
(주)엘지에너지솔루션,C2820,일차전지 및 이차전지 제조업,12043,7661584,부품제조,전자·정밀,전지·전원부품,화학·소재,이차전지,,T1,
엘지디스플레이(주),C2621,표시장치 제조업,24814,24115926,부품제조,전자·정밀,전자기기·모듈,,디스플레이,,T1,
엘지이노텍(주),C2629,기타 전자부품 제조업,12693,21596008,부품제조,전자·정밀,전자기기·모듈,,최종소비재|자동차,,T1,카메라모듈·기판
(주)엘지유플러스,J6122,무선 및 위성 통신업,9968,14204231,시설·자산운영,통신·네트워크,,,통신·데이터,,T1,
(주)엘지씨엔에스,J6202,컴퓨터시스템 통합 자문 구축 및 관리업,6877,5449271,인적서비스,소프트웨어·IT,,,통신·데이터,,T1,SI — KSIC J6202
(주)엘지생활건강,C2042,세제 화장품 및 광택제 제조업,4250,3040730,완제품제조,화장품·뷰티,,생활용품·가구,최종소비재,,T1,
(주)엘지헬로비전,J6022,유선 위성 및 기타 방송업,920,1266851,시설·자산운영,미디어·광고·영상,,통신·네트워크,콘텐츠·미디어,,T1,케이블TV
(주)하이프라자,G4732,가전제품 소매업,3279,1877433,소매,전자·정밀,전자기기·모듈,,최종소비재,,T2,LG베스트샵 — 재고 취득
코카콜라음료(주),C1120,비알코올 음료 및 얼음 제조업,1927,1596526,완제품제조,식품·음료,,,농식품|최종소비재,,T2,
엘지마그나이파워트레인(주),C3011,자동차용 엔진 제조업,948,480857,부품제조,기계·운송기기,완성차·부품,전자·정밀,자동차,,T2,합작사
(주)팜한농,C2032,살균․살충제 및 농약 제조업,943,769496,완제품제조,화학·소재,농화학,,농식품,,T2,
(주)씨텍,D3530,증기 냉․온수 및 공기조절 공급업,109,775855,시설·자산운영,에너지·자원·환경,,,신재생에너지,,T2,집단에너지
