회사명,KSIC,매출_억,현재판정,공정위KSIC,DART_KSIC,의심점수,사유,법인등록번호,매출액_백만원
코웨이(주),C2917,34685,시설·자산운영×생활용품·가구,C2917,S969,5.0,제조(C2917) ↔ 서비스(S969),1101110626501,"3,468,541"
(주)일진글로벌,G4521,12225,부품제조×기계·운송기기>완성차·부품,G4521,C30,4.2,유통(G4521) ↔ 제조(C30),1101117155529,"1,222,530"
삼성물산(주),F4112,212191,시공·건설×건설·시공,F4112,G467,4.0,건설(F4112) ↔ 유통(G467),1101110015762,"21,219,156"
에스케이인텔릭스(주),N7629,7800,시설·자산운영×생활용품·가구,N7629,C28519,3.8,서비스(N7629) ↔ 제조(C28519),1101115125962,"780,091"
(주)농협목우촌,C1012,6885,완제품제조×식품·음료>축산가공,C1012,G46321,3.7,제조(C1012) ↔ 유통(G46321),1101113499567,"688,540"
(주)베어링아트,G4521,5658,부품제조×기계·운송기기>완성차·부품,G4521,C30,3.6,유통(G4521) ↔ 제조(C30),1712110064110,"565,876"
(주)포스코엠텍,N7599,3574,소재제조×금속,N7599,C24199,3.4,서비스(N7599) ↔ 제조(C24199),1746110000866,"357,432"
(주)두산테스나,C2611,3038,부품제조×전자·정밀>반도체 후공정·부품,C2611,M739,3.3,제조(C2611) ↔ 서비스(M739),1311110082427,"303,874"
(주)일진,G4521,2625,도매·상사×기계·운송기기>완성차·부품,G4521,C30,3.3,유통(G4521) ↔ 제조(C30),1712110001485,"262,515"
(주)신세계푸드,G4610,12158,도매·상사×식품·음료,G4610,I561,3.2,유통(G4610) ↔ 서비스(I561),1101110305288,"1,215,811"
(주)모다이노칩,C2629,1848,부품제조×전자·정밀>전자기기·모듈,C2629,G474,3.2,제조(C2629) ↔ 유통(G474),1355110106027,"184,882"
(주)아이에스시,C2629,1822,부품제조×전자·정밀>전자기기·모듈,C2629,G465,3.2,제조(C2629) ↔ 유통(G465),1311110057876,"182,200"
피디스페이스(주),C1430,1680,완제품제조×의류·패션,C1430,G47414,3.2,제조(C1430) ↔ 유통(G47414),1101118646311,"168,018"
(주)하고하우스,G4641,1339,도매·상사×생활용품·가구,G4641,C15121,3.1,유통(G4641) ↔ 제조(C15121),1101116277647,"133,906"
로젠(주),C2629,1115,부품제조×전자·정밀>전자기기·모듈,C2629,G474,3.1,제조(C2629) ↔ 유통(G474),1101110166127,"111,506"
서영이앤티(주),G4632,1000,도매·상사×식품·음료,G4632,C29171,3.1,유통(G4632) ↔ 제조(C29171),1101111849524,"100,023"
에스케이이노베이션(주),C192,48509,소재제조×에너지·자원·환경,K6499,C192,3.0,금융(K6499) ↔ 제조(C192)  · 한쪽이 지주코드,1101113710385,"4,850,905"
한화임팩트(주),M7160,26489,인적서비스×전문서비스,M7160,K64992,3.0,서비스(M7160) ↔ 금융(K64992)  · 한쪽이 지주코드,1614110001243,"2,648,920"
씨피엘비(주),G4680,21778,도매·상사×다품목·범용>종합상사,G4680,M71511,3.0,유통(G4680) ↔ 서비스(M71511)  · 한쪽이 지주코드,1101117539723,"2,177,852"
에코원에너지(주),D3511,368,시설·자산운영×에너지·자원·환경,D3511,C28111,3.0,시설(D3511) ↔ 제조(C28111),2062110079018,"36,801"
에이치디씨영창(주),G4646,310,도매·상사×생활용품·가구,G4646,C33201,3.0,유통(G4646) ↔ 제조(C33201),1201110006165,"31,085"
(주)분크,G4744,259,소매×의류·패션,G4744,C15121,3.0,유통(G4744) ↔ 제조(C15121),1101116764298,"25,990"
오씨아이파워(주),C2811,255,완제품제조×기계·운송기기>전력·중전기,C2811,D3511,3.0,제조(C2811) ↔ 시설(D3511),1101114984137,"25,518"
고려강재장(주),H5294,222,운송·보관×창고·물류,H5294,C25114,3.0,운송(H5294) ↔ 제조(C25114),1942110274647,"22,279"
성인산업(주),B0712,152,자원채취×에너지·자원·환경,B0712,C23993,3.0,자원(B0712) ↔ 제조(C23993),1201110300757,"15,296"
(주)일진글로벌홀딩스,M7160,143,인적서비스×전문서비스,M7160,C30,3.0,서비스(M7160) ↔ 제조(C30),1101110224165,"14,379"
파워시스템즈엠에프지코리아(유),C3401,140,인적서비스×기계·운송기기,C3401,M72129,3.0,제조(C3401) ↔ 서비스(M72129),1101140181252,"14,076"
(주)워크업아웃도어,C1449,131,완제품제조×의류·패션,C1449,G46413,3.0,제조(C1449) ↔ 유통(G46413),2850110141535,"13,140"
(주)엘엔에스율,G4610,96,도매·상사×다품목·범용>상품중개,G4610,C14,3.0,유통(G4610) ↔ 제조(C14),1101117944328,"9,668"
미디어프린팅넷(주),C1811,95,완제품제조×화학·소재>제지·포장,C1811,J58121,3.0,제조(C1811) ↔ 정보(J58121),1701110383745,"9,598"
(주)스웨이드,C1411,85,완제품제조×의류·패션,C1411,G47412,3.0,제조(C1411) ↔ 유통(G47412),1101118995990,"8,594"
(주)퍼스프,G4631,84,도매·상사×식품·음료,G4631,C10309,3.0,유통(G4631) ↔ 제조(C10309),1601110187777,"8,489"
(주)전주에너지,E3821,60,시설·자산운영×에너지·자원·환경,E3821,C22229,3.0,시설(E3821) ↔ 제조(C22229),2059110015978,"6,004"
신의도천일염(주),C1089,52,완제품제조×식품·음료,C1089,A03,3.0,제조(C1089) ↔ 자원(A03),2011110031685,"5,272"
(주)니티드,G4741,45,소매×의류·패션,G4741,C14199,3.0,유통(G4741) ↔ 제조(C14199),1801111119668,"4,522"
(주)카노메이드,G4741,42,소매×의류·패션,G4741,C14111,3.0,유통(G4741) ↔ 제조(C14111),1101118308812,"4,289"
(주)플래닛147,C2049,35,소재제조×화학·소재>정밀·기능화학,C2049,G46443,3.0,제조(C2049) ↔ 유통(G46443),1101117718525,"3,543"
블랑제리길(주),C1060,27,완제품제조×식품·음료,C1060,I5619,3.0,제조(C1060) ↔ 서비스(I5619),1760110169563,"2,716"
(주)웅진헬스원,C1089,22,완제품제조×식품·음료,C1089,G47222,3.0,제조(C1089) ↔ 유통(G47222),1101118370184,"2,200"
(주)에이앤비,G4741,14,소매×의류·패션,G4741,C14191,3.0,유통(G4741) ↔ 제조(C14191),1801111356921,"1,469"
(주)라이블리팩토리,G4641,0,도매·상사×생활용품·가구,G4641,C1411,3.0,유통(G4641) ↔ 제조(C1411),1348110566846,31
(주)케이티넷코어,F4232,7782,시공·건설×건설·시공,F4232,N741,2.8,건설(F4232) ↔ 서비스(N741),1101119094973,"778,226"
(주)케이지이니시스,K6619,7060,금융×결제·핀테크,K6619,J58221,2.7,금융(K6619) ↔ 정보(J58221),1101111602667,"706,052"
(주)파라다이스세가사미,R9124,5974,시설·자산운영×레저·숙박·스포츠,R9124,I55101,2.6,서비스(R9124) ↔ 서비스(I55101),1201110620056,"597,495"
(주)케이티아이에스,N7599,5887,인적서비스×사업지원서비스,N7599,J63991,2.6,서비스(N7599) ↔ 정보(J63991),1101112271510,"588,760"
포스코홀딩스(주),C2411,14033,소재제조×금속>철강,K6499,C2411,2.4,금융(K6499) ↔ 제조(C2411)  · 한쪽이 지주코드,1746110000741,"1,403,310"
(주)신영브라이튼여의도,L6812,4319,시설·자산운영×부동산·임대,L6812,F41112,2.4,부동산(L6812) ↔ 건설(F41112),1501110251805,"431,994"
(주)신세계센트럴,L6811,3408,시설·자산운영×부동산·임대,L6811,H52912,2.3,부동산(L6811) ↔ 운송(H52912),1101110087612,"340,886"
(주)포레지아,F4111,3086,시공·건설×건설·시공,F4111,L681,2.3,건설(F4111) ↔ 부동산(L681),2057110014643,"308,623"
에이케이플라자(주),G4711,2716,소매×다품목·범용>종합소매,G4711,L68112,2.3,유통(G4711) ↔ 부동산(L68112),1313110029384,"271,656"
브레인시티프로젝트금융투자(주),L6812,2481,시설·자산운영×부동산·임대,L6812,F41112,2.2,부동산(L6812) ↔ 건설(F41112),1313110180938,"248,189"
보령엘엔지터미널(주),H5210,2447,운송·보관×창고·물류,H5210,D35200,2.2,운송(H5210) ↔ 시설(D35200),1645110021527,"244,739"
중봉산업개발(주),L6812,2392,시설·자산운영×부동산·임대,L6812,F41112,2.2,부동산(L6812) ↔ 건설(F41112),2001110316765,"239,251"
(주)신영,L6812,2162,시설·자산운영×부동산·임대,L6812,F41112,2.2,부동산(L6812) ↔ 건설(F41112),1101110618178,"216,260"
미래에셋컨설팅(주),I5510,2087,시설·자산운영×레저·숙박·스포츠,I5510,L68212,2.2,서비스(I5510) ↔ 부동산(L68212),1101113974957,"208,732"
(주)케이지파이낸셜,K6619,2050,금융×결제·핀테크,K6619,J582,2.2,금융(K6619) ↔ 정보(J582),1101111911050,"205,082"
크림(주),J6399,2025,플랫폼·중개×소프트웨어·IT,J6399,G47911,2.2,정보(J6399) ↔ 유통(G47911),1311110616797,"202,535"
(주)티알엔,G4791,1779,소매×다품목·범용>이커머스,G4791,N75999,2.2,유통(G4791) ↔ 서비스(N75999),1101110763759,"177,969"
알리익스프레스코리아(유),G4791,1605,소매×다품목·범용>이커머스,G4791,J63999,2.2,유통(G4791) ↔ 정보(J63999),1101140319738,"160,592"
에이치디씨아이파크몰(주),G4711,1579,소매×다품목·범용>종합소매,G4711,L68112,2.2,유통(G4711) ↔ 부동산(L68112),1101111635189,"157,945"
청라국제금융단지(주),F4111,1460,시공·건설×건설·시공,F4111,L68122,2.1,건설(F4111) ↔ 부동산(L68122),1101115849455,"146,072"
원스토어(주),J6312,1133,플랫폼·중개×소프트웨어·IT,J6312,G4791,2.1,정보(J6312) ↔ 유통(G4791),1311110439131,"113,341"
공공제1호양주회천피에프브이(주),F4111,1074,시공·건설×건설·시공,F4111,L68121,2.1,건설(F4111) ↔ 부동산(L68121),1311110701465,"107,463"
(주)케이티엠오에스북부,N7410,1071,인적서비스×사업지원서비스,N7410,J61220,2.1,서비스(N7410) ↔ 정보(J61220),1101112749781,"107,153"
(주)디케이엘,L6812,937,시설·자산운영×부동산·임대,L6812,F411,2.1,부동산(L6812) ↔ 건설(F411),2001110245055,"93,732"
