사전,키,판정,걸린회사,KSIC,매출액_백만원,현재판정,근거,파일
반도체 후공정(OSAT),하나마이크론,전자·정밀 > 반도체 후공정·부품,하나마이크론(주),C2611,1534418,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),에스에프에이반도체,전자·정밀 > 반도체 후공정·부품,(주)에스에프에이반도체,C2611,367389,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),두산테스나,전자·정밀 > 반도체 후공정·부품,(주)두산테스나,C2611,"303,874",부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),엘비세미콘,전자·정밀 > 반도체 후공정·부품,엘비세미콘(주),C2612,479781,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),네패스,전자·정밀 > 반도체 후공정·부품,(주)네패스,C261,521439,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),네패스,전자·정밀 > 반도체 후공정·부품,주식회사 네패스아크,M739,114089,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),네패스,전자·정밀 > 반도체 후공정·부품,(주)네패스이앤씨,L68112,,시설·자산운영×부동산·임대,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),시그네틱스,전자·정밀 > 반도체 후공정·부품,시그네틱스(주),C2611,"103,047",부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),에이팩트,전자·정밀 > 반도체 후공정·부품,(주)에이팩트,C261,110999,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),윈팩,전자·정밀 > 반도체 후공정·부품,(주)윈팩,C2612,75547,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
