회사명,종목코드,법인등록번호,KSIC,묶음노드,부문명,주요제품,매출,수익행,상태
(주)농심홀딩스,072710,1101112819005,K6499,Y,제조,농축수산물 가공 및 스프 제조 등,638798,매출액,부문
(주)농심홀딩스,072710,1101112819005,K6499,Y,엔지니어링,"식품가공설비 및 기기의 제조, 물류창고 등의 건설 등",157042,매출액,부문
(주)농심홀딩스,072710,1101112819005,K6499,Y,레저,골프장 등 체육시설업,22303,매출액,부문
(주)비지에프,027410,1101111105215,K6499,Y,지주회사,,71583,외부고객으로부터의 수익,부문
(주)비지에프,027410,1101111105215,K6499,Y,고기능성폴리머칩제조업,,316827,외부고객으로부터의 수익,부문
(주)비지에프,027410,1101111105215,K6499,Y,"전자, 자동차소재업",,29043,외부고객으로부터의 수익,부문
(주)비지에프,027410,1101111105215,K6499,Y,반도체소재업,,52015,외부고객으로부터의 수익,부문
(주)삼양홀딩스,000070,1101110026181,K6499,Y,식품,"설탕, 식용유, 밀가루, 가공식품 등",1510038,외부매출액,부문
(주)삼양홀딩스,000070,1101110026181,K6499,Y,화학,"엔지니어링플라스틱, PET용기, 이온교환수지,BPA, 생활용품 원재료 등",1747958,외부매출액,부문
(주)세아베스틸지주,001430,1101110035794,C2411,Y,,,,,부문없음
(주)세아제강지주,003030,1101110118996,K6499,Y,강관,,4598120,세로형,부문
(주)세아제강지주,003030,1101110118996,K6499,Y,판재,,478310,세로형,부문
(주)세아홀딩스,058650,1101112276809,C241,Y,제조부문,,6541173,순매출(외부고객으로부터의 수익),부문
(주)세아홀딩스,058650,1101112276809,C241,Y,IT부문,,50904,순매출(외부고객으로부터의 수익),부문
(주)아모레퍼시픽홀딩스,002790,1101110026644,C20423,Y,,,,,부문없음
(주)에이치에스효성,487570,1101118993457,K6499,Y,지주사업,,23674,매출액,부문
(주)에이치에스효성,487570,1101118993457,K6499,Y,산업자재,,966758,매출액,부문
(주)에이치에스효성,487570,1101118993457,K6499,Y,운송주선사업,,415727,매출액,부문
(주)에이치에스효성,487570,1101118993457,K6499,Y,수입차딜러,,22076,매출액,부문
(주)에코프로,086520,1101111598379,M7151,Y,,,,,부문없음
(주)엘에스,006260,1101110003965,K6499,Y,지주부문,,397862,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,산업용전선부문,,3136935,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,전력선사업부문,,3457066,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,중간재부문,,862999,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,통신사업부문,,131160,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,부동산개발사업부문,,16785,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,해외사업부문,,4841938,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,전력부문,,3908074,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,자동화부문,,450594,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,금속부문,,500601,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,IT부문,,106530,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,기계부문,,1028045,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,부품부문,,89664,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,글로벌부문,,444253,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,동제련부문,,14942426,세로형,부문
(주)엘엑스홀딩스,383800,1101117875359,K6499,Y,,,,,부문없음
(주)엘지,003550,1101110003543,K6499,Y,,,,,부문없음
(주)오리온홀딩스,001800,1101110004690,K649,Y,제과,,3328235,외부매출액,부문
(주)오리온홀딩스,001800,1101110004690,K649,Y,영상,,62743,외부매출액,부문
(주)오리온홀딩스,001800,1101110004690,K649,Y,지주,,1765,외부매출액,부문
(주)인베니,015360,1101110290778,M715,Y,지주부문,,18838,영업수익,부문
(주)인베니,015360,1101110290778,M715,Y,CNG부문,,17452,영업수익,부문
(주)지에스,078930,1101113045112,K6499,Y,유통,일반소비용품,11725717,외부고객으로부터의 수익,부문
(주)지에스,078930,1101113045112,K6499,Y,무역,"수출입업 및 동 대행업, 국내외 상사 대리점업, 수출입품의 판매업 및 위탁업",3900328,외부고객으로부터의 수익,부문
(주)지에스,078930,1101113045112,K6499,Y,가스전력사업,"전력, 도시가스 및 가스용품, 집단에너지, 자원개발, 신재생에너지",6793416,외부고객으로부터의 수익,부문
