키트ID,셀,회사명,법인등록번호,단위,소속그룹,A세분류,B1주업종,B1_2단,B1_3단,매출,모수계층,선정근거
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,엘에스엠앤엠(주),2301110058436,법인,엘에스,소재제조,금속,비철금속,제련·정련,"14,359,416",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,고려아연(주),1101110168404,법인,영풍,소재제조,금속,비철금속,제련·정련,"10,534,241",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,(주)세아엠앤에스,1244110076473,법인,세아,소재제조,금속,비철금속,제련·정련,"1,992,258",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,제련부문,1101110003824,세그먼트,영풍,소재제조,금속,비철금속,제련·정련,1009605,T2,"B1_3단=제련·정련 · 매출 1,000 억 이상 · 모법인 (주)영풍 의 부문"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,(주)에스엔엔씨,2046110023415,법인,포스코,소재제조,금속,비철금속,제련·정련,"767,857",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,(주)토리컴,1350110054119,법인,엘에스,소재제조,금속,비철금속,제련·정련,"589,722",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,(주)지알엠,1546110008012,법인,엘에스,소재제조,금속,비철금속,제련·정련,"431,725",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,한국미래소재(주),1650110091173,법인,엘에스,소재제조,금속,비철금속,제련·정련,"375,887",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,한주라이트메탈(주),1812110008538,법인,,소재제조,금속,비철금속,제련·정련,259464,T1,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,스틸싸이클에스씨(주),1101114789511,법인,영풍,소재제조,금속,비철금속,제련·정련,"173,549",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
KIT-MFG-NONFERROUS-PROCUREMENT,제련·정련,포스코에이치와이클린메탈(주),2046110065029,법인,포스코,소재제조,금속,비철금속,제련·정련,"140,815",T2,"B1_3단=제련·정련 · 매출 1,000 억 이상"
