고유번호,법인등록번호,회사명,최대주주연도,출자연도,오류
00260985,1101111443079,한빛네트,,,
00264529,1101111601750,(주)엔플렉스,,,
00358545,1101111259525,(주)동서정보기술,,,
00231567,1101111166837,주식회사 애드모바일,,,
00359614,1101111571755,(주)리더컴,,,
00798530,1101114245216,동양밸류오션기업인수목적(주),,,
00597764,1101113569550,미래에셋맵스 오퍼튜니티 베트남 주식혼합형 투자회사 1호,,,
00369675,1311110050169,(주)온미디어,,,
00797674,1353110013507,(주)대우증권그린코리아기업인수목적회사,,,
00804114,1101114292861,대신증권그로쓰알파기업인수목적(주),,,
00812229,1101114316273,에스비아이앤솔로몬드림기업인수목적(주),,,
00375302,1101112202797,우리금융지주(주),,,
00328854,1101111333890,(주)포넷,,,
00232317,1101110418940,(주)지오엠씨,2025,2025,
00586652,2201110057563,거북선1호선박투자회사,,,
00144155,1101110022816,SK(주),,,
00110495,1101110090780,(주)대성합동지주,,,
01094565,1101115769190,이베스트기업인수목적3호(주),,,
00156044,2150110001021,하림홀딩스,,,
00261735,1341110046313,(주)위노바,2025,2025,
00173944,1345110001814,(주)우진,2025,2025,
00146719,1348110001587,일화모직공업(주),2025,2025,
00129350,1345110003696,삼화콘덴서공업(주),2025,2025,
00303217,1101110822993,(주)우진플라임,2025,2025,
00389387,1101111424384,(주)라임,2024,2024,
00125938,1243110011322,삼보판지(주),2025,2025,
01036446,1101115455476,(주)서연이화,2025,2025,
01068348,1101115677864,(주)러셀,2025,2025,
00133663,1845110001541,(주)세동,2025,2025,
00132318,1801110036425,(주)성광벤드,2025,2025,
00379016,1601110081614,이엘케이(주),2024,2024,
00267881,1301110007765,보성파워텍(주),2025,2025,
00105156,1845110001335,극동유화(주),2025,2025,
00116073,1601110020406,그린기술투자(주),2025,2025,
00351630,1158110006449,(주)세코닉스,2025,2025,
00867098,1311110126936,(주)티로보틱스,2025,2025,
00146649,1201110011990,일진홀딩스(주),2025,2025,
00601191,1348110080937,(주)하나기술,2025,2025,
00148443,1101110026652,제일파마홀딩스(주),2025,2025,
00148939,1501110001036,조광피혁(주),2025,2025,
00438036,1101111394420,팅크웨어(주),2025,2025,
01255652,1101116525723,(주)레이크머티리얼즈,2025,2025,
00664181,1101112948086,(주)인텔리안테크놀로지스,2025,2025,
01058101,1101113430040,(주)라파스,2025,2025,
01213586,1101113356410,아이디피(주),2025,2025,
00552992,1101112124389,(주)진매트릭스,2025,2025,
00173731,1101110266620,(주)씨앤에스자산관리,2025,2025,
01141942,1352110033862,(주)액트로,2025,2025,
00491336,1351110047972,잘만테크(주),2025,2025,
00447760,1101110911192,(주)미래컴퍼니,2025,2025,
00118284,1701110020397,동일금속(주),2025,2025,
00442145,1701110166737,(주)아바코,2025,2025,
00411446,1615110037709,(주)큐에스아이,2025,2025,
01137295,1601110265995,프리시젼바이오(주),2025,2025,
00532129,1101110944036,(주)영림원소프트랩,2025,2025,
01459212,1348110166589,주식회사 원준,2025,2025,
00763473,1545110016091,(주)코스메카코리아,2025,2025,
