고유번호,순번,주주,관계,지분율
00232317,0,개인,최대주주,6.19
00232317,1,개인,,6.19
00232317,2,개인,,
00261735,0,(주)디와이디,타인,31.13
00261735,1,개인,타인,18.5
00261735,2,(주)옵트론텍,타인,13.64
00261735,3,개인,임원,1.83
00261735,4,개인,,65.1
00261735,5,개인,,
00173944,0,개인,최대주주,15.99
00173944,1,개인,미등기임원,0.01
00173944,2,개인,종속회사임원,0.0
00173944,3,개인,종속회사임원,0.03
00173944,4,개인,종속회사임원,0.02
00173944,5,개인,弟,9.7
00173944,6,개인,父,2.58
00173944,7,개인,外三寸,0.54
00173944,8,개인,外叔母,1.68
00173944,9,개인,叔父,1.05
00173944,10,개인,4촌,0.01
00173944,11,개인,등기임원,0.17
00173944,12,개인,등기임원,0.02
00173944,13,개인,,31.81
00173944,14,개인,,
00146719,0,개인,본인,28.44
00146719,1,개인,조카,0.01
00146719,2,개인,처,22.32
00146719,3,개인,자녀,21.0
00146719,4,개인,자녀,17.4
00146719,5,개인,,
00146719,6,개인,,89.17
00129350,0,개인,본인,16.16
00129350,1,개인,제,3.38
00129350,2,삼화전기(주),관계회사,2.24
00129350,3,한국제이씨씨(주),관계회사,6.37
00129350,4,개인,,28.15
00129350,5,개인,,
00303217,0,개인,본인,25.3
00303217,1,개인,친인척,12.4
00303217,2,개인,친인척,0.9
00303217,3,개인,친인척,0.9
00303217,4,개인,친인척,0.6
00303217,5,개인,친인척,0.4
00303217,6,개인,친인척,0.4
00303217,7,개인,,40.9
00303217,8,개인,,0.0
00389387,0,(주)톱텍,모회사,30.37
00389387,1,개인,특수관계인,3.57
00389387,2,개인,,33.94
00389387,3,개인,,
00125938,0,개인,본인,33.41
00125938,1,개인,사촌,15.34
00125938,2,개인,형,13.83
00125938,3,삼보 공동근로복지기금,출연 기금,2.08
00125938,4,(주)이영컨설팅,특수관계 법인,1.82
00125938,5,개인,사촌,1.21
00125938,6,개인,자녀,0.17
00125938,7,개인,자녀,0.17
00125938,8,개인,숙부,0.01
00125938,9,개인,,68.04
00125938,10,개인,,
01036446,0,㈜서연,최대주주 본인,48.7
01036446,1,개인,㈜서연의 최대주주/임원,5.45
01036446,2,개인,㈜서연 최대주주의 친족,1.76
01036446,3,개인,㈜서연 최대주주의 친족,0.65
01036446,4,개인,㈜서연 최대주주의 친족,0.3
01036446,5,개인,㈜서연 최대주주의 친족,0.19
01036446,6,개인,,57.06
01036446,7,개인,,57.06
01068348,0,개인,최대주주,37.53
01068348,1,개인,특수관계인,0.01
01068348,2,(주)러셀,특수관계인,8.81
01068348,3,개인,,37.54
01068348,4,개인,,8.81
00133663,0,개인,최대주주,18.39
00133663,1,개인,특수관계인,7.44
00133663,2,개인,특수관계인,2.48
00133663,3,개인,,28.32
00133663,4,개인,,
00132318,0,개인,본인,17.31
00132318,1,개인,부,11.3
00132318,2,개인,자,3.77
00132318,3,개인,모,0.86
00132318,4,"(주)성광벤드
  사내근로복지기금",기타,3.01
00132318,5,개인,,36.25
00132318,6,개인,,
00379016,0,에이치에프디공삼유동화전문유한회사,본인,18.63
00379016,1,개인,,18.63
00379016,2,개인,,
00267881,0,개인,본인,12.15
00267881,1,개인,부친,0.0
00267881,2,개인,모친,1.65
00267881,3,개인,누나,0.76
00267881,4,개인,,14.56
00267881,5,개인,,
00105156,0,개인,"특수
관계인",0.0
00105156,1,"(주)세영
티엠에스","계열
회사",2.41
00105156,2,"(주)제이제이
인터내셔날","계열
회사",0.17
00105156,3,개인,임원,0.02
00105156,4,개인,임원,0.02
00105156,5,개인,"최대
주주",8.95
00105156,6,개인,"특수
관계인",1.94
00105156,7,개인,"특수
관계인",4.96
00105156,8,개인,"특수
관계인",1.58
00105156,9,고진모터스(주),"계열
회사",6.0
00105156,10,이에스애드(주),"계열
회사",8.21
00105156,11,(주)크리테이셔스,"계열
회사",7.41
00105156,12,"우암
홀딩스(주)","계열
회사",2.14
00105156,13,개인,,43.82
00105156,14,개인,,
00116073,0,개인,최대주주,78.2
00116073,1,개인,,
00116073,2,개인,,
00351630,0,개인,본인,14.52
00351630,1,개인,최대주주 친인척,4.86
00351630,2,개인,,19.38
00351630,3,개인,,
00867098,0,개인,본인,16.89
00867098,1,개인,임원,0.79
00867098,2,개인,임원,0.2
