회사명,종목코드,법인등록번호,KSIC,묶음노드,보고서,부문명,주요제품,부문설명,매출,수익행,상태
(주)농심홀딩스,072710,1101112819005,K6499,Y,사업보고서 (2025.12),제조,농축수산물 가공 및 스프 제조 등,농축수산물 가공 및 스프제조,638798,매출액,부문
(주)농심홀딩스,072710,1101112819005,K6499,Y,사업보고서 (2025.12),엔지니어링,"식품가공설비 및 기기의 제조, 물류창고 등의 건설 등","식품물류플랜트, 건설공사",157042,매출액,부문
(주)농심홀딩스,072710,1101112819005,K6499,Y,사업보고서 (2025.12),레저,골프장 등 체육시설업,골프장 운영,22303,매출액,부문
(주)비지에프,027410,1101111105215,K6499,Y,사업보고서 (2025.12),지주회사,,,71583,외부고객으로부터의 수익,부문
(주)비지에프,027410,1101111105215,K6499,Y,사업보고서 (2025.12),고기능성폴리머칩제조업,,(주)비지에프에코머티리얼즈,316827,외부고객으로부터의 수익,부문
(주)비지에프,027410,1101111105215,K6499,Y,사업보고서 (2025.12),"전자, 자동차소재업",,,29043,외부고객으로부터의 수익,부문
(주)비지에프,027410,1101111105215,K6499,Y,사업보고서 (2025.12),반도체소재업,,,52015,외부고객으로부터의 수익,부문
(주)삼양홀딩스,000070,1101110026181,K6499,Y,사업보고서 (2025.12),식품,"설탕, 식용유, 밀가루, 가공식품 등",,1510038,외부매출액,부문
(주)삼양홀딩스,000070,1101110026181,K6499,Y,사업보고서 (2025.12),화학,"엔지니어링플라스틱, PET용기, 이온교환수지,BPA, 생활용품 원재료 등",,1747958,외부매출액,부문
(주)세아베스틸지주,001430,1101110035794,C2411,Y,사업보고서 (2025.12),,,,,,부문없음
(주)세아제강지주,003030,1101110118996,K6499,Y,사업보고서 (2025.12),강관,,영업이익,4598120,세로형,부문
(주)세아제강지주,003030,1101110118996,K6499,Y,사업보고서 (2025.12),판재,,,478310,세로형,부문
(주)세아홀딩스,058650,1101112276809,C241,Y,사업보고서 (2025.12),제조부문,,"기타제철, 제강, 냉간압연 및 압출제품제조업 등",6541173,순매출(외부고객으로부터의 수익),부문
(주)세아홀딩스,058650,1101112276809,C241,Y,사업보고서 (2025.12),IT부문,,내부통신배선공사업 등,50904,순매출(외부고객으로부터의 수익),부문
(주)아모레퍼시픽홀딩스,002790,1101110026644,C20423,Y,사업보고서 (2025.12),,,,,,부문없음
(주)에이치에스효성,487570,1101118993457,K6499,Y,사업보고서 (2025.12),지주사업,,종속기업 및 관계기업 관리 등,23674,매출액,부문
(주)에이치에스효성,487570,1101118993457,K6499,Y,사업보고서 (2025.12),산업자재,,"타이어보강재, 산업용 원사, 카페트, 아라미드, 탄소섬유 등 생산, 상품 수입 및 판매",966758,매출액,부문
(주)에이치에스효성,487570,1101118993457,K6499,Y,사업보고서 (2025.12),운송주선사업,,운송주선용역 등,415727,매출액,부문
(주)에이치에스효성,487570,1101118993457,K6499,Y,사업보고서 (2025.12),수입차딜러,,수입 자동차 판매 및 정비,22076,매출액,부문
(주)에코프로,086520,1101111598379,M7151,Y,사업보고서 (2025.12),,,,,,부문없음
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),지주부문,,,397862,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),산업용전선부문,,LS전선㈜ 연결,3136935,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),전력선사업부문,,,3457066,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),중간재부문,,,862999,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),통신사업부문,,,131160,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),부동산개발사업부문,,,16785,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),해외사업부문,,엘에스아이앤디㈜ 연결,4841938,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),전력부문,,엘에스일렉트릭㈜ 연결,3908074,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),자동화부문,,,450594,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),금속부문,,,500601,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),IT부문,,,106530,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),기계부문,,엘에스엠트론㈜ 연결,1028045,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),부품부문,,,89664,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),글로벌부문,,엘에스글로벌인코퍼레이티드㈜,444253,세로형,부문
(주)엘에스,006260,1101110003965,K6499,Y,사업보고서 (2025.12),동제련부문,,엘에스엠앤엠㈜,14942426,세로형,부문
(주)엘엑스홀딩스,383800,1101117875359,K6499,Y,사업보고서 (2025.12),,,,,,부문없음
(주)엘지,003550,1101110003543,K6499,Y,사업보고서 (2025.12),,,,,,부문없음
(주)오리온홀딩스,001800,1101110004690,K649,Y,사업보고서 (2025.12),제과,,"파이, 비스킷, 스낵, 껌, 캔디, 초콜릿 등",3328235,외부매출액,부문
(주)오리온홀딩스,001800,1101110004690,K649,Y,사업보고서 (2025.12),영상,,"영화매출(극장상영 등), 콘텐츠 제작 매출",62743,외부매출액,부문
(주)오리온홀딩스,001800,1101110004690,K649,Y,사업보고서 (2025.12),지주,,"지주사 배당수익, 로열티수익, 임대수익 등",1765,외부매출액,부문
(주)인베니,015360,1101110290778,M715,Y,사업보고서 (2025.12),지주부문,,,18838,영업수익,부문
(주)인베니,015360,1101110290778,M715,Y,사업보고서 (2025.12),CNG부문,,,17452,영업수익,부문
(주)지에스,078930,1101113045112,K6499,Y,사업보고서 (2025.12),유통,일반소비용품,소매 고객 등,11725717,외부고객으로부터의 수익,부문
(주)지에스,078930,1101113045112,K6499,Y,사업보고서 (2025.12),무역,"수출입업 및 동 대행업, 국내외 상사 대리점업, 수출입품의 판매업 및 위탁업","수출입업 및 동 대행업, 국내외 상사 대리점업, 수출입품의 판매업 및 위탁업",3900328,외부고객으로부터의 수익,부문
(주)지에스,078930,1101113045112,K6499,Y,사업보고서 (2025.12),가스전력사업,"전력, 도시가스 및 가스용품, 집단에너지, 자원개발, 신재생에너지","한국전력거래소, 한국전력공사, 수용가, 소매 고객, TOTAL ENERGIES TRADING ASIA Pte. Ltd 등",6793416,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,사업보고서 (2025.12),IC호텔,,,210520,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,사업보고서 (2025.12),웨스틴호텔,,웨스틴 서울 파르나스,43632,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,사업보고서 (2025.12),제주호텔,,"객실, 식음, 연회",50098,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,사업보고서 (2025.12),나인트리호텔,,"객실, 식음, 연회",99335,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,사업보고서 (2025.12),파르나스타워,,파르나스타워,66793,외부고객으로부터의 수익,부문
(주)코오롱,002020,1101110030528,K6499,Y,사업보고서 (2025.12),지주사업부문,,"수입수수료, 임대수익, 배당수익 등",102582,세로형,부문
(주)코오롱,002020,1101110030528,K6499,Y,사업보고서 (2025.12),건설사업부문,,"토목, 건축, 주택, 환경처리시설, 발전설비 공사 등",2364868,세로형,부문
(주)코오롱,002020,1101110030528,K6499,Y,사업보고서 (2025.12),유통사업부문,,코오롱모빌리티그룹㈜코오롱아우토㈜코오롱오토모티브㈜코오롱라이프스타일컴퍼니㈜로터스카스코리아㈜코오롱모터스㈜,2628004,세로형,부문
(주)코오롱,002020,1101110030528,K6499,Y,사업보고서 (2025.12),IT사업부문,,IT 솔루션 및 IT 서비스,548147,세로형,부문
(주)티와이홀딩스,363280,1101117608502,K6499,Y,사업보고서 (2025.12),,,,,,부문없음
(주)하림지주,003380,1601110003931,K6499,Y,사업보고서 (2025.12),운송부문,,,5546178,세로형,부문
(주)하림지주,003380,1601110003931,K6499,Y,사업보고서 (2025.12),사료 및 축산부문,,,3904756,세로형,부문
(주)하림지주,003380,1601110003931,K6499,Y,사업보고서 (2025.12),식품 및 식품서비스,,,4086744,세로형,부문
(주)하림지주,003380,1601110003931,K6499,Y,사업보고서 (2025.12),유통부문,,,680178,세로형,부문
(주)한진칼,180640,1101115197193,K6499,Y,사업보고서 (2025.12),호텔업,"숙박, 음식료, 컨벤션 등",㈜칼호텔네트워크,119826,순매출액,부문
(주)한진칼,180640,1101115197193,K6499,Y,사업보고서 (2025.12),데이터베이스및 온라인정보제공업,,토파스여행정보㈜,35536,순매출액,부문
(주)한진칼,180640,1101115197193,K6499,Y,사업보고서 (2025.12),일반 및 국외 여행사업,관광 및 숙박 관련 용역,㈜한진관광,52386,순매출액,부문
(주)한진칼,180640,1101115197193,K6499,Y,사업보고서 (2025.12),임대업 등,"비주거용 임대용역, 무형재산권 임대 등","㈜한진칼, 정석기업㈜",90615,순매출액,부문
(주)현대지에프홀딩스,005440,1101110095201,K6499,Y,사업보고서 (2025.12),중장비,,,355070,세로형,부문
(주)현대지에프홀딩스,005440,1101110095201,K6499,Y,사업보고서 (2025.12),전기통신 및 바이오,,,152590,세로형,부문
(주)현대지에프홀딩스,005440,1101110095201,K6499,Y,사업보고서 (2025.12),의류도소매,,,1091652,세로형,부문
(주)효성,004800,1101110030497,K649,Y,사업보고서 (2025.12),지주사업,,"지주사 CI로열티수익, 연구 용역 등",504776,매출액,부문
(주)효성,004800,1101110030497,K649,Y,사업보고서 (2025.12),정보통신,,금융 자동화기기,1466339,매출액,부문
(주)효성,004800,1101110030497,K649,Y,사업보고서 (2025.12),펌프제조,,펌프제조,230089,매출액,부문
(주)효성,004800,1101110030497,K649,Y,사업보고서 (2025.12),수입차딜러,,수입차 딜러,225725,매출액,부문
동국홀딩스(주),001230,1101110031338,K649,Y,사업보고서 (2025.12),철강,,,375457,외부매출,부문
동국홀딩스(주),001230,1101110031338,K649,Y,사업보고서 (2025.12),운송,,,698528,외부매출,부문
동국홀딩스(주),001230,1101110031338,K649,Y,사업보고서 (2025.12),무역,,,597900,외부매출,부문
동원산업(주),006040,1101110003098,K6499,Y,사업보고서 (2025.12),수산사업부문,,,584391,매출액,부문
동원산업(주),006040,1101110003098,K6499,Y,사업보고서 (2025.12),식품 가공유통부문,,,6836285,매출액,부문
동원산업(주),006040,1101110003098,K6499,Y,사업보고서 (2025.12),물류사업부문,,,1451423,매출액,부문
동원산업(주),006040,1101110003098,K6499,Y,사업보고서 (2025.12),포장소재부문,,,1433597,매출액,부문
두산밥캣(주),241560,1101115402237,C29241,Y,사업보고서 (2025.12),Compact,,제품과 용역,4771049,세로형,부문
두산밥캣(주),241560,1101115402237,C29241,Y,사업보고서 (2025.12),Portable Power,,,334489,세로형,부문
두산밥캣(주),241560,1101115402237,C29241,Y,사업보고서 (2025.12),Material Handling,,,929074,세로형,부문
두산밥캣(주),241560,1101115402237,C29241,Y,사업보고서 (2025.12),유압기기,"주행모터, 선회모터, 메인펌프, 메인 컨트롤 밸브 등",,147194,세로형,부문
디엘(주),000210,1101110084915,C20111,Y,사업보고서 (2025.12),제조,,,4961215,I. 매출액,부문
디엘(주),000210,1101110084915,C20111,Y,사업보고서 (2025.12),에너지,,,178352,I. 매출액,부문
롯데지주(주),004990,1101110076300,K6499,Y,사업보고서 (2025.12),유통,,,4834581,부문수익,부문
롯데지주(주),004990,1101110076300,K6499,Y,사업보고서 (2025.12),식품,,,9397229,부문수익,부문
롯데지주(주),004990,1101110076300,K6499,Y,사업보고서 (2025.12),컴퓨터시스템구축,,,1169825,부문수익,부문
롯데지주(주),004990,1101110076300,K6499,Y,사업보고서 (2025.12),광고대행,,"DAEHONG COMMUNICATIONS VIETNAM CO., LTD",315835,부문수익,부문
미래에셋벤처투자(주),100790,1101111710527,K649,Y,사업보고서 (2025.12),,,,,,단일부문
씨제이(주),001040,1101110015639,K6499,Y,사업보고서 (2025.12),식품 및식품서비스,,,17379980,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,사업보고서 (2025.12),생명공학,"핵산, 아미노산, 사료 등",,9274068,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,사업보고서 (2025.12),신유통,"하역, 운송, 집하, 배송, 의류, 전자/가구, 이미용품 등",,20298926,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,사업보고서 (2025.12),엔터테인먼트및 미디어,,,5816764,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,사업보고서 (2025.12),시너지 및인프라,,,969756,총매출액,부문
에스케이(주),034730,1101110769583,K6499,Y,사업보고서 (2025.12),SK이노베이션,,피투자회사 ＼ 투자회사,81014683,매출액 및 기타영업수익,부문
