법인등록번호,회사명,종목코드,KSIC,A세분류,B1주업종,B1_2단,묶음노드,모수계층,매출액,상장,출처,기업집단명들
1345140003989,(유)가승개발,,R9112,,,,,모수밖,0,,공정위,지에스|카카오
1101140038535,(유)더이로운파트너스,,K6499,,,,,모수밖,0,,공정위,오리온
1101150003008,(유)로터스원,,K6499,,,,,모수밖,0,,공정위,효성
1754140000582,(유)문경가온태양광발전,,D3511,시설·자산운영,에너지·자원·환경,,,T2,249,,공정위,엘에스
1311140001688,(유)분필,,R9019,,,,,모수밖,0,,공정위,네이버
1760140002014,(유)빌드윈인동태양광발전,,D3511,시설·자산운영,에너지·자원·환경,,,T2,453,,공정위,엘에스
1101140066884,(유)사조씨피케이,,C1052,완제품제조,식품·음료,,,T2,"382,827",,공정위,사조
1101140280278,(유)스튜디오제이앤에스,,J5911,콘텐츠·SW,미디어·광고·영상,,,T2,50,,공정위,중앙
1101140036268,(유)씨엑스케이,,J6202,인적서비스,소프트웨어·IT,,,T2,170,,공정위,다우키움
1311140010696,(유)엑셀로이콰인알앤디센터,,R9113,시설·자산운영,레저·숙박·스포츠,,,T2,"1,612",,공정위,하림
1314140002198,(유)엠와이지,,K6499,,,,,모수밖,0,,공정위,영풍
1101140350211,(유)와이에이치에이치홀딩스,,K6499,,,,,모수밖,0,,공정위,한솔
1314140001931,(유)와이피씨,,K6499,,,,,모수밖,0,,공정위,영풍
1101140037375,(유)이터너리,,M7153,,,,,모수밖,0,,공정위,네이버
1101140037377,(유)이터비아,,M7153,,,,,모수밖,0,,공정위,네이버
1101140280418,(유)재벌집막내아들문화산업전문회사,,J5911,콘텐츠·SW,미디어·광고·영상,,,T2,711,,공정위,중앙
2101140156121,(유)전주가온태양광발전,,D3511,시설·자산운영,에너지·자원·환경,,,T2,579,,공정위,엘에스
1101140205078,(유)제이씨엔,,J5911,콘텐츠·SW,미디어·광고·영상,,,T2,"1,627",,공정위,중앙
1101140342862,(유)제이앤케이에스,,L6821,,,,,모수밖,0,,공정위,중흥건설
1311140003568,(유)지음,,M7153,인적서비스,전문서비스,,,T2,64,,공정위,네이버
1101140288230,(유)티엔에이엠,,K6499,지주·투자,다품목·범용,,Y,T2,46,,공정위,토스
1101140288371,(유)편안한이동1,,H4923,운송·보관,육상운송,,,T2,"9,253",,공정위,토스
1101140304755,(유)편안한이동2,,H4923,운송·보관,육상운송,,,T2,"9,224",,공정위,토스
1801140004283,(유)해운대미디어플러스,,M7139,,,,,모수밖,0,,공정위,태영
1101140029981,(유)호라이즌,,N7599,,,,,모수밖,0,,공정위,원익
1601110398746,(주) 성경식품,,C1022,완제품제조,식품·음료,,,T2,"131,769",,공정위,삼천리
1601110472657,(주) 성경식품제2공장,,C1022,완제품제조,식품·음료,,,T2,"2,144",,공정위,삼천리
1101119168405,(주)가진에이케이엠,,M7153,인적서비스,전문서비스,,,T2,70,,공정위,지에스
1345110075254,(주)강남역1307피에프브이,,L6812,,,,,모수밖,0,,공정위,케이티
1401110000246,(주)강원일보,,J5812,콘텐츠·SW,미디어·광고·영상,,,T2,"26,615",,공정위,DB
1401110054920,(주)강원학교태양광,,D3511,시설·자산운영,에너지·자원·환경,,,T2,"6,886",,공정위,금호석유화학
1301110008771,(주)갤럭시아에스엠,011420,R9129,시설·자산운영,레저·숙박·스포츠,,,T2,"40,344",Y,공정위,효성
1101116380549,(주)게티이미지코리아,,M7390,인적서비스,전문서비스,,,T2,"16,330",,공정위,다우키움
1345110262242,(주)경기용인테크노밸리,,L6812,,,,,모수밖,0,,공정위,한화
1313110232193,(주)경기평택글로벌,,L6812,시설·자산운영,부동산·임대,,,T2,"61,222",,공정위,지에스
1101110633051,(주)경우,,G4610,,,,,모수밖,0,,공정위,하림
1348110685612,(주)고덕어반브릿지피에프브이,,L6812,,,,,모수밖,0,,공정위,대명화학
1801110734889,(주)고려에스엠,,H5292,운송·보관,창고·물류,,,T2,"6,941",,공정위,고려에이치씨
1101115031010,(주)고려에이치씨,,K6499,지주·투자,다품목·범용,,Y,T2,"137,482",,공정위,고려에이치씨
1346110027454,(주)고려에프앤에프,,C1083,완제품제조,식품·음료,,,T2,"34,868",,공정위,대명화학
1801110015304,(주)고려저축은행,,K6413,금융,은행업,,,T2,"147,618",,공정위,태광
1341110575239,(주)고운누리,,G4721,소매,식품·음료,,,T2,487,,공정위,엘지
1244110257172,(주)고촌복합개발자산관리,,L6812,시설·자산운영,부동산·임대,,,T2,6,,공정위,중흥건설
1101115974442,(주)골든시즈코퍼레이션,,M7131,,,,,모수밖,0,,공정위,롯데
1101118657243,(주)골든플라넷,,L6822,,,,,모수밖,0,,공정위,롯데
1101118787727,(주)골든피쉬크리에이티브,,G4610,도매·상사,다품목·범용,,,T2,535,,공정위,대명화학
1101115657519,(주)공영홈쇼핑,,G4791,소매,다품목·범용,,,T2,"188,283",,공정위,농협
1101116847896,(주)과천상상피에프브이,,L6812,,,,,모수밖,0,,공정위,케이티앤지
1101117427390,(주)광명문화복합단지자산관리,,L6821,인적서비스,부동산·임대,,,T2,455,,공정위,에이치디씨
1101110208931,(주)광영토건,,F4111,시공·건설,건설·시공,,,T2,"11,946",,공정위,부영
2001110054795,(주)광주신세계,037710,G4711,소매,다품목·범용,,,T2,"184,211",Y,공정위,신세계
2011110044612,(주)광주일보사,,J5812,콘텐츠·SW,미디어·광고·영상,,,T2,"6,629",,공정위,효성
1101110286058,(주)교보문고,,G4761,소매,다품목·범용,,,T2,"983,470",,공정위,교보생명보험
1341110535944,(주)군포복합개발피에프브이,,L6812,시설·자산운영,부동산·임대,,,T2,"273,877",,공정위,태영
1101117542065,(주)굿닥,,J5822,콘텐츠·SW,소프트웨어·IT,,,T2,981,,공정위,원익
1101118076302,(주)그로들,,J6399,플랫폼·중개,소프트웨어·IT,,,T2,"1,364",,공정위,한화
2841110383508,(주)그린가스솔루션이앤씨,,F4220,시공·건설,건설·시공,,,T2,"24,018",Y,공정위,엘에스
2301110286144,(주)그린누리,,N7421,인적서비스,사업지원서비스,,,T2,"4,940",,공정위,엘엑스
1649110021462,(주)그린산업,,S9691,인적서비스,사업지원서비스,,,T2,"1,557",,공정위,호반
1311110246536,(주)그린웹서비스,,J6312,플랫폼·중개,소프트웨어·IT,,,T2,"51,193",,공정위,네이버
1101114236520,(주)그린카,,N7611,시설·자산운영,기계·운송기기,완성차·부품,,T2,"73,196",,공정위,롯데
1301110125152,(주)그린텍남양,,E3832,,,,,모수밖,0,,공정위,삼천리
1101116925171,(주)그린파트너즈,,N7599,인적서비스,사업지원서비스,,,T2,"9,124",,공정위,아모레퍼시픽
1311110558519,(주)글라이드,,G4791,소매,다품목·범용,,,T2,891,,공정위,하림
1101115740645,(주)글라인,,R9019,인적서비스,음악·공연·엔터,,,T2,"5,646",,공정위,카카오
1101116278364,(주)글앤그림미디어,,J5911,콘텐츠·SW,미디어·광고·영상,,,T2,20,,공정위,카카오
1312110001433,(주)금강레저,,R9112,시설·자산운영,레저·숙박·스포츠,,,T2,"17,080",,공정위,케이씨씨
1101118321517,(주)기브릿지,,J6202,인적서비스,소프트웨어·IT,,,T2,35,,공정위,코오롱
1101116404828,(주)길픽쳐스,,J5911,,,,,모수밖,0,,공정위,씨제이
1955110120447,(주)김해테크노밸리,,L6812,,,,,모수밖,0,,공정위,한화
1101112309840,(주)나노이닉스,,C2049,소재제조,화학·소재,석유화학·기초,,T2,"5,152",,공정위,원익
1760110075546,(주)나눔누리,,N7421,인적서비스,사업지원서비스,,,T2,"28,378",,공정위,엘지
1101119096218,(주)나우뉴스,,J6391,,,,,모수밖,0,,공정위,호반
1101110932758,(주)나인비스튜디오,,J5821,,,,,모수밖,0,,공정위,크래프톤
1311110076513,(주)나잇나잇,,G4721,소매,식품·음료,,,T2,159,,공정위,대명화학
1101118095964,(주)나진,,L6812,시설·자산운영,부동산·임대,,,T2,9,,공정위,SM
2001110223895,(주)남도일보,,J5812,콘텐츠·SW,미디어·광고·영상,,,T2,"4,509",,공정위,중흥건설
1101117158391,(주)남부공원,,J5911,콘텐츠·SW,미디어·광고·영상,,,T2,162,,공정위,씨제이
1701110005042,(주)남선알미늄,008350,C2422,소재제조,금속,비철금속,,T2,"257,676",Y,공정위,SM
1701110706393,(주)남선홀딩스,,M7390,인적서비스,전문서비스,,,T2,"5,781",,공정위,SM
1152110020144,(주)남양개발,,F4111,,,,,모수밖,0,,공정위,부영
1101112516487,(주)남영자동차매매상사,,L6811,시설·자산운영,부동산·임대,,,T2,490,,공정위,효성
1101112207268,(주)네오플,,J5821,콘텐츠·SW,게임,,,T2,"1,072,672",,공정위,넥슨
2844110136985,(주)네이처페이지,,G4649,도매·상사,다품목·범용,,,T2,2,,공정위,롯데
1101117946910,(주)넥스트씬,,J5911,콘텐츠·SW,미디어·광고·영상,,,T2,220,,공정위,씨제이
1101116940749,(주)넥스트앤바이오,,M7011,인적서비스,의약·바이오,,,T2,"1,116",,공정위,한국콜마
1311110493434,(주)넥스포쏠라,,D3511,시설·자산운영,에너지·자원·환경,,,T2,"1,575",,공정위,엘에스
1311110493426,(주)넥스포에너지,,D3511,시설·자산운영,에너지·자원·환경,,,T2,"1,711",,공정위,엘에스
1101115781277,(주)넥슨게임즈,225570,J5821,콘텐츠·SW,게임,,,T2,"174,437",Y,공정위,넥슨
1101111122392,(주)넥슨네트웍스,,N7599,인적서비스,사업지원서비스,,,T2,"66,392",,공정위,넥슨
1311110349249,(주)넥슨스페이스,,N7410,인적서비스,사업지원서비스,,,T2,"34,505",,공정위,넥슨
1311110078075,(주)넥슨에이치큐,,M7153,,,,,모수밖,0,,공정위,넥슨
1311110689504,(주)넥슨유니버스,,J5822,콘텐츠·SW,소프트웨어·IT,,,T2,"3,533",,공정위,넥슨
1801110777483,(주)넥슨커뮤니케이션즈,,N7599,인적서비스,사업지원서비스,,,T2,"6,666",,공정위,넥슨
1101113320241,(주)넥슨코리아,,J5821,콘텐츠·SW,게임,,,T2,"3,105,882",,공정위,넥슨
1101115671171,(주)넵튠,217270,J5821,콘텐츠·SW,게임,,,T2,"30,182",Y,공정위,크래프톤
1101110057574,(주)농심,004370,C1082,완제품제조,식품·음료,,,T2,"2,734,714",Y,공정위,농심
1648110051396,(주)농심미분,,C1051,완제품제조,식품·음료,,,T2,"18,256",,공정위,농심
1801110607482,(주)농심캐피탈,,K6491,금융,여신전문금융업,,,T2,"41,311",,공정위,농심
1101112819005,(주)농심홀딩스,072710,K6499,지주·투자,다품목·범용,,Y,T2,"31,721",Y,공정위,농심
