record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,supplier_id,supplier_name,country_code,currency,lead_time_days,payment_terms,risk_grade,material_ids,active
mdm-02-9cd3e436b658,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4106561d9832,SUP-0001,글로벌 원료공급사 01 (가상),KR,KRW,18,NET30,LOW,"[""RM-LIME""]",True
mdm-02-58972d9625eb,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7183db99dc59,SUP-0002,글로벌 원료공급사 02 (가상),ID,USD,25,NET45,MEDIUM,"[""MAT-CO-0063"", ""MAT-CO-0015""]",True
mdm-02-19f54dbedfa0,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6880e6de8462,SUP-0003,글로벌 원료공급사 03 (가상),AU,USD,32,NET60,HIGH,"[""MAT-CO-0122"", ""MAT-CO-0087"", ""MAT-CO-0147""]",True
mdm-02-a4a7462cf07f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d6cc05667ff9,SUP-0004,글로벌 원료공급사 04 (가상),CL,USD,39,NET30,LOW,"[""MAT-CO-0200""]",True
mdm-02-d8573e1141bc,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bb782778d5f7,SUP-0005,글로벌 원료공급사 05 (가상),PE,KRW,46,NET45,MEDIUM,"[""MAT-CO-0026"", ""MAT-RA-0198""]",True
mdm-02-e26d71b096d2,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-66a843f23360,SUP-0006,글로벌 원료공급사 06 (가상),CN,USD,53,NET60,HIGH,"[""RM-MHP"", ""MAT-RA-0192"", ""MAT-RA-0079""]",True
mdm-02-fb585f0b9ab3,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-009ebef4f254,SUP-0007,글로벌 원료공급사 07 (가상),JP,USD,60,NET30,LOW,"[""MAT-RA-0186""]",True
mdm-02-556ebbea0c52,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8d8b0dd7222,SUP-0008,글로벌 원료공급사 08 (가상),CA,USD,67,NET45,MEDIUM,"[""MAT-CO-0117"", ""MAT-RA-0078""]",True
mdm-02-b82858b91387,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6ad36573e67,SUP-0009,글로벌 원료공급사 09 (가상),KR,KRW,74,NET60,HIGH,"[""MAT-CO-0105"", ""MAT-RA-0109"", ""MAT-RA-0012""]",True
mdm-02-4208fa1246bd,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bac56de6f17f,SUP-0010,글로벌 원료공급사 10 (가상),ID,USD,81,NET30,LOW,"[""MAT-RA-0091""]",True
mdm-02-95fe83e59fdf,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-93baac1d6fa5,SUP-0011,글로벌 원료공급사 11 (가상),AU,USD,88,NET45,MEDIUM,"[""MAT-CO-0015"", ""MAT-CO-0165""]",True
mdm-02-da6f39060f3f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-11a9954c03ab,SUP-0012,글로벌 원료공급사 12 (가상),CL,USD,22,NET60,HIGH,"[""MAT-RA-0066"", ""MAT-CO-0033"", ""MAT-RA-0199""]",True
mdm-02-7829a28bdfa1,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5d2528edd197,SUP-0013,글로벌 원료공급사 13 (가상),PE,KRW,29,NET30,LOW,"[""MAT-RA-0115""]",True
mdm-02-cb0e236974eb,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c381d5f28bc7,SUP-0014,글로벌 원료공급사 14 (가상),CN,USD,36,NET45,MEDIUM,"[""MAT-CO-0122"", ""MAT-RA-0120""]",True
mdm-02-317f678dd4df,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-820037b6b0f5,SUP-0015,글로벌 원료공급사 15 (가상),JP,USD,43,NET60,HIGH,"[""MAT-CO-0075"", ""MAT-RA-0055"", ""MAT-CO-0068""]",True
