record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,bom_id,line_no,output_material_id,input_material_id,component_role,quantity_per_output,input_uom,output_uom,standard_yield,byproduct_material_id,effective_from,effective_to
mdm-05-d6e4cf571a45,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a4e5f4a7fff4,BOM-FG-NISO4-01,1,FG-NISO4,RM-MHP,INPUT,1.15,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-481cf681f7d1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-68f488c47bad,BOM-FG-NISO4-01,2,FG-NISO4,RM-H2SO4,INPUT,0.32,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-8c1443eb3703,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e40a074b2f6d,BOM-FG-NISO4-01,3,FG-NISO4,RM-LIME,INPUT,0.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-df34b29fcb4e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d1a7a4557179,BOM-FG-LIOH-01,1,FG-LIOH,RM-H2SO4,INPUT,0.12,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-8dbad9e698cb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-41024a467b3d,BOM-FG-LIOH-01,2,FG-LIOH,RM-LIME,INPUT,0.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-b062ae4e4e65,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9c82c2541901,BOM-MAT-FI-0011-01,1,MAT-FI-0011,RM-LIME,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-59503f9b1866,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63d0e03f516a,BOM-MAT-FI-0017-01,1,MAT-FI-0017,MAT-RA-0007,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-cbb0b9f2d3c7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-faed01a5b1b5,BOM-MAT-FI-0023-01,1,MAT-FI-0023,MAT-CO-0008,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-c78b8ee3f219,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-31821edb2553,BOM-MAT-FI-0029-01,1,MAT-FI-0029,MAT-CO-0009,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-5d0599b746f8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ad1c82c4912,BOM-MAT-FI-0035-01,1,MAT-FI-0035,MAT-RA-0012,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-d3ac80f2ec19,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9d04fddf7147,BOM-MAT-FI-0041-01,1,MAT-FI-0041,MAT-RA-0013,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-805c4eff9a82,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e20c51fee2bd,BOM-MAT-FI-0047-01,1,MAT-FI-0047,MAT-CO-0014,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-39c30509bc09,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7efd1496c403,BOM-MAT-FI-0053-01,1,MAT-FI-0053,MAT-CO-0015,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-d36857193620,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-937e719b454b,BOM-MAT-FI-0059-01,1,MAT-FI-0059,MAT-RA-0018,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-e1f8dbddfafb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d8cf05ac007e,BOM-MAT-FI-0065-01,1,MAT-FI-0065,MAT-RA-0019,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-0e6a51a1c1b5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-750fbc204922,BOM-MAT-FI-0071-01,1,MAT-FI-0071,MAT-CO-0020,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-f206b9c3f69f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-95379f8c176f,BOM-MAT-FI-0077-01,1,MAT-FI-0077,MAT-CO-0021,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-44273058e343,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e62ea4620d05,BOM-MAT-FI-0083-01,1,MAT-FI-0083,MAT-RA-0024,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-78c476981dcb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5457d1751a75,BOM-MAT-FI-0089-01,1,MAT-FI-0089,MAT-RA-0025,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-e9134c643a96,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f0fc278ec56,BOM-MAT-FI-0095-01,1,MAT-FI-0095,MAT-CO-0026,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-a9a44aee8fab,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-303f8d23ec44,BOM-MAT-FI-0101-01,1,MAT-FI-0101,MAT-CO-0027,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-6d0ee99200bf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9237c4e9963a,BOM-MAT-FI-0107-01,1,MAT-FI-0107,MAT-RA-0030,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-57190d54ceb4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2bf11d113e8,BOM-MAT-FI-0113-01,1,MAT-FI-0113,MAT-RA-0031,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-bffbe6974477,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-47240b9383e5,BOM-MAT-FI-0119-01,1,MAT-FI-0119,MAT-CO-0032,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-9e8c33fb1596,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2a88da83e6b3,BOM-MAT-FI-0125-01,1,MAT-FI-0125,MAT-CO-0033,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-2b6b89594abf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-31c0d25bb47d,BOM-MAT-FI-0131-01,1,MAT-FI-0131,MAT-RA-0036,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-13ac8696d121,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-230478f0ea32,BOM-MAT-FI-0137-01,1,MAT-FI-0137,MAT-RA-0037,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-cf2bddea0a38,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7173f8070d4e,BOM-MAT-FI-0143-01,1,MAT-FI-0143,MAT-CO-0038,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-2151b13bb5e2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-99c1e1dda584,BOM-MAT-FI-0149-01,1,MAT-FI-0149,MAT-CO-0039,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-9ea2554f0127,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-36a7ed6541f1,BOM-MAT-FI-0155-01,1,MAT-FI-0155,MAT-RA-0042,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-e94328129e5b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5ebe8848d771,BOM-MAT-FI-0161-01,1,MAT-FI-0161,MAT-RA-0043,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-4fddcb6b6f41,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b037d3c88260,BOM-MAT-FI-0167-01,1,MAT-FI-0167,MAT-CO-0044,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-06cbf9a661ea,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d97e7a15631,BOM-MAT-FI-0173-01,1,MAT-FI-0173,MAT-CO-0045,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
