record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,contract_id,supplier_id,material_id,contract_quantity,ordered_quantity,quantity_uom,benchmark_code,benchmark_price,premium_rate,currency,incoterm,payment_terms,valid_from,valid_to,price_formula
prc-01-2c9f22414961,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-00c95a34b671,CTR-00001,SUP-0001,RM-MHP,10000,388.5,TON,NICKEL,8912.69,-0.02,KRW,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-2d6f00197356,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2a2f66008708,CTR-00002,SUP-0002,RM-H2SO4,12500,384.0,TON,SULFURIC_ACID,106.68,-0.012,USD,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-dc1bc1c412bb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c7ae5dbf888,CTR-00003,SUP-0003,RM-LIME,15000,379.5,TON,NICKEL,8912.69,-0.004,USD,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-a94d7bf96bf2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4f0355714713,CTR-00004,SUP-0004,MAT-RA-0007,17500,375.0,TON,NICKEL,8912.69,0.004,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-d2aa9552a5a9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6a836142e0e8,CTR-00005,SUP-0005,MAT-CO-0008,20000,370.5,EA,NICKEL,8912.69,0.012,KRW,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-cf690b6d119f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-711835740430,CTR-00006,SUP-0006,MAT-CO-0009,22500,366.0,EA,NICKEL,8912.69,0.02,USD,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-dbd8f1e46182,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6599e38dc416,CTR-00007,SUP-0007,MAT-RA-0012,25000,361.5,TON,NICKEL,8912.69,0.028,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-3a5af959d1e5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-131d560845e3,CTR-00008,SUP-0008,MAT-RA-0013,27500,357.0,TON,NICKEL,8912.69,0.036,USD,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-a80b4e45a393,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f86424c70d1a,CTR-00009,SUP-0009,MAT-CO-0014,30000,352.5,EA,NICKEL,8912.69,0.044,KRW,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-54f74fcaae93,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3fc4d42300c1,CTR-00010,SUP-0010,MAT-CO-0015,32500,397.5,EA,NICKEL,8912.69,-0.02,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-36b01685c3f8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8c21045a9497,CTR-00011,SUP-0001,MAT-RA-0018,10000,393.0,TON,NICKEL,8912.69,-0.012,KRW,FOB,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-8cf6f02e2868,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-774b7ee9aed5,CTR-00012,SUP-0002,MAT-RA-0019,12500,388.5,TON,NICKEL,8912.69,-0.004,USD,CFR,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-b26abc1058ec,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0e6637551f3f,CTR-00013,SUP-0003,MAT-CO-0020,15000,384.0,EA,NICKEL,8912.69,0.004,USD,CIF,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-65217174ba35,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bd737ef831cd,CTR-00014,SUP-0004,MAT-CO-0021,17500,379.5,EA,NICKEL,8912.69,0.012,USD,FOB,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
