record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,clearance_id,shipment_id,declaration_date,inspection_status,duty_amount,currency,cleared_at,status,source_version
log-04-0c1ceeb7f2ea,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84aae0f7ad10,CUSCLR-000001,SHP-000001,2023-08-24,CLEARED,0.0,KRW,2023-08-26,CLEARED,1
log-04-6281ac3d56f2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4ca3a6d09155,CUSCLR-000002,SHP-000002,2023-09-13,CLEARED,0.0,USD,2023-09-16,CLEARED,1
log-04-2717faa021f7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-85e875907784,CUSCLR-000003,SHP-000003,2023-11-01,CLEARED,0.0,USD,2023-11-05,CLEARED,1
log-04-aa4f59b52a44,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-098a121aba41,CUSCLR-000004,SHP-000004,2023-12-01,CLEARED,0.0,KRW,2023-12-02,CLEARED,1
log-04-ecd0dd69fc01,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d4f699831a29,CUSCLR-000005,SHP-000005,2023-12-18,CLEARED,5168.97,USD,2023-12-20,CLEARED,1
log-04-0a1ff4bf1580,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dcebd1d9ca3f,CUSCLR-000006,SHP-000006,2024-03-06,CLEARED,0.0,KRW,2024-03-09,CLEARED,1
log-04-9eb3a516e883,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f25b94862214,CUSCLR-000007,SHP-000007,2024-03-30,CLEARED,0.0,USD,2024-04-03,CLEARED,1
log-04-257eb56d76dd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f2bc974e6908,CUSCLR-000008,SHP-000008,2024-04-19,CLEARED,0.0,USD,2024-04-20,CLEARED,1
log-04-f8343ce44bd5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1cc47cd7e3df,CUSCLR-000009,SHP-000009,2024-03-06,CLEARED,0.0,USD,2024-03-08,CLEARED,1
log-04-976fa7fb113f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9d47ed391212,CUSCLR-000010,SHP-000010,2024-05-15,CLEARED,3928.42,USD,2024-05-18,CLEARED,1
