record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,cost_record_id,fiscal_period,product_id,cost_component,standard_unit_cost,actual_unit_cost,variance_amount,currency,quantity_uom
fin-01-76dbed234525,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f76a396da714,COST-202308-FG-LIOH-MATERIAL,2023-08,FG-LIOH,MATERIAL,13680.0,13543.05,-136.95,USD,TON
fin-01-2b0f9bb4b204,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-41b95214db62,COST-202308-FG-LIOH-CONVERSION,2023-08,FG-LIOH,CONVERSION,3040.0,2957.22,-82.78,USD,TON
fin-01-aa77e3274a69,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-550d5321d21e,COST-202308-FG-LIOH-LOGISTICS,2023-08,FG-LIOH,LOGISTICS,1330.0,1329.36,-0.64,USD,TON
fin-01-0449aabe9ec4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8b8d549d1ca3,COST-202308-FG-LIOH-QUALITY_LOSS,2023-08,FG-LIOH,QUALITY_LOSS,950.0,982.8,32.8,USD,TON
fin-01-340d883a8176,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d2a7274d5970,COST-202308-FG-NISO4-MATERIAL,2023-08,FG-NISO4,MATERIAL,11160.0,10905.43,-254.57,USD,TON
fin-01-de95c333bf6d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2d131ce5774e,COST-202308-FG-NISO4-CONVERSION,2023-08,FG-NISO4,CONVERSION,2480.0,2412.0,-68.0,USD,TON
fin-01-19680e1efed3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e44cf721a2c2,COST-202308-FG-NISO4-LOGISTICS,2023-08,FG-NISO4,LOGISTICS,1085.0,1128.12,43.12,USD,TON
fin-01-fecaab3b5cf9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4bfb869f1f68,COST-202308-FG-NISO4-QUALITY_LOSS,2023-08,FG-NISO4,QUALITY_LOSS,775.0,767.02,-7.98,USD,TON
fin-01-3df3d7250637,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5087e3293180,COST-202308-MAT-FI-0011-MATERIAL,2023-08,MAT-FI-0011,MATERIAL,13680.0,13502.64,-177.36,USD,TON
fin-01-6782f962e2cc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-747a61016ebb,COST-202308-MAT-FI-0011-CONVERSION,2023-08,MAT-FI-0011,CONVERSION,3040.0,3018.84,-21.16,USD,TON
