record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,node_id,node_type,code,name,parent_id,entity_mode,industry_code,effective_from,effective_to
fnd-01-59caac0393c4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-db85e404ef56,org-afs-demo-group,ENTERPRISE_GROUP,AFS_GROUP,AFS 데모소재그룹,,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-9b214b7bbc2b,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-04cebc0f131a,org-afs-advanced,LEGAL_ENTITY,AFS_ADVANCED,AFS 첨단소재 주식회사,org-afs-demo-group,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-f961fd0a1595,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5e9e6baf6fdc,org-afs-advanced-shared,SHARED_SERVICE,ADV_SHARED,AFS 첨단소재 전사공통,org-afs-advanced,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-0ede3b608b4e,tenant-afs-demo-materials,org-afs-battery-bu,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a46c931964db,org-afs-battery-bu,BUSINESS_DIVISION,BATTERY_BU,배터리소재사업부,org-afs-advanced,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-2f1277bd2a86,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ed8c14989166,plant-afs-battery-02,PLANT,BATTERY_P2,제2공장(황산니켈),org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-063bf323fbe3,tenant-afs-demo-materials,plant-afs-expansion-03,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e9f8e0dcbad6,plant-afs-expansion-03,PLANT,EXPANSION_P3,증설 제3공장,org-afs-battery-bu,VIRTUAL_EXPANSION,C24,2024-01-01,9999-12-31
fnd-01-8a63c94ce548,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b71fac973a26,dept-procurement,DEPARTMENT,PROC,원료구매팀,org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-0f05d8a99846,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2b9784d18fbf,dept-logistics,DEPARTMENT,LOG,물류팀,org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-b0fd17613973,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-eb53af845dcc,dept-production,DEPARTMENT,MFG,생산관리팀,org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-5d9467c7b8ca,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-eeca5bf56d39,dept-finance,DEPARTMENT,FIN,재무회계팀,org-afs-advanced-shared,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-13156581ca71,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c175525d27ea,dept-management,DEPARTMENT,MGT,경영관리팀,org-afs-advanced-shared,VIRTUAL,C24,2024-01-01,9999-12-31
