record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,snapshot_id,snapshot_date,location_id,material_id,lot_id,unrestricted_quantity,quality_quantity,blocked_quantity,safety_stock_quantity,quantity_uom
inv-01-1d5545a0c5f0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1e5561ce8784,STK-20230831-RM-MHP-LOC-P2-RAW,2023-08-31,LOC-P2-RAW,RM-MHP,ALL,38653.801,0.0,0.0,50.0,TON
inv-01-be4be9ca552d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d207e26f9347,STK-20230831-RM-MHP-LOC-P2-QI,2023-08-31,LOC-P2-QI,RM-MHP,ALL,0.0,0.0,0.0,50.0,TON
inv-01-a1c54196a19b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cdc1993ecf37,STK-20230831-RM-MHP-LOC-P2-WIP,2023-08-31,LOC-P2-WIP,RM-MHP,ALL,0.0,0.0,0.0,50.0,TON
inv-01-fe79b9bd809d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07e1872a299e,STK-20230831-RM-MHP-LOC-P2-FG,2023-08-31,LOC-P2-FG,RM-MHP,ALL,0.0,0.0,0.0,50.0,TON
inv-01-c84569b4a639,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8988c7ddc715,STK-20230831-RM-BLACKMASS-LOC-P2-RAW,2023-08-31,LOC-P2-RAW,RM-BLACKMASS,ALL,38630.619,0.0,0.0,50.0,TON
inv-01-79f3f8e4779b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3ae7aca72156,STK-20230831-RM-BLACKMASS-LOC-P2-QI,2023-08-31,LOC-P2-QI,RM-BLACKMASS,ALL,0.0,0.0,0.0,50.0,TON
inv-01-b1306c230629,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2adb17a83b9a,STK-20230831-RM-BLACKMASS-LOC-P2-WIP,2023-08-31,LOC-P2-WIP,RM-BLACKMASS,ALL,0.0,0.0,0.0,50.0,TON
inv-01-b9a80752b19d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8a05e0829b7b,STK-20230831-RM-BLACKMASS-LOC-P2-FG,2023-08-31,LOC-P2-FG,RM-BLACKMASS,ALL,0.0,0.0,0.0,50.0,TON
inv-01-55d606f60561,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ff5840209ed4,STK-20230831-RM-H2SO4-LOC-P2-RAW,2023-08-31,LOC-P2-RAW,RM-H2SO4,ALL,18821.813,0.0,0.0,50.0,TON
inv-01-173a5b587a54,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74f709d3b6df,STK-20230831-RM-H2SO4-LOC-P2-QI,2023-08-31,LOC-P2-QI,RM-H2SO4,ALL,0.0,0.0,0.0,50.0,TON
inv-01-d7bcc04ea761,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e825feae2f81,STK-20230831-RM-H2SO4-LOC-P2-WIP,2023-08-31,LOC-P2-WIP,RM-H2SO4,ALL,0.0,0.0,0.0,50.0,TON
inv-01-88980085c0ff,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ebfcd7b4b12c,STK-20230831-RM-H2SO4-LOC-P2-FG,2023-08-31,LOC-P2-FG,RM-H2SO4,ALL,0.0,0.0,0.0,50.0,TON
inv-01-60d683217e34,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a4cc0ce1965c,STK-20230831-RM-LIME-LOC-P2-RAW,2023-08-31,LOC-P2-RAW,RM-LIME,ALL,7497.96,0.0,0.0,50.0,TON
inv-01-a88ead1e756c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-412205cbc39d,STK-20230831-RM-LIME-LOC-P2-QI,2023-08-31,LOC-P2-QI,RM-LIME,ALL,0.0,0.0,0.0,50.0,TON
inv-01-e41b113823b3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-711b58845669,STK-20230831-RM-LIME-LOC-P2-WIP,2023-08-31,LOC-P2-WIP,RM-LIME,ALL,0.0,0.0,0.0,50.0,TON
inv-01-3c3cc2cbde0e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-def417149cb9,STK-20230831-RM-LIME-LOC-P2-FG,2023-08-31,LOC-P2-FG,RM-LIME,ALL,0.0,0.0,0.0,50.0,TON
inv-01-0b2fbaae7cef,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a10e7498d14e,STK-20230831-WIP-NISO4-LOC-P2-RAW,2023-08-31,LOC-P2-RAW,WIP-NISO4,ALL,0.0,0.0,0.0,10.0,TON
