record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,shipment_id,po_line_id,vessel_or_mode,origin_port,destination_port,lane_id,shipment_quantity,quantity_uom,freight_amount,freight_currency,etd,eta,status
log-02-6d89c9f77c69,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-39165d968fc1,SHP-000001,PO-000001-10,DEMO-VESSEL-02,PERTH,ULSAN,LANE-002,82.5,TON,6063.75,USD,2023-08-05,2023-08-22,DELIVERED
log-02-88b4084b6ba9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-839d065065d1,SHP-000002,PO-000002-10,DEMO-VESSEL-03,VALPARAISO,ULSAN,LANE-003,19.5,EA,1501.5,USD,2023-08-24,2023-09-10,DELIVERED
log-02-99d052be50dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d9f9d4f89aa7,SHP-000003,PO-000004-10,DEMO-VESSEL-04,SHANGHAI,ULSAN,LANE-004,28.5,TON,2294.25,USD,2023-09-30,2023-10-31,DELIVERED
log-02-65fbc11a1cc8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-11e55885a1d3,SHP-000004,PO-000005-10,DEMO-VESSEL-05,JAKARTA,ULSAN,LANE-005,181.5,TON,15246.0,USD,2023-10-19,2023-11-27,DELIVERED
log-02-0ad39122f4fe,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2d0c4371962,SHP-000005,PO-000006-10,DEMO-VESSEL-06,PERTH,ULSAN,LANE-006,37.5,EA,3281.25,USD,2023-11-07,2023-12-15,DELIVERED
log-02-0eeacfe134f6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-efa42434c16e,SHP-000006,PO-000009-10,DEMO-VESSEL-07,VALPARAISO,ULSAN,LANE-007,229.5,TON,20884.5,USD,2024-01-03,2024-03-04,DELIVERED
log-02-236b71e5a4bf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-29d49c9639d0,SHP-000007,PO-000010-10,DEMO-VESSEL-08,SHANGHAI,ULSAN,LANE-008,55.5,EA,5244.75,USD,2024-01-22,2024-03-28,DELIVERED
log-02-de1a73b74c69,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f7e73bb140a9,SHP-000008,PO-000011-10,DEMO-VESSEL-09,JAKARTA,ULSAN,LANE-009,60.0,TON,5880.0,USD,2024-02-10,2024-04-16,DELIVERED
log-02-23fb7bba2f8e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-79cc29540940,SHP-000009,PO-000012-10,DEMO-VESSEL-10,PERTH,ULSAN,LANE-010,15.0,TON,1522.5,USD,2024-02-10,2024-03-03,DELIVERED
log-02-706a7659bb05,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-113d75e5542f,SHP-000010,PO-000015-10,DEMO-VESSEL-11,VALPARAISO,ULSAN,LANE-011,28.5,TON,2992.5,USD,2024-04-07,2024-05-14,DELIVERED
log-02-f706ab75c399,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2e03c26f569a,SHP-000011,PO-000017-10,DEMO-VESSEL-12,SHANGHAI,ULSAN,LANE-012,206.25,TON,22378.12,USD,2024-05-15,2024-07-02,DELIVERED
log-02-ce8c0c579c13,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7875b7b8bcc2,SHP-000012,PO-000018-10,DEMO-VESSEL-13,JAKARTA,ULSAN,LANE-013,42.0,EA,4704.0,USD,2024-06-03,2024-07-22,DELIVERED
log-02-a82f10173524,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c0d183ec453c,SHP-000013,PO-000019-10,DEMO-VESSEL-14,PERTH,ULSAN,LANE-014,46.5,TON,3255.0,USD,2024-06-21,2024-08-18,DELIVERED
log-02-1089de3d9993,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-50a251fe8420,SHP-000014,PO-000020-10,DEMO-VESSEL-15,VALPARAISO,ULSAN,LANE-015,51.0,TON,3748.5,USD,2024-07-10,2024-09-11,DELIVERED
log-02-76940f38e678,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3c16a4cd0dec,SHP-000015,PO-000022-10,DEMO-VESSEL-16,SHANGHAI,ULSAN,LANE-016,60.0,EA,4620.0,USD,2024-07-30,2024-08-13,DELIVERED
log-02-24b5019f877e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3cc1fc8d8660,SHP-000016,PO-000023-10,DEMO-VESSEL-17,JAKARTA,ULSAN,LANE-017,15.0,TON,1207.5,USD,2024-08-18,2024-09-10,DELIVERED
log-02-cb6316fce909,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ccf6a8e20e31,SHP-000017,PO-000024-10,DEMO-VESSEL-01,PERTH,ULSAN,LANE-018,19.5,TON,1638.0,USD,2024-09-06,2024-09-30,DELIVERED
log-02-c7961e5ac70b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4d653aab8529,SHP-000018,PO-000025-10,DEMO-VESSEL-02,VALPARAISO,ULSAN,LANE-019,108.0,TON,9450.0,USD,2024-09-25,2024-10-25,DELIVERED
log-02-f2bd67a50794,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-32fab86ccdf9,SHP-000019,PO-000026-10,DEMO-VESSEL-03,SHANGHAI,ULSAN,LANE-020,28.5,EA,2593.5,USD,2024-10-13,2024-11-17,DELIVERED
log-02-8594e2c1bdd4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-55569cdb6731,SHP-000020,PO-000027-10,DEMO-VESSEL-04,JAKARTA,ULSAN,LANE-021,33.0,TON,3118.5,USD,2024-11-01,2024-12-12,DELIVERED
log-02-ce09d6044e63,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cad9855ee214,SHP-000021,PO-000028-10,DEMO-VESSEL-05,PERTH,ULSAN,LANE-022,37.5,TON,3675.0,USD,2024-11-20,2025-01-05,DELIVERED
log-02-a97366c44ffb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-50c4f66db5be,SHP-000022,PO-000029-10,DEMO-VESSEL-06,VALPARAISO,ULSAN,LANE-023,105.0,TON,10657.5,USD,2024-12-10,2025-01-28,DELIVERED
log-02-c2056a8cccbc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-060181060262,SHP-000023,PO-000030-10,DEMO-VESSEL-07,SHANGHAI,ULSAN,LANE-024,46.5,EA,4882.5,USD,2024-12-28,2025-02-24,DELIVERED
log-02-62326a29412a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e1b5f2c05442,SHP-000024,PO-000031-10,DEMO-VESSEL-08,JAKARTA,ULSAN,LANE-025,51.0,TON,5533.5,USD,2025-01-16,2025-03-18,DELIVERED
log-02-5e0f14efbf5a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-90798052b936,SHP-000025,PO-000032-10,DEMO-VESSEL-09,PERTH,ULSAN,LANE-026,55.5,TON,6216.0,USD,2025-02-04,2025-04-16,DELIVERED
log-02-6878c198ced0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-452a3144c172,SHP-000026,PO-000033-10,DEMO-VESSEL-10,VALPARAISO,ULSAN,LANE-027,330.0,TON,23100.0,USD,2025-02-04,2025-02-20,DELIVERED
log-02-273a80f8e69b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-df8a74bba521,SHP-000027,PO-000034-10,DEMO-VESSEL-11,SHANGHAI,ULSAN,LANE-028,15.0,EA,1102.5,USD,2025-02-23,2025-03-21,DELIVERED
log-02-9b109d94b7b4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e786e1ea91be,SHP-000028,PO-000035-10,DEMO-VESSEL-12,JAKARTA,ULSAN,LANE-029,19.5,TON,1501.5,USD,2025-03-14,2025-04-11,DELIVERED
log-02-ddad9f843886,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a8c1b26d3087,SHP-000029,PO-000037-10,DEMO-VESSEL-13,PERTH,ULSAN,LANE-030,156.75,TON,12618.38,USD,2025-04-21,2025-06-04,DELIVERED
log-02-74b57b5ae476,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-566ea7938c71,SHP-000030,PO-000038-10,DEMO-VESSEL-14,VALPARAISO,ULSAN,LANE-001,33.0,EA,2772.0,USD,2025-05-10,2025-06-22,DELIVERED
log-02-876923b5f5ff,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1496be987870,SHP-000031,PO-000039-10,DEMO-VESSEL-15,SHANGHAI,ULSAN,LANE-002,37.5,TON,3281.25,USD,2025-05-29,2025-07-22,DELIVERED
log-02-cd669401fc92,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c7f920b8ced8,SHP-000032,PO-000040-10,DEMO-VESSEL-16,JAKARTA,ULSAN,LANE-003,42.0,TON,3822.0,USD,2025-06-17,2025-08-11,DELIVERED
log-02-5152aba84fb5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ffea53898ef1,SHP-000033,PO-000042-10,DEMO-VESSEL-17,PERTH,ULSAN,LANE-004,51.0,TON,4819.5,USD,2025-07-09,2025-08-02,DELIVERED
log-02-afe2fd94c40c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b5fef3c261b1,SHP-000034,PO-000043-10,DEMO-VESSEL-01,VALPARAISO,ULSAN,LANE-005,55.5,TON,5439.0,USD,2025-07-29,2025-08-26,DELIVERED
log-02-98289bc8e34d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bb5ca6203999,SHP-000035,PO-000044-10,DEMO-VESSEL-02,SHANGHAI,ULSAN,LANE-006,60.0,EA,6090.0,USD,2025-08-16,2025-09-16,DELIVERED
log-02-dcae30d45a9c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2c2d1e1d7b5a,SHP-000036,PO-000045-10,DEMO-VESSEL-03,JAKARTA,ULSAN,LANE-007,37.5,TON,3937.5,USD,2025-09-04,2025-10-10,DELIVERED
log-02-f12bd575f36d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d2846e45605a,SHP-000037,PO-000046-10,DEMO-VESSEL-04,PERTH,ULSAN,LANE-008,19.5,TON,2115.75,USD,2025-09-23,2025-11-16,DELIVERED
log-02-2ead3ec2765b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ade8f62de87,SHP-000038,PO-000047-10,DEMO-VESSEL-05,VALPARAISO,ULSAN,LANE-009,24.0,TON,2688.0,USD,2025-10-12,2025-11-25,DELIVERED
log-02-e4212c007536,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8b30a657af3d,SHP-000039,PO-000050-10,DEMO-VESSEL-06,SHANGHAI,ULSAN,LANE-010,37.5,TON,2625.0,USD,2025-12-08,2026-02-06,DELIVERED
log-02-6fd828195bff,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c4cf310802f0,SHP-000040,PO-000053-10,DEMO-VESSEL-07,JAKARTA,ULSAN,LANE-011,280.5,TON,20616.75,USD,2026-01-15,2026-02-10,DELIVERED
log-02-967c002bcb40,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6d671b326fa3,SHP-000041,PO-000055-10,DEMO-VESSEL-08,PERTH,ULSAN,LANE-012,60.0,TON,4620.0,USD,2026-02-21,2026-03-25,DELIVERED
log-02-94bcbd3e8b81,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6cba7ba2bf63,SHP-000042,PO-000057-10,DEMO-VESSEL-09,VALPARAISO,ULSAN,LANE-013,87.75,TON,7063.88,USD,2026-04-01,2026-05-15,DELIVERED
log-02-87c12b4b9f1c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d60ae1c4133d,SHP-000043,PO-000059-10,DEMO-VESSEL-10,SHANGHAI,ULSAN,LANE-014,28.5,EA,2394.0,USD,2026-05-08,2026-07-03,DELIVERED
log-02-4d5437f7875d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8b3a0356e07a,SHP-000044,PO-000061-10,DEMO-VESSEL-11,JAKARTA,ULSAN,LANE-015,93.75,TON,8203.12,USD,2026-06-15,2026-08-22,DELIVERED
log-02-59d42961c150,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-858a4a08283d,SHP-000045,PO-000063-10,DEMO-VESSEL-12,PERTH,ULSAN,LANE-016,46.5,EA,4231.5,USD,2026-07-04,2026-07-28,DELIVERED
log-02-d3bca5590a31,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-abd27eb0755e,SHP-000046,PO-000064-10,DEMO-VESSEL-13,VALPARAISO,ULSAN,LANE-017,51.0,EA,4819.5,USD,2026-07-24,2026-08-17,DELIVERED
log-02-37d2edae7d14,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5d7ead8ba300,SHP-000047,PO-000066-10,DEMO-VESSEL-14,SHANGHAI,ULSAN,LANE-018,60.0,TON,5880.0,USD,2023-08-31,2023-10-09,DELIVERED
log-02-cd02d4e5c9b9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ac7a025bf896,SHP-000048,PO-000068-10,DEMO-VESSEL-15,JAKARTA,ULSAN,LANE-019,19.5,EA,1979.25,USD,2023-10-08,2023-11-27,DELIVERED
