record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,routing_id,operation_seq,operation_name,equipment_id,equipment_name,product_id,rate_per_hour,rate_uom,setup_hours,rated_oee,calendar_hours_month
mdm-06-58072ec85cf0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cb7f925af73a,ROUTE-FG-NISO4,10,원료준비,EQ-02-001,원료준비 설비 01,FG-NISO4,3.5,TON/H,0.5,0.82,720
mdm-06-ae3f97cc3b4b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a6487787787,ROUTE-FG-NISO4,20,침출·용해,EQ-02-002,침출·용해 설비 02,FG-NISO4,4.2,TON/H,0.75,0.835,720
mdm-06-132757efef6f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7bd3b55a2b80,ROUTE-FG-NISO4,30,정제,EQ-02-003,정제 설비 03,FG-NISO4,4.9,TON/H,1.0,0.85,720
mdm-06-21a224e20369,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0b0b2cdb7dd2,ROUTE-FG-NISO4,40,결정화,EQ-02-004,결정화 설비 04,FG-NISO4,5.6,TON/H,1.25,0.865,720
mdm-06-5768c8befbb1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f53341c8ef3,ROUTE-FG-NISO4,50,건조·포장,EQ-02-005,건조·포장 설비 05,FG-NISO4,6.3,TON/H,0.5,0.88,720
mdm-06-076f63f6f4fc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-830499b686ae,ROUTE-FG-LIOH,10,원료준비,EQ-02-006,원료준비 설비 06,FG-LIOH,7.0,TON/H,0.75,0.895,720
mdm-06-f30998fb9193,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-45ba02f1bfd5,ROUTE-FG-LIOH,20,침출·용해,EQ-02-007,침출·용해 설비 07,FG-LIOH,7.7,TON/H,1.0,0.91,720
mdm-06-86b43a84b42f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-82e679358987,ROUTE-FG-LIOH,30,정제,EQ-02-008,정제 설비 08,FG-LIOH,8.4,TON/H,1.25,0.925,720
mdm-06-4216ce571f7a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4512a0578674,ROUTE-FG-LIOH,40,결정화,EQ-02-009,결정화 설비 09,FG-LIOH,3.5,TON/H,0.5,0.82,720
mdm-06-56d3b8152bb7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f8ef8193cee4,ROUTE-FG-LIOH,50,건조·포장,EQ-02-010,건조·포장 설비 10,FG-LIOH,4.2,TON/H,0.75,0.835,720
mdm-06-49cb39a26cc2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7589368ca61f,ROUTE-MAT-FI-0011,10,원료준비,EQ-02-011,원료준비 설비 11,MAT-FI-0011,4.9,TON/H,1.0,0.85,720
mdm-06-3dab84848ea6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c90209a946fa,ROUTE-MAT-FI-0011,20,침출·용해,EQ-02-012,침출·용해 설비 12,MAT-FI-0011,5.6,TON/H,1.25,0.865,720
mdm-06-dff16d48241e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-170a27eacd80,ROUTE-MAT-FI-0011,30,정제,EQ-02-013,정제 설비 13,MAT-FI-0011,6.3,TON/H,0.5,0.88,720
mdm-06-c40c42944658,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-de8e6228bd02,ROUTE-MAT-FI-0011,40,결정화,EQ-02-014,결정화 설비 14,MAT-FI-0011,7.0,TON/H,0.75,0.895,720
mdm-06-0d283069ab58,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f8d4e9e069ed,ROUTE-MAT-FI-0011,50,건조·포장,EQ-02-015,건조·포장 설비 15,MAT-FI-0011,7.7,TON/H,1.0,0.91,720
mdm-06-1b8bfa1f5a00,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d60465a11637,ROUTE-MAT-FI-0017,10,원료준비,EQ-02-016,원료준비 설비 16,MAT-FI-0017,8.4,TON/H,1.25,0.925,720
mdm-06-5c5cca0b689c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d66191ba9470,ROUTE-MAT-FI-0017,20,침출·용해,EQ-02-017,침출·용해 설비 17,MAT-FI-0017,3.5,TON/H,0.5,0.82,720
mdm-06-f63c00b66d7b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-33e6107e7939,ROUTE-MAT-FI-0017,30,정제,EQ-02-018,정제 설비 18,MAT-FI-0017,4.2,TON/H,0.75,0.835,720
mdm-06-e7c77129754e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7ff3a57abbe1,ROUTE-MAT-FI-0017,40,결정화,EQ-02-019,결정화 설비 19,MAT-FI-0017,4.9,TON/H,1.0,0.85,720
mdm-06-908f193aea85,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f260d2c1e9b4,ROUTE-MAT-FI-0017,50,건조·포장,EQ-02-020,건조·포장 설비 20,MAT-FI-0017,5.6,TON/H,1.25,0.865,720
mdm-06-07b46035e2d4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-34f2e4045d9b,ROUTE-MAT-FI-0023,10,원료준비,EQ-02-021,원료준비 설비 21,MAT-FI-0023,6.3,TON/H,0.5,0.88,720
mdm-06-fe97e09cd4a7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-365a3f972c2e,ROUTE-MAT-FI-0023,20,침출·용해,EQ-02-022,침출·용해 설비 22,MAT-FI-0023,7.0,TON/H,0.75,0.895,720
mdm-06-e94faa6ff78f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a3660e90d782,ROUTE-MAT-FI-0023,30,정제,EQ-02-023,정제 설비 23,MAT-FI-0023,7.7,TON/H,1.0,0.91,720
mdm-06-1de0589ce27c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-81e0907d6e64,ROUTE-MAT-FI-0023,40,결정화,EQ-02-024,결정화 설비 24,MAT-FI-0023,8.4,TON/H,1.25,0.925,720
mdm-06-ed76dbf60432,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-13160665f86a,ROUTE-MAT-FI-0023,50,건조·포장,EQ-02-025,건조·포장 설비 25,MAT-FI-0023,3.5,TON/H,0.5,0.82,720
mdm-06-c6b0213535f3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c19b122f19a7,ROUTE-MAT-FI-0029,10,원료준비,EQ-02-026,원료준비 설비 26,MAT-FI-0029,4.2,TON/H,0.75,0.835,720
mdm-06-6b205f94d719,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e9811f3e5b96,ROUTE-MAT-FI-0029,20,침출·용해,EQ-02-027,침출·용해 설비 27,MAT-FI-0029,4.9,TON/H,1.0,0.85,720
mdm-06-8b8b63dbc0a7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b98e8be8dff9,ROUTE-MAT-FI-0029,30,정제,EQ-02-028,정제 설비 28,MAT-FI-0029,5.6,TON/H,1.25,0.865,720
mdm-06-e9f50896d7a3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a2b3103a2be6,ROUTE-MAT-FI-0029,40,결정화,EQ-02-029,결정화 설비 29,MAT-FI-0029,6.3,TON/H,0.5,0.88,720
mdm-06-70e553693a2b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d246369c4ed3,ROUTE-MAT-FI-0029,50,건조·포장,EQ-02-030,건조·포장 설비 30,MAT-FI-0029,7.0,TON/H,0.75,0.895,720
mdm-06-6e047d413e41,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a550ac35e61c,ROUTE-MAT-FI-0035,10,원료준비,EQ-02-031,원료준비 설비 31,MAT-FI-0035,7.7,TON/H,1.0,0.91,720
mdm-06-03639d8d79e1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4551f850db39,ROUTE-MAT-FI-0035,20,침출·용해,EQ-02-032,침출·용해 설비 32,MAT-FI-0035,8.4,TON/H,1.25,0.925,720
mdm-06-bac796e796c1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c4eae427bad1,ROUTE-MAT-FI-0035,30,정제,EQ-02-033,정제 설비 33,MAT-FI-0035,3.5,TON/H,0.5,0.82,720
mdm-06-94cacc89b52c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-754a4fc63618,ROUTE-MAT-FI-0035,40,결정화,EQ-02-034,결정화 설비 34,MAT-FI-0035,4.2,TON/H,0.75,0.835,720
mdm-06-3efd5a8ba658,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8452b25979a3,ROUTE-MAT-FI-0035,50,건조·포장,EQ-02-035,건조·포장 설비 35,MAT-FI-0035,4.9,TON/H,1.0,0.85,720
mdm-06-a7699d6b2a04,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bcd59b59149e,ROUTE-MAT-FI-0041,10,원료준비,EQ-02-036,원료준비 설비 36,MAT-FI-0041,5.6,TON/H,1.25,0.865,720
mdm-06-309f6e960628,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1109832c48b2,ROUTE-MAT-FI-0041,20,침출·용해,EQ-02-037,침출·용해 설비 37,MAT-FI-0041,6.3,TON/H,0.5,0.88,720
mdm-06-e2687aa14e8e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5afe6c82886d,ROUTE-MAT-FI-0041,30,정제,EQ-02-038,정제 설비 38,MAT-FI-0041,7.0,TON/H,0.75,0.895,720
mdm-06-ce5c521cf545,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9b105ae42dc6,ROUTE-MAT-FI-0041,40,결정화,EQ-02-039,결정화 설비 39,MAT-FI-0041,7.7,TON/H,1.0,0.91,720
mdm-06-9b92d32dd384,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-75b00b8bf8b8,ROUTE-MAT-FI-0041,50,건조·포장,EQ-02-040,건조·포장 설비 40,MAT-FI-0041,8.4,TON/H,1.25,0.925,720
mdm-06-9a6f63361ac9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4799afdf398d,ROUTE-MAT-FI-0047,10,원료준비,EQ-02-041,원료준비 설비 41,MAT-FI-0047,3.5,TON/H,0.5,0.82,720
mdm-06-e94e0d51bc7b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c12a28004338,ROUTE-MAT-FI-0047,20,침출·용해,EQ-02-042,침출·용해 설비 42,MAT-FI-0047,4.2,TON/H,0.75,0.835,720
mdm-06-0a6f08af60af,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-952968ad2158,ROUTE-MAT-FI-0047,30,정제,EQ-02-043,정제 설비 43,MAT-FI-0047,4.9,TON/H,1.0,0.85,720
mdm-06-1cbbf41856f7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-20b8ca5019c3,ROUTE-MAT-FI-0047,40,결정화,EQ-02-044,결정화 설비 44,MAT-FI-0047,5.6,TON/H,1.25,0.865,720
mdm-06-614ae4bee178,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-766aab59e1c1,ROUTE-MAT-FI-0047,50,건조·포장,EQ-02-045,건조·포장 설비 45,MAT-FI-0047,6.3,TON/H,0.5,0.88,720
mdm-06-b281ababfd17,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-80ae1b8064c9,ROUTE-MAT-FI-0053,10,원료준비,EQ-02-046,원료준비 설비 46,MAT-FI-0053,7.0,TON/H,0.75,0.895,720
mdm-06-86a8c921963f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c866a8358a51,ROUTE-MAT-FI-0053,20,침출·용해,EQ-02-047,침출·용해 설비 47,MAT-FI-0053,7.7,TON/H,1.0,0.91,720
mdm-06-fd3918364ef3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1627f655870e,ROUTE-MAT-FI-0053,30,정제,EQ-02-048,정제 설비 48,MAT-FI-0053,8.4,TON/H,1.25,0.925,720
