record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,sales_line_id,customer_id,product_id,order_date,due_date,actual_ship_date,plan_quantity,order_quantity,shipped_quantity,quantity_uom,unit_price,currency,status
sls-01-08f17ae7ad87,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-acf212407e2f,SO-000001-10,CUS-0001,FG-NISO4,2023-08-01,2023-08-21,2023-08-23,8.0,8.0,8.0,TON,22800.0,KRW,SHIPPED
sls-01-3d576c14f610,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2d17383513ce,SO-000002-10,CUS-0002,FG-LIOH,2023-08-14,2023-09-04,2023-09-02,9.7,9.7,9.7,TON,30784.0,USD,SHIPPED
sls-01-fd834037cfce,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-69d9b7fb0d8f,SO-000003-10,CUS-0003,FG-NISO4,2023-08-27,2023-09-18,2023-09-17,11.4,11.4,11.4,TON,23376.0,USD,SHIPPED
sls-01-213919bb9f4a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e54904f3cf0b,SO-000004-10,CUS-0004,FG-LIOH,2023-09-09,2023-10-02,2023-10-04,13.1,13.1,13.1,TON,31552.0,USD,SHIPPED
sls-01-a7b76e9ab919,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c034a7fd1c48,SO-000005-10,CUS-0005,FG-NISO4,2023-09-22,2023-10-16,2023-10-17,14.8,14.8,14.8,TON,23952.0,KRW,SHIPPED
sls-01-68aa276304b4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-55ed02c2bac5,SO-000006-10,CUS-0006,FG-LIOH,2023-10-05,2023-10-30,2023-10-30,16.5,16.5,16.5,TON,32320.0,USD,SHIPPED
sls-01-2dd36a3d755e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f245f6b9eadc,SO-000007-10,CUS-0007,FG-NISO4,2023-10-18,2023-11-13,2023-11-11,18.2,18.2,18.2,TON,24528.0,USD,SHIPPED
sls-01-4b99fb377220,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-38a49a4029dd,SO-000008-10,CUS-0008,FG-LIOH,2023-10-31,2023-11-27,2023-11-28,19.9,19.9,19.9,TON,33088.0,USD,SHIPPED
sls-01-876611649704,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c50e62c6c067,SO-000009-10,CUS-0009,FG-NISO4,2023-11-13,2023-12-11,2023-12-13,21.6,21.6,21.6,TON,25104.0,KRW,SHIPPED
sls-01-747fb5da8e7d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a1eb2869f1ff,SO-000010-10,CUS-0010,FG-LIOH,2023-11-27,2023-12-26,2023-12-27,23.3,23.3,23.3,TON,30400.0,USD,SHIPPED
sls-01-ef3f715a3ee0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4153e1047555,SO-000011-10,CUS-0011,FG-NISO4,2023-12-10,2024-01-09,2024-01-08,25.0,25.0,25.0,TON,23088.0,USD,SHIPPED
sls-01-e5df1b8aa986,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5387a8e83196,SO-000012-10,CUS-0012,FG-LIOH,2023-12-23,2024-01-23,2024-01-23,26.7,26.7,26.7,TON,31168.0,USD,SHIPPED
sls-01-3a0ffb7134e1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c30646cc6f5f,SO-000013-10,CUS-0013,FG-NISO4,2024-01-05,2024-02-06,2024-02-05,28.4,28.4,28.4,TON,23664.0,KRW,SHIPPED
sls-01-8263fb63a9ac,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-264308be74ec,SO-000014-10,CUS-0014,FG-LIOH,2024-01-18,2024-02-20,2024-02-22,30.1,30.1,30.1,TON,31936.0,USD,SHIPPED
