record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,cost_record_id,fiscal_period,product_id,cost_component,standard_unit_cost,actual_unit_cost,variance_amount,currency,quantity_uom
fin-01-fa86f13d3184,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-af795fbf62c7,COST-202602-FG-LIOH-MATERIAL,2026-02,FG-LIOH,MATERIAL,13680.0,13976.08,296.08,USD,TON
fin-01-17714b632501,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-47ea5e40a02b,COST-202602-FG-LIOH-CONVERSION,2026-02,FG-LIOH,CONVERSION,3040.0,3140.92,100.92,USD,TON
fin-01-ff50a1a42c28,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-08aefe3ea692,COST-202602-FG-LIOH-LOGISTICS,2026-02,FG-LIOH,LOGISTICS,1330.0,1395.79,65.79,USD,TON
fin-01-76663da6ecf8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-174bf99077e0,COST-202602-FG-LIOH-QUALITY_LOSS,2026-02,FG-LIOH,QUALITY_LOSS,950.0,951.01,1.01,USD,TON
fin-01-4e7f4a6d4218,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-41d585a26fe2,COST-202602-FG-NISO4-MATERIAL,2026-02,FG-NISO4,MATERIAL,11160.0,11024.17,-135.83,USD,TON
fin-01-5c2fe898e3ad,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7bbf204e74cc,COST-202602-FG-NISO4-CONVERSION,2026-02,FG-NISO4,CONVERSION,2480.0,2495.32,15.32,USD,TON
fin-01-ec63b43edcc7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1ae56e814978,COST-202602-FG-NISO4-LOGISTICS,2026-02,FG-NISO4,LOGISTICS,1085.0,1086.15,1.15,USD,TON
fin-01-3a5abebc99ce,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-22c291ef7e19,COST-202602-FG-NISO4-QUALITY_LOSS,2026-02,FG-NISO4,QUALITY_LOSS,775.0,788.48,13.48,USD,TON
fin-01-4ebf150172c5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ff89168a8478,COST-202602-MAT-FI-0011-MATERIAL,2026-02,MAT-FI-0011,MATERIAL,13680.0,13937.95,257.95,USD,TON
fin-01-392623df0d61,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2347ae0b4275,COST-202602-MAT-FI-0011-CONVERSION,2026-02,MAT-FI-0011,CONVERSION,3040.0,2988.95,-51.05,USD,TON
