record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,shipment_id,po_line_id,vessel_or_mode,origin_port,destination_port,lane_id,shipment_quantity,quantity_uom,freight_amount,freight_currency,etd,eta,status
log-02-5f9adf6ac7a3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d010c9a4bbbe,SHP-000001,PO-000002-10,DEMO-VESSEL-02,PERTH,ULSAN,LANE-002,19.5,EA,1433.25,USD,2026-02-24,2026-03-16,DELIVERED
log-02-c9f0596919bd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f263f21b9a90,SHP-000002,PO-000003-10,DEMO-VESSEL-03,VALPARAISO,ULSAN,LANE-003,24.0,TON,1848.0,USD,2026-03-15,2026-04-13,DELIVERED
log-02-99d052be50dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d9f9d4f89aa7,SHP-000003,PO-000004-10,DEMO-VESSEL-04,SHANGHAI,ULSAN,LANE-004,28.5,TON,2294.25,USD,2026-04-02,2026-05-06,DELIVERED
log-02-179b457f3696,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6f6e1eb0ef2d,SHP-000004,PO-000006-10,DEMO-VESSEL-05,JAKARTA,ULSAN,LANE-005,37.5,EA,3150.0,USD,2026-05-10,2026-06-24,DELIVERED
log-02-73f6e0f96c8e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fef34f8b5897,SHP-000005,PO-000007-10,DEMO-VESSEL-06,PERTH,ULSAN,LANE-006,42.0,TON,3675.0,USD,2026-05-29,2026-07-14,DELIVERED
log-02-44de4e203630,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07f2cc747c62,SHP-000006,PO-000008-10,DEMO-VESSEL-07,VALPARAISO,ULSAN,LANE-007,46.5,TON,4231.5,USD,2026-06-17,2026-08-11,DELIVERED
log-02-ee64fb83b5c8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4c5f9d3af466,SHP-000007,PO-000009-10,DEMO-VESSEL-08,SHANGHAI,ULSAN,LANE-008,229.5,TON,21687.75,USD,2026-07-06,2026-08-31,DELIVERED
log-02-662dc64721ca,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7e7cfe5a8be5,SHP-000008,PO-000010-10,DEMO-VESSEL-09,JAKARTA,ULSAN,LANE-009,55.5,EA,5439.0,USD,2026-07-25,2026-09-25,DELIVERED
log-02-225ba21e4f17,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b430bb216208,SHP-000009,PO-000013-10,DEMO-VESSEL-10,PERTH,ULSAN,LANE-010,48.75,TON,4948.12,USD,2026-03-06,2026-04-01,DELIVERED
log-02-1f37d200750f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c5e1d1e11b72,SHP-000010,PO-000014-10,DEMO-VESSEL-11,VALPARAISO,ULSAN,LANE-011,24.0,EA,2520.0,USD,2026-03-24,2026-04-22,DELIVERED
log-02-e9ae6c385f0d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cd06ee92aa78,SHP-000011,PO-000016-10,DEMO-VESSEL-12,SHANGHAI,ULSAN,LANE-012,33.0,EA,3580.5,USD,2026-05-02,2026-06-13,DELIVERED
