record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,material_id,material_code,material_name,aliases,material_type,grade,base_uom,valuation_class,benchmark_code,active
mdm-01-5622e369de0b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-32fb628fd4ed,RM-MHP,RM-MHP,니켈 MHP,니켈 MHP|RM MHP,RAW,NI_40PCT,TON,RAW,NICKEL,True
mdm-01-0cbf619c2fd2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-65b8cd0bbc8e,RM-BLACKMASS,RM-BLACKMASS,Black Mass(폐배터리 파쇄분),Black Mass(폐배터리 파쇄분)|RM BLACKMASS,RAW,LI_4PCT,TON,RAW,LITHIUM,True
mdm-01-468c072151b9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1352352db7b6,RM-H2SO4,RM-H2SO4,황산 98%,황산 98%|RM H2SO4,RAW,TECHNICAL_98PCT,TON,RAW,SULFURIC_ACID,True
mdm-01-5fff910d748c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-45108dbf33e1,RM-LIME,RM-LIME,소석회,소석회|RM LIME,RAW,INDUSTRIAL,TON,RAW,INDUSTRIAL_CHEMICAL,True
mdm-01-440c860dca55,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d7210d92f0a6,WIP-NISO4,WIP-NISO4,조황산니켈 용액,조황산니켈 용액|WIP NISO4,WIP,CRUDE_SOLUTION,TON,WIP,,True
mdm-01-54af716ff051,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-24759a6eb42d,FG-NISO4,FG-NISO4,고순도 황산니켈,고순도 황산니켈|FG NISO4,FINISHED,BATTERY_GRADE,TON,FINISHED,NICKEL_SULFATE,True
mdm-01-1ce6cc8667c5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ec766b945c7,FG-LIOH,FG-LIOH,배터리급 수산화리튬,배터리급 수산화리튬|FG LIOH,FINISHED,BATTERY_GRADE,TON,FINISHED,LITHIUM,True
mdm-01-c73b93d95bcd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-54ab7affff22,MAT-CO-0008,MAT-CO-0008,포장재 008,포장재008|DEMO-008,CONSUMABLE,G1,EA,CONSUMABLE,,True
mdm-01-4d0f8af3d504,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b4246bf7e988,MAT-CO-0009,MAT-CO-0009,예비품 009,예비품009|DEMO-009,CONSUMABLE,G2,EA,CONSUMABLE,,True
mdm-01-c29213742b35,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-56a0138133fd,MAT-WI-0010,MAT-WI-0010,중간재 010,중간재010|DEMO-010,WIP,G3,TON,WIP,,True
