record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,finance_document_id,document_type,partner_id,reference_id,posting_date,due_date,amount,currency,paid_at,status
fin-02-b883c3f5a0c2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-330a714b57d7,AP-PO-000001-10,AP,SUP-0001,PO-000001-10,2026-02-19,2026-04-05,2978898.23,KRW,2026-04-02,PAID
fin-02-96019aad08dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cd59bd322aed,AP-PO-000002-10,AP,SUP-0002,PO-000002-10,2026-03-15,2026-04-29,389266.54,USD,2026-04-26,PAID
fin-02-a0afd20bb785,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5beca293022a,AP-PO-000003-10,AP,SUP-0003,PO-000003-10,2026-04-08,2026-05-23,213048.96,USD,2026-05-20,PAID
fin-02-735df3e6711e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30c92db8bad4,AP-PO-000005-10,AP,SUP-0005,PO-000005-10,2026-05-26,2026-07-10,21529408.03,KRW,2026-07-07,PAID
fin-02-11113cffd746,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-58b81decd108,AP-PO-000006-10,AP,SUP-0006,PO-000006-10,2026-06-19,2026-08-03,340910.25,USD,2026-07-31,PAID
fin-02-01df7de651e6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ab473dfc3587,AP-PO-000007-10,AP,SUP-0007,PO-000007-10,2026-07-13,2026-08-27,384814.5,USD,2026-08-24,PAID
fin-02-f05ef0ab7390,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a81a397bbef4,AP-PO-000008-10,AP,SUP-0008,PO-000008-10,2026-08-07,2026-09-21,429360.07,USD,2026-09-18,PAID
fin-02-cdaa4cfaf12e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b7166e2bfa5b,AP-PO-000009-10,AP,SUP-0009,PO-000009-10,2026-08-31,2026-10-15,37994.77,KRW,2026-10-12,PAID
fin-02-7a30274da6f4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b084a15af2d5,AP-PO-000010-10,AP,SUP-0010,PO-000010-10,2026-09-24,2026-11-08,484761.42,USD,2026-11-05,PAID
fin-02-038808770569,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7087446c73ea,AP-PO-000012-10,AP,SUP-0002,PO-000012-10,2026-03-06,2026-04-20,133155.6,USD,2026-04-17,PAID
