record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,ledger_line_id,document_id,posting_date,fiscal_period,account_id,cost_center_id,debit_amount,credit_amount,currency,cashflow_line,plan_actual
fin-03-3250638570d7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4d0df695170e,GL-00000001,AP-PO-000001-10,2026-02-19,2026-02,1200,CC-PROC,2978898.23,0.0,KRW,INVENTORY,ACTUAL
fin-03-a730695b91ff,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ba4889bb4043,GL-00000002,AP-PO-000001-10,2026-02-19,2026-02,2000,CC-PROC,0.0,2978898.23,KRW,AP,ACTUAL
fin-03-a8b44eb127d1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ba598818a55f,GL-00000003,AP-PO-000002-10,2026-03-15,2026-03,1200,CC-PROC,389266.54,0.0,USD,INVENTORY,ACTUAL
fin-03-2d63023a954c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-304ae20131cf,GL-00000004,AP-PO-000002-10,2026-03-15,2026-03,2000,CC-PROC,0.0,389266.54,USD,AP,ACTUAL
fin-03-447890bc87cd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7db55fb6117b,GL-00000005,AP-PO-000003-10,2026-04-08,2026-04,1200,CC-PROC,213048.96,0.0,USD,INVENTORY,ACTUAL
fin-03-0d270b2583cf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-35c9a49af438,GL-00000006,AP-PO-000003-10,2026-04-08,2026-04,2000,CC-PROC,0.0,213048.96,USD,AP,ACTUAL
fin-03-f45859a48f12,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7b63d9643693,GL-00000007,AP-PO-000005-10,2026-05-26,2026-05,1200,CC-PROC,21529408.03,0.0,KRW,INVENTORY,ACTUAL
fin-03-56f77353f655,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bc4d799d77c5,GL-00000008,AP-PO-000005-10,2026-05-26,2026-05,2000,CC-PROC,0.0,21529408.03,KRW,AP,ACTUAL
fin-03-c311840f74a2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-699c9f67afa3,GL-00000009,AP-PO-000006-10,2026-06-19,2026-06,1200,CC-PROC,340910.25,0.0,USD,INVENTORY,ACTUAL
fin-03-ff5aa2887b30,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4cec0cab7d5c,GL-00000010,AP-PO-000006-10,2026-06-19,2026-06,2000,CC-PROC,0.0,340910.25,USD,AP,ACTUAL
fin-03-4823a983bc4e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8a5f0433a87f,GL-00000011,AP-PO-000007-10,2026-07-13,2026-07,1200,CC-PROC,384814.5,0.0,USD,INVENTORY,ACTUAL
