record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,routing_id,operation_seq,operation_name,equipment_id,equipment_name,product_id,rate_per_hour,rate_uom,setup_hours,rated_oee,calendar_hours_month
mdm-06-58072ec85cf0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cb7f925af73a,ROUTE-FG-NISO4,10,원료준비,EQ-02-001,원료준비 설비 01,FG-NISO4,3.5,TON/H,0.5,0.82,720
mdm-06-ae3f97cc3b4b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a6487787787,ROUTE-FG-NISO4,20,침출·용해,EQ-02-002,침출·용해 설비 02,FG-NISO4,4.2,TON/H,0.75,0.835,720
mdm-06-132757efef6f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7bd3b55a2b80,ROUTE-FG-NISO4,30,정제,EQ-02-003,정제 설비 03,FG-NISO4,4.9,TON/H,1.0,0.85,720
mdm-06-21a224e20369,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0b0b2cdb7dd2,ROUTE-FG-NISO4,40,결정화,EQ-02-004,결정화 설비 04,FG-NISO4,5.6,TON/H,1.25,0.865,720
mdm-06-5768c8befbb1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f53341c8ef3,ROUTE-FG-NISO4,50,건조·포장,EQ-02-005,건조·포장 설비 05,FG-NISO4,6.3,TON/H,0.5,0.88,720
mdm-06-076f63f6f4fc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-830499b686ae,ROUTE-FG-LIOH,10,원료준비,EQ-02-006,원료준비 설비 06,FG-LIOH,7.0,TON/H,0.75,0.895,720
mdm-06-f30998fb9193,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-45ba02f1bfd5,ROUTE-FG-LIOH,20,침출·용해,EQ-02-007,침출·용해 설비 07,FG-LIOH,7.7,TON/H,1.0,0.91,720
mdm-06-86b43a84b42f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-82e679358987,ROUTE-FG-LIOH,30,정제,EQ-02-008,정제 설비 08,FG-LIOH,8.4,TON/H,1.25,0.925,720
mdm-06-4216ce571f7a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4512a0578674,ROUTE-FG-LIOH,40,결정화,EQ-02-009,결정화 설비 09,FG-LIOH,3.5,TON/H,0.5,0.82,720
mdm-06-56d3b8152bb7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f8ef8193cee4,ROUTE-FG-LIOH,50,건조·포장,EQ-02-010,건조·포장 설비 10,FG-LIOH,4.2,TON/H,0.75,0.835,720
mdm-06-49cb39a26cc2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7589368ca61f,ROUTE-MAT-FI-0011,10,원료준비,EQ-02-011,원료준비 설비 11,MAT-FI-0011,4.9,TON/H,1.0,0.85,720
mdm-06-3dab84848ea6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c90209a946fa,ROUTE-MAT-FI-0011,20,침출·용해,EQ-02-012,침출·용해 설비 12,MAT-FI-0011,5.6,TON/H,1.25,0.865,720
