record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,ledger_line_id,document_id,posting_date,fiscal_period,account_id,cost_center_id,debit_amount,credit_amount,currency,cashflow_line,plan_actual
fin-03-c165ab521287,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2afb8f67f38a,GL-00000001,AP-PO-000001-10,2023-08-19,2023-08,1200,CC-PROC,5874112.2,0.0,KRW,INVENTORY,ACTUAL
fin-03-e7775e3a516a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6313cb466507,GL-00000002,AP-PO-000001-10,2023-08-19,2023-08,2000,CC-PROC,0.0,5874112.2,KRW,AP,ACTUAL
fin-03-6f4a4b4e78c4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-366701a57ad8,GL-00000003,AP-PO-000002-10,2023-09-12,2023-09,1200,CC-PROC,3325681.0,0.0,USD,INVENTORY,ACTUAL
fin-03-14f95be7869a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8dc5b3ddb3b,GL-00000004,AP-PO-000002-10,2023-09-12,2023-09,2000,CC-PROC,0.0,3325681.0,USD,AP,ACTUAL
fin-03-0286a10cf622,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fcfd56725393,GL-00000005,AP-PO-000003-10,2023-10-06,2023-10,1200,CC-PROC,3488592.83,0.0,USD,INVENTORY,ACTUAL
fin-03-c434f71dafd8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0f77350c54ab,GL-00000006,AP-PO-000003-10,2023-10-06,2023-10,2000,CC-PROC,0.0,3488592.83,USD,AP,ACTUAL
fin-03-126e3a0c4c8e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2033e8e72aad,GL-00000007,AP-PO-000004-10,2023-10-30,2023-10,1200,CC-PROC,3803001.37,0.0,USD,INVENTORY,ACTUAL
fin-03-fce06223aae9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9ca8b0d95f07,GL-00000008,AP-PO-000004-10,2023-10-30,2023-10,2000,CC-PROC,0.0,3803001.37,USD,AP,ACTUAL
fin-03-c88fb6cbfaef,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a45911651b12,GL-00000009,AP-PO-000005-10,2023-11-23,2023-11,1200,CC-PROC,15995744.2,0.0,KRW,INVENTORY,ACTUAL
fin-03-e510309af817,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2cabe0b81094,GL-00000010,AP-PO-000005-10,2023-11-23,2023-11,2000,CC-PROC,0.0,15995744.2,KRW,AP,ACTUAL
fin-03-cd7e9e973563,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-407166a240d5,GL-00000011,AP-PO-000006-10,2023-12-17,2023-12,1200,CC-PROC,3933651.13,0.0,USD,INVENTORY,ACTUAL
