record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,snapshot_id,snapshot_date,location_id,material_id,lot_id,unrestricted_quantity,quality_quantity,blocked_quantity,safety_stock_quantity,quantity_uom
inv-01-91819cbb0a3b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b9cd86f69365,STK-20260228-RM-MHP-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-MHP,ALL,2589.689,0.0,0.0,50.0,TON
inv-01-c3ad2321f426,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ed30d4e2476a,STK-20260228-RM-MHP-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-MHP,ALL,0.0,0.0,0.0,50.0,TON
inv-01-cc01616ab82b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f1c78fe83bbf,STK-20260228-RM-BLACKMASS-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-BLACKMASS,ALL,2584.881,0.0,0.0,50.0,TON
inv-01-bcc62320734e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2dcebb900418,STK-20260228-RM-BLACKMASS-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-BLACKMASS,ALL,0.0,0.0,0.0,50.0,TON
inv-01-c86046931340,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-18d39cedf54e,STK-20260228-RM-H2SO4-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-H2SO4,ALL,1721.66,0.0,0.0,50.0,TON
inv-01-08926ddf17c4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ef6cddc79fe2,STK-20260228-RM-H2SO4-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-H2SO4,ALL,0.0,0.0,0.0,50.0,TON
inv-01-4b109b593f5f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6273ee6d8b48,STK-20260228-RM-LIME-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-LIME,ALL,1921.776,0.0,0.0,50.0,TON
inv-01-9ea293535cb4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d64c626d2042,STK-20260228-RM-LIME-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-LIME,ALL,0.0,0.0,0.0,50.0,TON
inv-01-6e60a8f5f95f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-55da6ac57deb,STK-20260228-WIP-NISO4-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,WIP-NISO4,ALL,100.0,0.0,0.0,10.0,TON
inv-01-a6e590c75132,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4ca1637a290c,STK-20260228-WIP-NISO4-LOC-P2-FG,2026-02-28,LOC-P2-FG,WIP-NISO4,ALL,0.0,0.0,0.0,10.0,TON
