record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,bom_id,line_no,output_material_id,input_material_id,component_role,quantity_per_output,input_uom,output_uom,standard_yield,byproduct_material_id,effective_from,effective_to
mdm-05-d6e4cf571a45,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a4e5f4a7fff4,BOM-FG-NISO4-01,1,FG-NISO4,RM-MHP,INPUT,1.15,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-481cf681f7d1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-68f488c47bad,BOM-FG-NISO4-01,2,FG-NISO4,RM-H2SO4,INPUT,0.32,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-8c1443eb3703,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e40a074b2f6d,BOM-FG-NISO4-01,3,FG-NISO4,RM-LIME,INPUT,0.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-df34b29fcb4e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d1a7a4557179,BOM-FG-LIOH-01,1,FG-LIOH,RM-BLACKMASS,INPUT,5.2,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-8dbad9e698cb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-41024a467b3d,BOM-FG-LIOH-01,2,FG-LIOH,RM-H2SO4,INPUT,0.12,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-71d4e5761bf0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-df5be67be93d,BOM-FG-LIOH-01,3,FG-LIOH,RM-LIME,INPUT,0.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-7b82acd123ef,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-10feff432fc5,BOM-MAT-FI-0011-01,1,MAT-FI-0011,RM-H2SO4,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-89113e5e61e3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b7704c09d162,BOM-MAT-FI-0017-01,1,MAT-FI-0017,RM-LIME,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-3f485525bce3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7149564565b2,BOM-MAT-FI-0023-01,1,MAT-FI-0023,MAT-CO-0008,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-cf51ce9095a5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-362da6233e69,BOM-MAT-FI-0029-01,1,MAT-FI-0029,MAT-CO-0009,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
