record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,batch_id,plan_line_id,production_date,site_id,input_material_id,input_lot_id,input_quantity,output_material_id,output_lot_id,output_quantity,quantity_uom,actual_yield,scrap_quantity,downtime_hours,status
mfg-02-675878f160ea,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce03f9423344,BATCH-0000001,MPS-0000001,2026-02-01,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000001,4.011,FG-LIOH,LOT-FG-0000001,3.825,TON,0.95363,0.186,4,CONFIRMED
mfg-02-c453f6a72ec3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-65ffea5d320c,BATCH-0000002,MPS-0000002,2026-02-07,plant-afs-battery-02,RM-MHP,LOT-RM-000002,5.056,FG-NISO4,LOT-FG-0000002,4.694,TON,0.92843,0.362,0,CONFIRMED
mfg-02-bb3597eb0317,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07876c8009fd,BATCH-0000003,MPS-0000003,2026-02-13,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000003,5.949,FG-LIOH,LOT-FG-0000003,5.585,TON,0.93882,0.364,0,CONFIRMED
mfg-02-c27910483693,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74df97f8e1f2,BATCH-0000004,MPS-0000004,2026-02-19,plant-afs-battery-02,RM-MHP,LOT-RM-000004,6.894,FG-NISO4,LOT-FG-0000004,6.499,TON,0.94267,0.395,0,CONFIRMED
mfg-02-5d9eef25a20d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-de26d3c9172c,BATCH-0000005,MPS-0000005,2026-02-21,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000005,7.674,FG-LIOH,LOT-FG-0000005,7.435,TON,0.9689,0.239,0,CONFIRMED
mfg-02-58542c69ca11,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-37a17edcb91d,BATCH-0000006,MPS-0000006,2026-02-27,plant-afs-battery-02,RM-MHP,LOT-RM-000006,8.87,FG-NISO4,LOT-FG-0000006,8.395,TON,0.94642,0.475,0,CONFIRMED
mfg-02-6d9ba73ff883,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1dac9544c01d,BATCH-0000007,MPS-0000007,2026-03-05,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000007,10.098,FG-LIOH,LOT-FG-0000007,9.377,TON,0.92862,0.721,0,CONFIRMED
mfg-02-fb29aa4f371e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f6813fe7d981,BATCH-0000008,MPS-0000008,2026-03-11,plant-afs-battery-02,RM-MHP,LOT-RM-000008,11.141,FG-NISO4,LOT-FG-0000008,10.381,TON,0.93181,0.76,0,CONFIRMED
mfg-02-5d638238a785,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ee9fea5531a,BATCH-0000009,MPS-0000009,2026-03-13,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000009,12.415,FG-LIOH,LOT-FG-0000009,11.409,TON,0.91896,1.006,0,CONFIRMED
mfg-02-909add14c849,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5bf9c78187a1,BATCH-0000010,MPS-0000010,2026-03-19,plant-afs-battery-02,RM-MHP,LOT-RM-000010,13.125,FG-NISO4,LOT-FG-0000010,12.459,TON,0.94927,0.666,0,CONFIRMED
mfg-02-973ccb1c760d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c9b77e2847f,BATCH-0000011,MPS-0000011,2026-03-25,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000011,14.513,FG-LIOH,LOT-FG-0000011,13.531,TON,0.93232,0.982,0,CONFIRMED
mfg-02-6445ed575d98,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63dd5705f6c2,BATCH-0000012,MPS-0000012,2026-04-01,plant-afs-battery-02,RM-MHP,LOT-RM-000012,13.431,FG-NISO4,LOT-FG-0000012,12.661,TON,0.94268,0.77,0,CONFIRMED
