record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,observation_id,indicator_code,target_ref,observed_at,published_at,value,unit,source_id,trust_grade
ext-03-7d6244940c23,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2ad42adb0c10,EXT3-SEA_FREIGHT-202108,SEA_FREIGHT,LANE,2021-08-31,2021-09-12,82.0433,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-349fa79b6515,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b55dfc102579,EXT3-INDUSTRIAL_POWER-202108,INDUSTRIAL_POWER,plant-afs-battery-02,2021-08-31,2021-09-12,127.4604,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-f68544c7e4f4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-335708826415,EXT3-MFG_DEMAND_INDEX-202108,MFG_DEMAND_INDEX,INDUSTRY,2021-08-31,2021-09-12,100.0,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-e06f032577cd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-98d260b83863,EXT3-SEA_FREIGHT-202109,SEA_FREIGHT,LANE,2021-09-30,2021-10-12,80.8278,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-77a68c81b2fe,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c37fb559e20d,EXT3-INDUSTRIAL_POWER-202109,INDUSTRIAL_POWER,plant-afs-battery-02,2021-09-30,2021-10-12,126.3574,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-1bff1ecd82bf,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5b16c13cd0a2,EXT3-MFG_DEMAND_INDEX-202109,MFG_DEMAND_INDEX,INDUSTRY,2021-09-30,2021-10-12,101.4844,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-78a9ee5cfd96,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ded0ab08758,EXT3-SEA_FREIGHT-202110,SEA_FREIGHT,LANE,2021-10-31,2021-11-12,77.108,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-894ec1dda26f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e1b41f175c8e,EXT3-INDUSTRIAL_POWER-202110,INDUSTRIAL_POWER,plant-afs-battery-02,2021-10-31,2021-11-12,125.6378,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-ffd2a4afa0af,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b8a40935b792,EXT3-MFG_DEMAND_INDEX-202110,MFG_DEMAND_INDEX,INDUSTRY,2021-10-31,2021-11-12,102.8766,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-948e17a0999a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c5fe22ca291,EXT3-SEA_FREIGHT-202111,SEA_FREIGHT,LANE,2021-11-30,2021-12-12,69.2804,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-cbf696c2afb1,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-57c11e76c391,EXT3-INDUSTRIAL_POWER-202111,INDUSTRIAL_POWER,plant-afs-battery-02,2021-11-30,2021-12-12,125.0277,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-44f2243c9aaf,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d1b2c86b515b,EXT3-MFG_DEMAND_INDEX-202111,MFG_DEMAND_INDEX,INDUSTRY,2021-11-30,2021-12-12,104.0898,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-e1286494edcf,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6384afd93d95,EXT3-SEA_FREIGHT-202112,SEA_FREIGHT,LANE,2021-12-31,2022-01-12,71.4459,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-7e9bef0ff0b7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aea3bdb1a318,EXT3-INDUSTRIAL_POWER-202112,INDUSTRIAL_POWER,plant-afs-battery-02,2021-12-31,2022-01-12,124.1153,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-e6ae4186f270,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e2aa7d9be58e,EXT3-MFG_DEMAND_INDEX-202112,MFG_DEMAND_INDEX,INDUSTRY,2021-12-31,2022-01-12,105.0488,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-d4a32c19c7e9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0fe02a78e536,EXT3-SEA_FREIGHT-202201,SEA_FREIGHT,LANE,2022-01-31,2022-02-12,74.7269,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-9365e343c043,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-60cda4bb532b,EXT3-INDUSTRIAL_POWER-202201,INDUSTRIAL_POWER,plant-afs-battery-02,2022-01-31,2022-02-12,121.7186,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-161e95df8a37,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-05ef2aea9535,EXT3-MFG_DEMAND_INDEX-202201,MFG_DEMAND_INDEX,INDUSTRY,2022-01-31,2022-02-12,105.6939,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
