record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,finance_document_id,document_type,partner_id,reference_id,posting_date,due_date,amount,currency,paid_at,status
fin-02-b883c3f5a0c2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-330a714b57d7,AP-PO-000001-10,AP,SUP-0001,PO-000001-10,2023-08-19,2023-10-03,469802.85,KRW,2023-09-30,PAID
fin-02-96019aad08dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cd59bd322aed,AP-PO-000002-10,AP,SUP-0002,PO-000002-10,2023-09-12,2023-10-27,615729.46,USD,2023-10-24,PAID
fin-02-8a571c2febe4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3cd327426842,AP-PO-000004-10,AP,SUP-0004,PO-000004-10,2023-10-30,2023-12-14,914485.77,USD,2023-12-11,PAID
fin-02-735df3e6711e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30c92db8bad4,AP-PO-000005-10,AP,SUP-0005,PO-000005-10,2023-11-23,2024-01-07,1067315.37,KRW,2024-01-04,PAID
fin-02-11113cffd746,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-58b81decd108,AP-PO-000006-10,AP,SUP-0006,PO-000006-10,2023-12-17,2024-01-31,1222446.38,USD,2024-01-28,PAID
fin-02-681356359dc7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-92a0c17c16f3,AP-PO-000009-10,AP,SUP-0009,PO-000009-10,2024-02-28,2024-04-13,1701645.09,KRW,2024-04-10,PAID
fin-02-d6bcc19b1db2,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-00cc00d3b277,AP-PO-000010-10,AP,SUP-0010,PO-000010-10,2024-03-23,2024-05-07,1738270.54,USD,2024-05-04,PAID
fin-02-7d1dd6cf05a0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5e3cc9b909bb,AP-PO-000011-10,AP,SUP-0011,PO-000011-10,2024-04-16,2024-05-31,1894552.2,USD,2024-05-28,PAID
fin-02-d050276fc4d0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f4f3103fca79,AP-PO-000012-10,AP,SUP-0012,PO-000012-10,2024-02-27,2024-04-12,477473.1,USD,2024-04-09,PAID
fin-02-a54f8cca1fe8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-112ac8c1cf2b,AP-PO-000015-10,AP,SUP-0015,PO-000015-10,2024-05-10,2024-06-24,929059.24,USD,2024-06-21,PAID
fin-02-5561b52497c5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f404e8ef53fa,AP-PO-000017-10,AP,SUP-0017,PO-000017-10,2024-06-27,2024-08-11,1241622.0,KRW,2024-08-08,PAID
fin-02-643bf31c8981,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c59678edd0ba,AP-PO-000018-10,AP,SUP-0018,PO-000018-10,2024-07-21,2024-09-04,1401354.78,USD,2024-09-01,PAID
fin-02-7bab481cfa67,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-27cb41f0d070,AP-PO-000019-10,AP,SUP-0019,PO-000019-10,2024-08-14,2024-09-28,1456388.83,USD,2024-09-25,PAID
fin-02-fc848caa5418,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-df556feb82f9,AP-PO-000020-10,AP,SUP-0020,PO-000020-10,2024-09-07,2024-10-22,1610369.37,USD,2024-10-19,PAID
fin-02-24a18a367815,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3b35e396cd3c,AP-PO-000022-10,AP,SUP-0022,PO-000022-10,2024-08-14,2024-09-28,1925233.2,USD,2024-09-25,PAID
fin-02-6270c7ee5f81,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1f753a52f663,AP-PO-000023-10,AP,SUP-0023,PO-000023-10,2024-09-07,2024-10-22,485143.35,USD,2024-10-19,PAID
fin-02-414ff8f1ea3f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f367d3ff973f,AP-PO-000024-10,AP,SUP-0024,PO-000024-10,2024-10-01,2024-11-15,635672.11,USD,2024-11-12,PAID
fin-02-8c7895f977e3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1fd191249d66,AP-PO-000025-10,AP,SUP-0025,PO-000025-10,2024-10-25,2024-12-09,788501.76,KRW,2024-12-06,PAID
fin-02-712d19bad534,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9b3f14f3e656,AP-PO-000026-10,AP,SUP-0026,PO-000026-10,2024-11-18,2025-01-02,943632.72,USD,2024-12-30,PAID
fin-02-f2927204e65e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-77a394ed6e30,AP-PO-000027-10,AP,SUP-0027,PO-000027-10,2024-12-12,2025-01-26,1101064.47,USD,2025-01-23,PAID
fin-02-ba444a98b302,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8e8d9f4391c1,AP-PO-000028-10,AP,SUP-0028,PO-000028-10,2025-01-05,2025-02-19,1174507.12,USD,2025-02-16,PAID
fin-02-24b17fbe4ba7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e205728a950,AP-PO-000029-10,AP,SUP-0029,PO-000029-10,2025-01-30,2025-03-16,1326186.54,KRW,2025-03-13,PAID
fin-02-dcb11b9189e1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e8c309ca26d3,AP-PO-000030-10,AP,SUP-0030,PO-000030-10,2025-02-23,2025-04-09,1480166.61,USD,2025-04-06,PAID
fin-02-00d49b947745,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-16bbad0ab0f2,AP-PO-000031-10,AP,SUP-0031,PO-000031-10,2025-03-19,2025-05-03,1636448.22,USD,2025-04-30,PAID
fin-02-f62e71cdf8b3,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7d99ac265875,AP-PO-000032-10,AP,SUP-0032,PO-000032-10,2025-04-12,2025-05-27,1795030.4,USD,2025-05-24,PAID
fin-02-10f5e37f53a3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ecd46c1c3503,AP-PO-000033-10,AP,SUP-0033,PO-000033-10,2025-02-22,2025-04-08,1955914.2,KRW,2025-04-05,PAID
fin-02-30a9ee8d2f69,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-796cd058eb8e,AP-PO-000034-10,AP,SUP-0034,PO-000034-10,2025-03-18,2025-05-02,492813.6,USD,2025-04-29,PAID
fin-02-339d56a057ed,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-00840555c258,AP-PO-000035-10,AP,SUP-0035,PO-000035-10,2025-04-11,2025-05-26,645643.44,USD,2025-05-23,PAID
fin-02-ac09e7e70223,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-82bee730a7e6,AP-PO-000037-10,AP,SUP-0037,PO-000037-10,2025-05-30,2025-07-14,892625.41,KRW,2025-07-11,PAID
fin-02-7652f8cbe47e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6dcb2d11e0b4,AP-PO-000038-10,AP,SUP-0038,PO-000038-10,2025-06-23,2025-08-07,1042003.71,USD,2025-08-04,PAID
fin-02-153bb8324484,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-02f4e6c59e4a,AP-PO-000039-10,AP,SUP-0039,PO-000039-10,2025-07-17,2025-08-31,1193682.75,USD,2025-08-28,PAID
fin-02-69ff0cd054b4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-37559967430c,AP-PO-000040-10,AP,SUP-0040,PO-000040-10,2025-08-10,2025-09-24,1347663.24,USD,2025-09-21,PAID
fin-02-a52f9baa8abe,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-45dc02501f6e,AP-PO-000042-10,AP,SUP-0002,PO-000042-10,2025-07-28,2025-09-11,1662527.07,USD,2025-09-08,PAID
fin-02-87ca284dea67,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-773129400b7b,AP-PO-000043-10,AP,SUP-0003,PO-000043-10,2025-08-22,2025-10-06,1823410.32,USD,2025-10-03,PAID
fin-02-a99d9123d80d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9b25189ec6bf,AP-PO-000044-10,AP,SUP-0004,PO-000044-10,2025-09-15,2025-10-30,1986595.2,USD,2025-10-27,PAID
fin-02-9abfe12a4de7,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-89ec5e8e04a6,AP-PO-000045-10,AP,SUP-0005,PO-000045-10,2025-10-09,2025-11-23,500483.85,KRW,2025-11-20,PAID
fin-02-2d074e74f8b0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fbabd0cf87cd,AP-PO-000046-10,AP,SUP-0006,PO-000046-10,2025-11-02,2025-12-17,610743.7,USD,2025-12-14,PAID
fin-02-4cd65b87358c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e6cefee0f457,AP-PO-000047-10,AP,SUP-0007,PO-000047-10,2025-11-26,2026-01-10,757820.88,USD,2026-01-07,PAID
fin-02-22cc3923581c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0da69e840838,AP-PO-000050-10,AP,SUP-0010,PO-000050-10,2026-02-07,2026-03-24,1212858.38,USD,2026-03-21,PAID
fin-02-de4fbb9220b7,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b14314477faf,AP-PO-000053-10,AP,SUP-0013,PO-000053-10,2026-02-06,2026-03-23,1688605.92,KRW,2026-03-20,PAID
fin-02-4d789d5921b4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-05e064f2070d,AP-PO-000055-10,AP,SUP-0015,PO-000055-10,2026-03-26,2026-05-10,1879211.4,USD,2026-05-07,PAID
fin-02-635228b1750f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-77faa2269be9,AP-PO-000057-10,AP,SUP-0017,PO-000057-10,2026-05-14,2026-06-28,620715.03,KRW,2026-06-25,PAID
fin-02-8171c1790340,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-12ffe7d1b566,AP-PO-000059-10,AP,SUP-0019,PO-000059-10,2026-07-01,2026-08-15,921772.36,USD,2026-08-12,PAID
fin-02-d2e2a5359890,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ac327cc032dd,AP-PO-000061-10,AP,SUP-0021,PO-000061-10,2026-08-18,2026-10-02,1232034.0,KRW,2026-09-29,PAID
fin-02-eae809063e82,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7dc8454a2031,AP-PO-000063-10,AP,SUP-0023,PO-000063-10,2026-07-24,2026-09-07,1551499.93,USD,2026-09-04,PAID
fin-02-2d38a1564860,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7fc97bbbd9ff,AP-PO-000064-10,AP,SUP-0024,PO-000064-10,2026-08-18,2026-10-02,1597329.69,USD,2026-09-29,PAID
fin-02-46574e473577,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-71ebfb582884,AP-PO-000066-10,AP,SUP-0026,PO-000066-10,2023-10-06,2023-11-20,1909892.4,USD,2023-11-17,PAID
fin-02-67426a13811d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d4f1892ac497,AP-PO-000068-10,AP,SUP-0028,PO-000068-10,2023-11-23,2024-01-07,630686.35,USD,2024-01-04,PAID
fin-02-6c7428454eb1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a35cc51f2b04,AP-PO-000069-10,AP,SUP-0029,PO-000069-10,2023-12-17,2024-01-31,782365.68,KRW,2024-01-28,PAID
fin-02-d3faeffb7249,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bd23b04d5f3d,AP-PO-000070-10,AP,SUP-0030,PO-000070-10,2024-01-10,2024-02-24,936345.84,USD,2024-02-21,PAID
fin-02-3ae7322508bb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7160b869f834,AP-PO-000073-10,AP,SUP-0033,PO-000073-10,2024-01-10,2024-02-24,1315447.98,KRW,2024-02-21,PAID
fin-02-ffe70d4d7a98,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-28f01739b164,AP-PO-000074-10,AP,SUP-0034,PO-000074-10,2024-02-03,2024-03-19,1468277.95,USD,2024-03-16,PAID
