record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,document_id,title,document_type,classification,owner_org_id,effective_from,effective_to,approval_status,source_ref,checksum,rag_eligible
knw-01-36edcdd79ac3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-35bc04168a8b,KNW-DEMO-001,원료 구매·도입계획 업무표준,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-312c8b497444,True
knw-01-7a9fe09254ee,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-774aa17f5d92,KNW-DEMO-002,선적·통관 사건 데이터 계약,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-b83534ecc69c,True
knw-01-dede8b0d5db6,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0620cea1f415,KNW-DEMO-003,재고 물량 대사 기준,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-60339dac19a7,True
knw-01-665934d0b516,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52491d877331,KNW-DEMO-004,생산 수율·부산물 계산 기준,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-75bdc6e9fc86,True
knw-01-612b120af069,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-91c21fb97560,KNW-DEMO-005,구매원가·운전자본 계산 기준,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-efa04b08e728,True
knw-01-0e118eb74df9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-18fd94637295,KNW-DEMO-006,시나리오 승인·비교 절차,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-28044fd065d8,True
knw-01-1cc6115fe972,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aef9c2239990,KNW-DEMO-007,의사결정 요청 검토서 작성 기준,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-6cd1e016274c,True
knw-01-1acbbe1014ba,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-354d3390e4d1,KNW-DEMO-008,합성 데이터 사용 제한,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-e128cc6af0a0,True
knw-01-40aa1713c0d7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fc61af9e0d98,KNW-DEMO-009,외부지표 적용·시차 기준,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-077b647d60a7,True
knw-01-37c876ac6d72,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2df99e148544,KNW-DEMO-010,생성 앱 Host Runtime 데이터 접근 원칙,STARTER_KIT_GUIDE,INTERNAL_DEMO,dept-management,2026-08-11,9999-12-31,APPROVED_FOR_DEMO,docs/data-kits,sha-e2fd857492b2,True
