record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,supplier_id,supplier_name,country_code,currency,lead_time_days,payment_terms,risk_grade,material_ids,active
mdm-02-9cd3e436b658,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4106561d9832,SUP-0001,글로벌 원료공급사 01 (가상),KR,KRW,18,NET30,LOW,"[""RM-H2SO4""]",True
mdm-02-58972d9625eb,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7183db99dc59,SUP-0002,글로벌 원료공급사 02 (가상),ID,USD,25,NET45,MEDIUM,"[""MAT-CO-0068"", ""MAT-CO-0020""]",True
mdm-02-19f54dbedfa0,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6880e6de8462,SUP-0003,글로벌 원료공급사 03 (가상),AU,USD,32,NET60,HIGH,"[""MAT-RA-0127"", ""MAT-CO-0092"", ""MAT-CO-0152""]",True
mdm-02-a4a7462cf07f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d6cc05667ff9,SUP-0004,글로벌 원료공급사 04 (가상),CL,USD,39,NET30,LOW,"[""MAT-RA-0205""]",True
mdm-02-d8573e1141bc,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bb782778d5f7,SUP-0005,글로벌 원료공급사 05 (가상),PE,KRW,46,NET45,MEDIUM,"[""MAT-RA-0031"", ""MAT-CO-0201""]",True
mdm-02-e26d71b096d2,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-66a843f23360,SUP-0006,글로벌 원료공급사 06 (가상),CN,USD,53,NET60,HIGH,"[""RM-CU-CONC"", ""MAT-CO-0195"", ""MAT-RA-0084""]",True
mdm-02-fb585f0b9ab3,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-009ebef4f254,SUP-0007,글로벌 원료공급사 07 (가상),JP,USD,60,NET30,LOW,"[""MAT-CO-0189""]",True
mdm-02-556ebbea0c52,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8d8b0dd7222,SUP-0008,글로벌 원료공급사 08 (가상),CA,USD,67,NET45,MEDIUM,"[""MAT-CO-0122"", ""MAT-CO-0081""]",True
mdm-02-b82858b91387,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6ad36573e67,SUP-0009,글로벌 원료공급사 09 (가상),KR,KRW,74,NET60,HIGH,"[""MAT-CO-0110"", ""MAT-RA-0114"", ""MAT-CO-0015""]",True
mdm-02-4208fa1246bd,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bac56de6f17f,SUP-0010,글로벌 원료공급사 10 (가상),ID,USD,81,NET30,LOW,"[""MAT-RA-0096""]",True
mdm-02-95fe83e59fdf,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-93baac1d6fa5,SUP-0011,글로벌 원료공급사 11 (가상),AU,USD,88,NET45,MEDIUM,"[""MAT-CO-0020"", ""MAT-CO-0170""]",True
mdm-02-da6f39060f3f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-11a9954c03ab,SUP-0012,글로벌 원료공급사 12 (가상),CL,USD,22,NET60,HIGH,"[""MAT-CO-0069"", ""MAT-CO-0038"", ""MAT-RA-0204""]",True
mdm-02-7829a28bdfa1,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5d2528edd197,SUP-0013,글로벌 원료공급사 13 (가상),PE,KRW,29,NET30,LOW,"[""MAT-RA-0120""]",True
mdm-02-cb0e236974eb,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c381d5f28bc7,SUP-0014,글로벌 원료공급사 14 (가상),CN,USD,36,NET45,MEDIUM,"[""MAT-RA-0127"", ""MAT-CO-0123""]",True
mdm-02-317f678dd4df,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-820037b6b0f5,SUP-0015,글로벌 원료공급사 15 (가상),JP,USD,43,NET60,HIGH,"[""MAT-CO-0080"", ""MAT-RA-0060"", ""MAT-RA-0073""]",True
mdm-02-5dfb8b18b1dd,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8f590da41ad3,SUP-0016,글로벌 원료공급사 16 (가상),CA,USD,50,NET30,LOW,"[""MAT-RA-0078""]",True
mdm-02-958526d55733,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-47778a805e60,SUP-0017,글로벌 원료공급사 17 (가상),KR,KRW,57,NET45,MEDIUM,"[""MAT-CO-0069"", ""MAT-RA-0198""]",True
mdm-02-2292c3e49182,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-053a22fe7715,SUP-0018,글로벌 원료공급사 18 (가상),ID,USD,64,NET60,HIGH,"[""MAT-RA-0180"", ""MAT-RA-0145"", ""MAT-RA-0163""]",True
mdm-02-98516072ac00,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-62edf44545f3,SUP-0019,글로벌 원료공급사 19 (가상),AU,USD,71,NET30,LOW,"[""MAT-CO-0182""]",True
mdm-02-1cecf788e275,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fd1c97647477,SUP-0020,글로벌 원료공급사 20 (가상),CL,USD,78,NET45,MEDIUM,"[""MAT-RA-0139"", ""MAT-CO-0104""]",True
mdm-02-074f55d1d701,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2776f911ed4d,SUP-0021,글로벌 원료공급사 21 (가상),PE,KRW,85,NET60,HIGH,"[""MAT-CO-0104"", ""MAT-RA-0199"", ""MAT-CO-0116""]",True
mdm-02-608b5a26d56c,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30133439749e,SUP-0022,글로벌 원료공급사 22 (가상),CN,USD,19,NET30,LOW,"[""MAT-CO-0057""]",True
mdm-02-92c1965e071d,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2583d262d6ba,SUP-0023,글로벌 원료공급사 23 (가상),JP,USD,26,NET45,MEDIUM,"[""MAT-RA-0108"", ""MAT-CO-0182""]",True
mdm-02-729660dd720f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-662e6f6c0e85,SUP-0024,글로벌 원료공급사 24 (가상),CA,USD,33,NET60,HIGH,"[""MAT-CO-0146"", ""MAT-RA-0043"", ""MAT-CO-0194""]",True
mdm-02-34e468e70314,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7f3b61b5ddd5,SUP-0025,글로벌 원료공급사 25 (가상),KR,KRW,40,NET30,LOW,"[""MAT-RA-0060""]",True
mdm-02-a940adaab2cf,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-58c983701e24,SUP-0026,글로벌 원료공급사 26 (가상),ID,USD,47,NET45,MEDIUM,"[""MAT-RA-0019"", ""MAT-RA-0042""]",True
mdm-02-b1c9fd819b9b,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-442f22c26177,SUP-0027,글로벌 원료공급사 27 (가상),AU,USD,54,NET60,HIGH,"[""MAT-RA-0145"", ""MAT-CO-0152"", ""MAT-RA-0132""]",True
mdm-02-4f59c8d04cf8,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-91b6cae37dc5,SUP-0028,글로벌 원료공급사 28 (가상),CL,USD,61,NET30,LOW,"[""MAT-RA-0139""]",True
