record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,batch_id,plan_line_id,production_date,site_id,input_material_id,input_lot_id,input_quantity,output_material_id,output_lot_id,output_quantity,quantity_uom,actual_yield,scrap_quantity,downtime_hours,status
mfg-02-d8b24b771413,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46b8211534ad,BATCH-0000001,MPS-0000001,2023-08-01,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000001,8.674,FG-CATHODE,LOT-FG-0000001,8.5,TON,0.97994,0.174,4,CONFIRMED
mfg-02-7d7d259d7276,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-66ccab4b9e3b,BATCH-0000002,MPS-0000002,2023-08-07,plant-afs-battery-02,RM-H2SO4,LOT-RM-000002,11.405,FG-LIOH,LOT-FG-0000002,10.43,TON,0.91455,0.975,0,CONFIRMED
mfg-02-fcd8046b6e57,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-91fd9c679269,BATCH-0000003,MPS-0000003,2023-08-13,plant-afs-battery-02,RM-MHP,LOT-RM-000003,13.283,FG-NISO4,LOT-FG-0000003,12.411,TON,0.93434,0.872,0,CONFIRMED
mfg-02-abb9661f65ac,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fb663758aa0e,BATCH-0000004,MPS-0000004,2023-08-19,plant-afs-battery-02,RM-LIME,LOT-RM-000004,15.368,MAT-FI-0017,LOT-FG-0000004,14.442,TON,0.93976,0.926,0,CONFIRMED
mfg-02-ef59beb49e12,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-89302ad7b7c3,BATCH-0000005,MPS-0000005,2023-08-21,plant-afs-battery-02,MAT-RA-0013,LOT-RM-000005,17.267,MAT-FI-0023,LOT-FG-0000005,16.523,TON,0.95689,0.744,0,CONFIRMED
mfg-02-5771fe219595,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a624aa0725ce,BATCH-0000006,MPS-0000006,2023-08-27,plant-afs-battery-02,MAT-CO-0014,LOT-RM-000006,19.672,MAT-FI-0029,LOT-FG-0000006,18.655,TON,0.94831,1.017,0,CONFIRMED
mfg-02-f8ba675412b3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-038da5f64518,BATCH-0000007,MPS-0000007,2023-09-02,plant-afs-battery-02,MAT-CO-0015,LOT-RM-000007,21.988,MAT-FI-0035,LOT-FG-0000007,20.837,TON,0.94767,1.151,0,CONFIRMED
mfg-02-01b8d52744c9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-78b569468406,BATCH-0000008,MPS-0000008,2023-09-08,plant-afs-battery-02,MAT-RA-0018,LOT-RM-000008,24.754,MAT-FI-0041,LOT-FG-0000008,23.07,TON,0.93196,1.684,0,CONFIRMED
mfg-02-67fbcedbe720,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5445e4f2fe0f,BATCH-0000009,MPS-0000009,2023-09-10,plant-afs-battery-02,MAT-RA-0019,LOT-RM-000009,26.943,MAT-FI-0047,LOT-FG-0000009,25.353,TON,0.941,1.59,0,CONFIRMED
mfg-02-7a72b3b6611c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b4570a43eb9c,BATCH-0000010,MPS-0000010,2023-09-16,plant-afs-battery-02,MAT-CO-0020,LOT-RM-000010,29.399,MAT-FI-0053,LOT-FG-0000010,27.686,TON,0.94172,1.713,0,CONFIRMED
mfg-02-a948af0dfbe2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3fe16251095f,BATCH-0000011,MPS-0000011,2023-09-22,plant-afs-battery-02,MAT-CO-0021,LOT-RM-000011,31.576,MAT-FI-0059,LOT-FG-0000011,30.07,TON,0.95231,1.506,0,CONFIRMED
mfg-02-bee86ab2d049,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-db74abe3f0a3,BATCH-0000012,MPS-0000012,2023-09-29,plant-afs-battery-02,MAT-RA-0024,LOT-RM-000012,29.875,MAT-FI-0065,LOT-FG-0000012,28.135,TON,0.94176,1.74,0,CONFIRMED
mfg-02-fe3ed837c870,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d7c5087500bf,BATCH-0000013,MPS-0000013,2023-10-01,plant-afs-battery-02,MAT-RA-0025,LOT-RM-000013,32.673,MAT-FI-0071,LOT-FG-0000013,30.342,TON,0.92866,2.331,0,CONFIRMED
mfg-02-43a058217be2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-586ce17b3a4e,BATCH-0000014,MPS-0000014,2023-10-07,plant-afs-battery-02,MAT-CO-0026,LOT-RM-000014,34.405,MAT-FI-0077,LOT-FG-0000014,32.6,TON,0.94753,1.805,0,CONFIRMED
