record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,po_id,po_line_id,contract_id,supplier_id,material_id,order_date,due_date,order_quantity,quantity_uom,unit_price,currency,status
prc-02-a913278f2e7c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ae6e2388bf92,PO-000001,PO-000001-10,CTR-00001,SUP-0001,RM-CU-CONC,2023-08-01,2023-08-19,15.0,TON,31320.19,KRW,DELIVERED
prc-02-647face87619,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c71800fefd07,PO-000002,PO-000002-10,CTR-00002,SUP-0002,RM-MHP,2023-08-18,2023-09-12,19.5,TON,31575.87,USD,DELIVERED
prc-02-44e64b57fcc1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a4a3b26e7a5,PO-000003,PO-000003-10,CTR-00003,SUP-0003,RM-H2SO4,2023-09-04,2023-10-06,24.0,TON,106.25,USD,OPEN
prc-02-6d62d9d65519,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63645570b169,PO-000004,PO-000004-10,CTR-00004,SUP-0004,RM-LIME,2023-09-21,2023-10-30,28.5,TON,32087.22,USD,DELIVERED
prc-02-a453810a7464,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-534b4a7b47ed,PO-000005,PO-000005-10,CTR-00005,SUP-0005,MAT-RA-0013,2023-10-08,2023-11-23,33.0,TON,32342.89,KRW,DELIVERED
prc-02-95616028d59b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-593e2b22fd2d,PO-000006,PO-000006-10,CTR-00006,SUP-0006,MAT-CO-0014,2023-10-25,2023-12-17,37.5,EA,32598.57,USD,DELIVERED
prc-02-f81e5a438533,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c74a4eafd7c8,PO-000007,PO-000007-10,CTR-00007,SUP-0007,MAT-CO-0015,2023-11-11,2024-01-10,42.0,EA,32854.24,USD,OPEN
prc-02-a188bcca1ea1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-377345b0ab21,PO-000008,PO-000008-10,CTR-00008,SUP-0008,MAT-RA-0018,2023-11-29,2024-02-04,46.5,TON,33109.92,USD,OPEN
prc-02-1eb47b0f5365,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5afb36acd77b,PO-000009,PO-000009-10,CTR-00009,SUP-0009,MAT-RA-0019,2023-12-16,2024-02-28,51.0,TON,33365.59,KRW,DELIVERED
prc-02-189a28fa20c9,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-baa0f23398cf,PO-000010,PO-000010-10,CTR-00010,SUP-0010,MAT-CO-0020,2024-01-02,2024-03-23,55.5,EA,31320.19,USD,DELIVERED
prc-02-781a2bebbb0a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0be24067a30f,PO-000011,PO-000011-10,CTR-00011,SUP-0011,MAT-CO-0021,2024-01-19,2024-04-16,60.0,EA,31575.87,USD,DELIVERED
prc-02-78b86f0e79f1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3b5c66ad972,PO-000012,PO-000012-10,CTR-00012,SUP-0012,MAT-RA-0024,2024-02-05,2024-02-27,15.0,TON,31831.54,USD,DELIVERED
