record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,shipment_id,po_line_id,vessel_or_mode,origin_port,destination_port,lane_id,shipment_quantity,quantity_uom,freight_amount,freight_currency,etd,eta,status
log-02-5f9adf6ac7a3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d010c9a4bbbe,SHP-000001,PO-000002-10,DEMO-VESSEL-02,PERTH,ULSAN,LANE-002,19.5,TON,1433.25,USD,2026-02-24,2026-03-17,DELIVERED
log-02-c9f0596919bd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f263f21b9a90,SHP-000002,PO-000003-10,DEMO-VESSEL-03,VALPARAISO,ULSAN,LANE-003,24.0,TON,1848.0,USD,2026-03-15,2026-04-08,DELIVERED
log-02-99d052be50dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d9f9d4f89aa7,SHP-000003,PO-000004-10,DEMO-VESSEL-04,SHANGHAI,ULSAN,LANE-004,28.5,TON,2294.25,USD,2026-04-02,2026-05-04,DELIVERED
log-02-179b457f3696,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6f6e1eb0ef2d,SHP-000004,PO-000006-10,DEMO-VESSEL-05,JAKARTA,ULSAN,LANE-005,37.5,EA,3150.0,USD,2026-05-10,2026-06-23,DELIVERED
log-02-73f6e0f96c8e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fef34f8b5897,SHP-000005,PO-000007-10,DEMO-VESSEL-06,PERTH,ULSAN,LANE-006,42.0,EA,3675.0,USD,2026-05-29,2026-07-17,DELIVERED
log-02-44de4e203630,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07f2cc747c62,SHP-000006,PO-000008-10,DEMO-VESSEL-07,VALPARAISO,ULSAN,LANE-007,46.5,TON,4231.5,USD,2026-06-17,2026-08-06,DELIVERED
log-02-ee64fb83b5c8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4c5f9d3af466,SHP-000007,PO-000009-10,DEMO-VESSEL-08,SHANGHAI,ULSAN,LANE-008,51.0,TON,4819.5,USD,2026-07-06,2026-09-03,DELIVERED
log-02-662dc64721ca,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7e7cfe5a8be5,SHP-000008,PO-000010-10,DEMO-VESSEL-09,JAKARTA,ULSAN,LANE-009,55.5,EA,5439.0,USD,2026-07-25,2026-09-29,DELIVERED
log-02-225ba21e4f17,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b430bb216208,SHP-000009,PO-000013-10,DEMO-VESSEL-10,PERTH,ULSAN,LANE-010,19.5,TON,1979.25,USD,2026-03-06,2026-04-01,DELIVERED
log-02-1f37d200750f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c5e1d1e11b72,SHP-000010,PO-000014-10,DEMO-VESSEL-11,VALPARAISO,ULSAN,LANE-011,24.0,EA,2520.0,USD,2026-03-24,2026-04-26,DELIVERED
log-02-e9ae6c385f0d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cd06ee92aa78,SHP-000011,PO-000016-10,DEMO-VESSEL-12,SHANGHAI,ULSAN,LANE-012,33.0,TON,3580.5,USD,2026-05-02,2026-06-16,DELIVERED
log-02-32aa86391551,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d882328dd207,SHP-000012,PO-000017-10,DEMO-VESSEL-13,JAKARTA,ULSAN,LANE-013,37.5,TON,4200.0,USD,2026-05-21,2026-07-04,DELIVERED
log-02-52cd9f20789c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d2f605fc6fb0,SHP-000013,PO-000018-10,DEMO-VESSEL-14,PERTH,ULSAN,LANE-014,42.0,TON,2940.0,USD,2026-06-08,2026-07-30,DELIVERED
log-02-1089de3d9993,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-50a251fe8420,SHP-000014,PO-000020-10,DEMO-VESSEL-15,VALPARAISO,ULSAN,LANE-015,51.0,TON,3748.5,USD,2026-07-16,2026-09-16,DELIVERED
log-02-22ff6f7d2121,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3f65ea94c81f,SHP-000015,PO-000021-10,DEMO-VESSEL-16,SHANGHAI,ULSAN,LANE-016,55.5,TON,4273.5,USD,2026-07-17,2026-08-04,DELIVERED
log-02-cc62f7e49552,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6bfb6d195455,SHP-000016,PO-000022-10,DEMO-VESSEL-17,JAKARTA,ULSAN,LANE-017,60.0,TON,4830.0,USD,2026-02-07,2026-03-02,DELIVERED
log-02-7f46943e5528,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-50201e9457cc,SHP-000017,PO-000026-10,DEMO-VESSEL-01,PERTH,ULSAN,LANE-018,28.5,EA,2394.0,USD,2026-04-23,2026-06-02,DELIVERED
log-02-d8f5546af622,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-145231d4835a,SHP-000018,PO-000028-10,DEMO-VESSEL-02,VALPARAISO,ULSAN,LANE-019,37.5,TON,3281.25,USD,2026-05-30,2026-07-22,DELIVERED
log-02-02a8463e22e8,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f7be3785da0,SHP-000019,PO-000030-10,DEMO-VESSEL-03,SHANGHAI,ULSAN,LANE-020,46.5,EA,4231.5,USD,2026-07-08,2026-09-10,DELIVERED
log-02-85d01509323a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-737187deaad1,SHP-000020,PO-000032-10,DEMO-VESSEL-04,JAKARTA,ULSAN,LANE-021,55.5,TON,5244.75,USD,2026-07-28,2026-08-16,DELIVERED
log-02-8041037a7d50,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30af4352db17,SHP-000021,PO-000033-10,DEMO-VESSEL-05,PERTH,ULSAN,LANE-022,60.0,TON,5880.0,USD,2026-02-17,2026-03-13,DELIVERED
log-02-a5755193e8ee,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7d21ba948eb4,SHP-000022,PO-000035-10,DEMO-VESSEL-06,VALPARAISO,ULSAN,LANE-023,19.5,EA,1979.25,USD,2026-03-26,2026-04-29,DELIVERED
log-02-64681b74fe14,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fcfed198d769,SHP-000023,PO-000036-10,DEMO-VESSEL-07,SHANGHAI,ULSAN,LANE-024,24.0,TON,2520.0,USD,2026-04-15,2026-05-27,DELIVERED
log-02-35b8900718a7,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ad035b1f4ab4,SHP-000024,PO-000037-10,DEMO-VESSEL-08,JAKARTA,ULSAN,LANE-025,28.5,TON,3092.25,USD,2026-05-04,2026-06-19,DELIVERED
log-02-acc6f344e66d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-391754c2a7d2,SHP-000025,PO-000038-10,DEMO-VESSEL-09,PERTH,ULSAN,LANE-026,33.0,TON,3696.0,USD,2026-05-22,2026-07-16,DELIVERED
log-02-e8a68b665e1f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-75891a35b12d,SHP-000026,PO-000040-10,DEMO-VESSEL-10,VALPARAISO,ULSAN,LANE-027,42.0,TON,2940.0,USD,2026-06-29,2026-08-30,DELIVERED
log-02-2f3218fcc168,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6252c6ff09fa,SHP-000027,PO-000042-10,DEMO-VESSEL-11,SHANGHAI,ULSAN,LANE-028,51.0,TON,3748.5,USD,2026-07-19,2026-08-12,DELIVERED
log-02-bc29b0601648,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46b819a0f28b,SHP-000028,PO-000043-10,DEMO-VESSEL-12,JAKARTA,ULSAN,LANE-029,55.5,TON,4273.5,USD,2026-02-09,2026-03-06,DELIVERED
log-02-bb6d39fe6e09,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-875ef10ae976,SHP-000029,PO-000045-10,DEMO-VESSEL-13,PERTH,ULSAN,LANE-030,15.0,TON,1207.5,USD,2026-03-18,2026-04-26,DELIVERED
