record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,account_id,account_name,account_type,cost_element,cost_center_id,pnl_line,cashflow_line,currency,active
mdm-07-debe747fc254,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-91f2e897c0f5,1000,현금및현금성자산,ASSET,CASH,CC-PROC,BALANCE_SHEET,OPERATING,KRW,True
mdm-07-a82cc9e505d5,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-965c2a150cb5,1100,매출채권,ASSET,AR,CC-LOG,BALANCE_SHEET,OPERATING,KRW,True
mdm-07-fe7447aaab41,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3165c19755d8,1200,재고자산,ASSET,INVENTORY,CC-MFG,BALANCE_SHEET,OPERATING,KRW,True
mdm-07-024f56711f36,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-19e70887c887,2000,매입채무,LIABILITY,AP,CC-FIN,BALANCE_SHEET,OPERATING,KRW,True
mdm-07-4b286149635f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2570827888d4,4000,제품매출,REVENUE,REVENUE,CC-MGT,REVENUE,OPERATING,KRW,True
mdm-07-bcbc2afb8980,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8f774663cfc4,5000,재료비,EXPENSE,MATERIAL_COST,CC-PROC,COGS,OPERATING,KRW,True
mdm-07-4aa98a84456f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-707074182b4b,5100,가공비,EXPENSE,CONVERSION_COST,CC-LOG,COGS,OPERATING,KRW,True
mdm-07-7a93f3dd5290,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fb28602e00cf,5200,물류비,EXPENSE,LOGISTICS_COST,CC-MFG,COGS,OPERATING,KRW,True
mdm-07-f1da73815324,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-67bb1bfae80f,5300,에너지비,EXPENSE,ENERGY_COST,CC-FIN,COGS,OPERATING,KRW,True
mdm-07-b180888ccb89,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b6d88da48d0f,5400,품질손실,EXPENSE,QUALITY_LOSS,CC-MGT,OPEX,OPERATING,KRW,True
mdm-07-6b39d54bdbf4,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-740e7200aec8,6010,관리계정 010,EXPENSE,OPEX_010,CC-PROC,OPEX,OPERATING,KRW,True
mdm-07-4b4b5941ac7e,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e051c40d851b,6011,관리계정 011,EXPENSE,OPEX_011,CC-LOG,OPEX,OPERATING,KRW,True
mdm-07-8c8991d425e7,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7f811715a6f1,6012,관리계정 012,EXPENSE,OPEX_012,CC-MFG,OPEX,OPERATING,KRW,True
mdm-07-56d0d4a1c355,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0e02959fc6dc,6013,관리계정 013,EXPENSE,OPEX_013,CC-FIN,OPEX,OPERATING,KRW,True
mdm-07-2a4e7bc4e4a0,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8fa0402c01dc,6014,관리계정 014,EXPENSE,OPEX_014,CC-MGT,OPEX,OPERATING,KRW,True
mdm-07-be419bbc66c0,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a59fe0208a8,6015,관리계정 015,EXPENSE,OPEX_015,CC-PROC,OPEX,OPERATING,KRW,True
mdm-07-55d77a347ecd,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-169f7f567536,6016,관리계정 016,EXPENSE,OPEX_016,CC-LOG,OPEX,OPERATING,KRW,True
mdm-07-cbfc41a2c850,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5cbb078a11de,6017,관리계정 017,EXPENSE,OPEX_017,CC-MFG,OPEX,OPERATING,KRW,True
mdm-07-513e4bc3f58e,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-55ec0228aaf1,6018,관리계정 018,EXPENSE,OPEX_018,CC-FIN,OPEX,OPERATING,KRW,True
mdm-07-65c2a770abab,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-efea2aa4c68e,6019,관리계정 019,EXPENSE,OPEX_019,CC-MGT,OPEX,OPERATING,KRW,True
mdm-07-cf9fde3a9de9,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0b0a62ead3c8,6020,관리계정 020,EXPENSE,OPEX_020,CC-PROC,OPEX,OPERATING,KRW,True
mdm-07-a3f9bf58361f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e826d81b3d82,6021,관리계정 021,EXPENSE,OPEX_021,CC-LOG,OPEX,OPERATING,KRW,True
mdm-07-6a3c5caa81c3,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2b9189931bb4,6022,관리계정 022,EXPENSE,OPEX_022,CC-MFG,OPEX,OPERATING,KRW,True
mdm-07-013f740364cc,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a7426b69f076,6023,관리계정 023,EXPENSE,OPEX_023,CC-FIN,OPEX,OPERATING,KRW,True
mdm-07-51ad0b378379,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-71588d5ab773,6024,관리계정 024,EXPENSE,OPEX_024,CC-MGT,OPEX,OPERATING,KRW,True
mdm-07-a0f6fa4a6eb9,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5b5185c48612,6025,관리계정 025,EXPENSE,OPEX_025,CC-PROC,OPEX,OPERATING,KRW,True
mdm-07-691295a9f3ab,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a906742b79fc,6026,관리계정 026,EXPENSE,OPEX_026,CC-LOG,OPEX,OPERATING,KRW,True
mdm-07-15709128df87,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0c6ccaa5aad4,6027,관리계정 027,EXPENSE,OPEX_027,CC-MFG,OPEX,OPERATING,KRW,True
mdm-07-0768c00ff7e2,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f337bbf86cf7,6028,관리계정 028,EXPENSE,OPEX_028,CC-FIN,OPEX,OPERATING,KRW,True
mdm-07-cc9c285f5fa6,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce6c33cd73f5,6029,관리계정 029,EXPENSE,OPEX_029,CC-MGT,OPEX,OPERATING,KRW,True
