record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,po_id,po_line_id,contract_id,supplier_id,material_id,order_date,due_date,order_quantity,quantity_uom,unit_price,currency,status
prc-02-a913278f2e7c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ae6e2388bf92,PO-000001,PO-000001-10,CTR-00001,SUP-0001,RM-CU-CONC,2026-02-01,2026-02-19,15.0,TON,10530.9,KRW,OPEN
prc-02-647face87619,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c71800fefd07,PO-000002,PO-000002-10,CTR-00002,SUP-0002,RM-MHP,2026-02-18,2026-03-15,19.5,TON,10616.87,USD,DELIVERED
prc-02-44e64b57fcc1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a4a3b26e7a5,PO-000003,PO-000003-10,CTR-00003,SUP-0003,RM-H2SO4,2026-03-07,2026-04-08,24.0,TON,106.25,USD,DELIVERED
prc-02-6d62d9d65519,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63645570b169,PO-000004,PO-000004-10,CTR-00004,SUP-0004,RM-LIME,2026-03-24,2026-05-02,28.5,TON,10788.8,USD,DELIVERED
prc-02-a453810a7464,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-534b4a7b47ed,PO-000005,PO-000005-10,CTR-00005,SUP-0005,MAT-RA-0013,2026-04-10,2026-05-26,33.0,TON,10874.77,KRW,OPEN
prc-02-95616028d59b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-593e2b22fd2d,PO-000006,PO-000006-10,CTR-00006,SUP-0006,MAT-CO-0014,2026-04-27,2026-06-19,37.5,EA,10960.74,USD,DELIVERED
prc-02-f81e5a438533,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c74a4eafd7c8,PO-000007,PO-000007-10,CTR-00007,SUP-0007,MAT-CO-0015,2026-05-14,2026-07-13,42.0,EA,11046.7,USD,DELIVERED
prc-02-a188bcca1ea1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-377345b0ab21,PO-000008,PO-000008-10,CTR-00008,SUP-0008,MAT-RA-0018,2026-06-01,2026-08-07,46.5,TON,11132.67,USD,DELIVERED
prc-02-1eb47b0f5365,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5afb36acd77b,PO-000009,PO-000009-10,CTR-00009,SUP-0009,MAT-RA-0019,2026-06-18,2026-08-31,51.0,TON,11218.64,KRW,DELIVERED
prc-02-189a28fa20c9,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-baa0f23398cf,PO-000010,PO-000010-10,CTR-00010,SUP-0010,MAT-CO-0020,2026-07-05,2026-09-24,55.5,EA,10530.9,USD,DELIVERED
