record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,driver_id,input_metric,output_metric,formula_definition,lag_period_months,output_unit,formula_version,approval_status,effective_from,effective_to
sim-01-ededca11852b,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c29a0d89d45d,DRV-FX,USD_KRW,PURCHASE_COST,PURCHASE_USD*USD_KRW,0,KRW,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-40a050778117,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84fbce047cbd,DRV-COMMODITY,COMMODITY_PRICE,PURCHASE_PRICE,BENCHMARK*(1+PREMIUM),0,USD/TON,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-58b5151f4ea4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-61334024fe34,DRV-FREIGHT,SEA_FREIGHT,LANDED_COST,GOODS_COST+FREIGHT+DUTY,0,USD,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-e7a5ce061fb8,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c0d463c3c01c,DRV-DELAY,ETA_DELAY_DAYS,AVAILABLE_INVENTORY,OPENING+RECEIPTS-CONSUMPTION,1,TON,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-a48164e5088a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d9ac3b4c775,DRV-SUPPLY,SUPPLY_REDUCTION,MATERIAL_SHORTAGE,REQUIREMENT-AVAILABLE,0,TON,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-ba81b1efea54,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a1ab778f88a4,DRV-YIELD,YIELD,PRODUCTION_OUTPUT,INPUT*YIELD,0,TON,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-658fff3afe0b,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0bc52d09c463,DRV-DOWNTIME,DOWNTIME_HOURS,AVAILABLE_CAPACITY,RATE*(CALENDAR-DOWNTIME)*OEE,0,TON,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-cb14bf66c2d1,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f4b03fbc4a4d,DRV-POWER,POWER_PRICE,CONVERSION_COST,KWH*POWER_PRICE,0,KRW,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-0869a3a94eb4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0e17014ffb0f,DRV-DEMAND,DEMAND_CHANGE,REVENUE,VOLUME*PRICE,0,USD,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-14e374035286,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4c35c2a764af,DRV-CAPEX,CAPEX,CASH_BALANCE,OPENING_CASH+INFLOW-OUTFLOW-CAPEX,0,KRW,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-06a0ad5a575c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ae4e7dc8b4b,DRV-GM,REVENUE_AND_COST,GROSS_MARGIN,REVENUE-COGS,0,KRW,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
sim-01-1687b2559341,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8299f4e1f7c4,DRV-CASH,AR_AP_TIMING,ENDING_CASH,OPENING+COLLECTIONS-PAYMENTS,1,KRW,1.0.0,APPROVED_FOR_DEMO,2026-08-11,9999-12-31
