record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,sales_line_id,customer_id,product_id,order_date,due_date,actual_ship_date,plan_quantity,order_quantity,shipped_quantity,quantity_uom,unit_price,currency,status
sls-01-632ca159ba5c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ec3e6a071407,SO-000001-10,CUS-0001,FG-CATHODE,2026-02-01,2026-02-21,2026-02-23,8.0,8.0,8.0,TON,9025.0,KRW,SHIPPED
sls-01-598ae45d1877,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cdaab16d6825,SO-000002-10,CUS-0002,FG-NISO4,2026-02-14,2026-03-07,2026-03-07,9.7,9.7,9.7,TON,23088.0,USD,SHIPPED
sls-01-04f968d8d11b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-94f869f850bd,SO-000003-10,CUS-0003,FG-LIOH,2026-02-27,2026-03-21,2026-03-20,11.4,11.4,11.4,TON,31168.0,USD,SHIPPED
sls-01-401cb293efdd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6b9c142c4b3e,SO-000004-10,CUS-0004,MAT-FI-0017,2026-03-12,2026-04-04,2026-04-05,13.1,13.1,13.1,TON,31552.0,USD,SHIPPED
sls-01-93d0e1f92ff2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3fd0ac84f97,SO-000005-10,CUS-0005,MAT-FI-0023,2026-03-25,2026-04-18,2026-04-18,14.8,14.8,14.8,TON,31936.0,KRW,SHIPPED
sls-01-bc73bde7f414,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-85c760b140c8,SO-000006-10,CUS-0006,MAT-FI-0029,2026-04-07,2026-05-02,2026-05-04,16.5,16.5,16.5,TON,32320.0,USD,SHIPPED
sls-01-32cf0daea44b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6ad31098d7d,SO-000007-10,CUS-0007,FG-CATHODE,2026-04-20,2026-05-16,2026-05-17,18.2,18.2,18.2,TON,9709.0,USD,SHIPPED
sls-01-c63ed1e8380b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-10b92e335db4,SO-000008-10,CUS-0008,FG-NISO4,2026-05-03,2026-05-30,2026-05-28,19.9,19.9,19.9,TON,24816.0,USD,SHIPPED
sls-01-31396350369f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-838a7cd0bba6,SO-000009-10,CUS-0001,FG-LIOH,2026-05-16,2026-06-13,2026-06-11,21.6,21.6,21.6,TON,33472.0,KRW,SHIPPED
sls-01-eb8e10f407a3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5740294b822c,SO-000010-10,CUS-0002,MAT-FI-0017,2026-05-30,2026-06-28,2026-06-26,23.3,23.3,23.3,TON,30400.0,USD,SHIPPED
