record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,snapshot_id,snapshot_date,location_id,material_id,lot_id,unrestricted_quantity,quality_quantity,blocked_quantity,safety_stock_quantity,quantity_uom
inv-01-11acb92c3b57,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-812f837afb16,STK-20230831-RM-CU-CONC-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,RM-CU-CONC,ALL,1820.033,0.0,0.0,50.0,TON
inv-01-66d57bb96e5e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52da7c4e38a2,STK-20230831-RM-CU-CONC-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-cbc5cd017869,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f7a3072a248,STK-20230831-RM-CU-CONC-LOC-P1-FG,2023-08-31,LOC-P1-FG,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-c3010de224bf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-94016d755a11,STK-20230831-RM-CU-CONC-LOC-P2-RAW,2023-08-31,LOC-P2-RAW,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-560d929c76f3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5277f14fb924,STK-20230831-RM-CU-CONC-LOC-P2-QI,2023-08-31,LOC-P2-QI,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-893e41e0e8d5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-40cc8dfd2713,STK-20230831-RM-CU-CONC-LOC-P2-WIP,2023-08-31,LOC-P2-WIP,RM-CU-CONC,ALL,0.11,0.0,0.0,50.0,TON
inv-01-ca35824227ae,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-94bb5c246ba7,STK-20230831-RM-CU-CONC-LOC-P2-FG,2023-08-31,LOC-P2-FG,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-1c5d1b1efe9b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-335264a05eee,STK-20230831-RM-MHP-LOC-P1-RAW,2023-08-31,LOC-P1-RAW,RM-MHP,ALL,0.0,0.0,0.0,50.0,TON
inv-01-ed501518cf60,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-42d69db6eb3e,STK-20230831-RM-MHP-LOC-P1-WIP,2023-08-31,LOC-P1-WIP,RM-MHP,ALL,0.08,0.0,0.0,50.0,TON
inv-01-0578242329bb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bbd553e1aceb,STK-20230831-RM-MHP-LOC-P1-FG,2023-08-31,LOC-P1-FG,RM-MHP,ALL,0.0,0.0,0.0,50.0,TON
