record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,submission_id,source_system_id,partner_id,business_ref,submission_status,submitted_at,revised_at,source_version
log-01-c6957f63bcf6,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fe796361c082,SUB-000001,DEMO_PARTNER_PORTAL,SUP-0001,PO-000001-10,COMPLETE,2023-08-03T00:00:00+00:00,,1
log-01-fbf31767b920,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-62f2994dd8e6,SUB-000002,DEMO_PARTNER_PORTAL,SUP-0002,PO-000002-10,COMPLETE,2023-08-20T00:00:00+00:00,,1
log-01-165a0abb3af2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-df8076987e1c,SUB-000003,DEMO_PARTNER_PORTAL,SUP-0003,PO-000003-10,PENDING,,,1
log-01-70d45db07687,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3eedf64613ed,SUB-000004,DEMO_PARTNER_PORTAL,SUP-0004,PO-000004-10,COMPLETE,2023-09-23T00:00:00+00:00,,1
log-01-3d6d9d694a47,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1845b77b6600,SUB-000005,DEMO_PARTNER_PORTAL,SUP-0005,PO-000005-10,COMPLETE,2023-10-10T00:00:00+00:00,,1
log-01-342944034f30,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a5b6b4cb0cac,SUB-000006,DEMO_PARTNER_PORTAL,SUP-0006,PO-000006-10,COMPLETE,2023-10-27T00:00:00+00:00,,1
log-01-df5afe1694fc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9f53ac4e0bba,SUB-000007,DEMO_PARTNER_PORTAL,SUP-0007,PO-000007-10,PENDING,,,1
log-01-92fd7bba0fac,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2ad330f81e24,SUB-000008,DEMO_PARTNER_PORTAL,SUP-0008,PO-000008-10,PENDING,,,1
log-01-cb872fbcab0d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b21e47bcf1a2,SUB-000009,DEMO_PARTNER_PORTAL,SUP-0009,PO-000009-10,COMPLETE,2023-12-18T00:00:00+00:00,,1
log-01-87f2a3c8daa3,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4bdcf3a5aafb,SUB-000010,DEMO_PARTNER_PORTAL,SUP-0010,PO-000010-10,COMPLETE,2024-01-04T00:00:00+00:00,,1
log-01-23892adc981c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3a6cbc764e69,SUB-000011,DEMO_PARTNER_PORTAL,SUP-0011,PO-000011-10,COMPLETE,2024-01-21T00:00:00+00:00,,1
log-01-85d74f358373,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46f424ce5705,SUB-000012,DEMO_PARTNER_PORTAL,SUP-0012,PO-000012-10,COMPLETE,2024-02-07T00:00:00+00:00,,1
log-01-32b57342f191,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a7e1efde6a38,SUB-000013,DEMO_PARTNER_PORTAL,SUP-0013,PO-000013-10,PENDING,,,1
log-01-4e4b296b3fdf,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f9aa81654c12,SUB-000014,DEMO_PARTNER_PORTAL,SUP-0014,PO-000014-10,PENDING,,,1
