record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,plan_line_id,plan_date,site_id,product_id,plan_quantity,quantity_uom,priority,material_requirement,capacity_requirement_hours,status
mfg-01-5dbb4d37656c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1b484d0a0a86,MPS-0000001,2023-08-01,plant-afs-smelting-01,FG-CATHODE,10.0,TON,1,33.2,1.818,RELEASED
mfg-01-145e00e3825e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a82fcd0f9e9b,MPS-0000002,2023-08-06,plant-afs-battery-02,FG-LIOH,12.1,TON,2,2.057,2.2,RELEASED
mfg-01-41ae1ee1db25,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ed757cec7c0,MPS-0000003,2023-08-11,plant-afs-battery-02,FG-NISO4,14.2,TON,3,22.01,2.582,RELEASED
mfg-01-2335e8a97e5b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e6f50ff21943,MPS-0000004,2023-08-16,plant-afs-battery-02,MAT-FI-0017,16.3,TON,1,18.582,2.964,RELEASED
mfg-01-b0ee4bc13b69,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5179de9cb142,MPS-0000005,2023-08-21,plant-afs-battery-02,MAT-FI-0023,18.4,TON,2,21.528,3.345,RELEASED
mfg-01-654398cfb055,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-226db71934a8,MPS-0000006,2023-08-26,plant-afs-battery-02,MAT-FI-0029,20.5,TON,3,21.525,3.727,RELEASED
mfg-01-96128f4b962f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9248369b69ef,MPS-0000007,2023-08-31,plant-afs-battery-02,MAT-FI-0035,22.6,TON,1,24.408,4.109,RELEASED
mfg-01-42e3adecbe78,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d9b05fad8a03,MPS-0000008,2023-09-05,plant-afs-battery-02,MAT-FI-0041,24.7,TON,2,27.417,4.491,RELEASED
mfg-01-1795675774ee,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4f4b00d30522,MPS-0000009,2023-09-10,plant-afs-battery-02,MAT-FI-0047,26.8,TON,3,30.552,4.873,RELEASED
mfg-01-f021404bd281,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,PLAN,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-abd2abfa1e48,MPS-0000010,2023-09-15,plant-afs-battery-02,MAT-FI-0053,28.9,TON,1,33.813,5.255,RELEASED
