record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,sales_line_id,customer_id,product_id,order_date,due_date,actual_ship_date,plan_quantity,order_quantity,shipped_quantity,quantity_uom,unit_price,currency,status
sls-01-632ca159ba5c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ec3e6a071407,SO-000001-10,CUS-0001,FG-CATHODE,2023-08-01,2023-08-21,2023-08-23,8.0,8.0,8.0,TON,9025.0,KRW,SHIPPED
sls-01-598ae45d1877,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cdaab16d6825,SO-000002-10,CUS-0002,FG-NISO4,2023-08-14,2023-09-04,2023-09-03,9.7,9.7,9.7,TON,23088.0,USD,SHIPPED
sls-01-04f968d8d11b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-94f869f850bd,SO-000003-10,CUS-0003,FG-LIOH,2023-08-27,2023-09-18,2023-09-20,11.4,11.4,11.4,TON,31168.0,USD,SHIPPED
sls-01-401cb293efdd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6b9c142c4b3e,SO-000004-10,CUS-0004,MAT-FI-0017,2023-09-09,2023-10-02,2023-10-03,13.1,13.1,13.1,TON,31552.0,USD,SHIPPED
sls-01-93d0e1f92ff2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3fd0ac84f97,SO-000005-10,CUS-0005,MAT-FI-0023,2023-09-22,2023-10-16,2023-10-16,14.8,14.8,14.8,TON,31936.0,KRW,SHIPPED
sls-01-bc73bde7f414,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-85c760b140c8,SO-000006-10,CUS-0006,MAT-FI-0029,2023-10-05,2023-10-30,2023-10-28,16.5,16.5,16.5,TON,32320.0,USD,SHIPPED
sls-01-7314f375cc89,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-281446d26ca0,SO-000007-10,CUS-0007,MAT-FI-0035,2023-10-18,2023-11-13,2023-11-14,18.2,18.2,18.2,TON,32704.0,USD,SHIPPED
sls-01-e931e592008f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ea6002b4c75f,SO-000008-10,CUS-0008,MAT-FI-0041,2023-10-31,2023-11-27,2023-11-29,19.9,19.9,19.9,TON,33088.0,USD,SHIPPED
sls-01-39d83ddaa64b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8f3d27572765,SO-000009-10,CUS-0009,MAT-FI-0047,2023-11-13,2023-12-11,2023-12-12,21.6,21.6,21.6,TON,33472.0,KRW,SHIPPED
sls-01-d402f9fd48f8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9292a8b67505,SO-000010-10,CUS-0010,MAT-FI-0053,2023-11-27,2023-12-26,2023-12-25,23.3,23.3,23.3,TON,30400.0,USD,SHIPPED
sls-01-9563308f0d1f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-70ae9b223c3d,SO-000011-10,CUS-0011,MAT-FI-0059,2023-12-10,2024-01-09,2024-01-09,25.0,25.0,25.0,TON,30784.0,USD,SHIPPED
sls-01-b0799d31dd49,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-da62b44a9679,SO-000012-10,CUS-0012,MAT-FI-0065,2023-12-23,2024-01-23,2024-01-22,26.7,26.7,26.7,TON,31168.0,USD,SHIPPED
sls-01-0533828b26ee,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a78b92459798,SO-000013-10,CUS-0013,MAT-FI-0071,2024-01-05,2024-02-06,2024-02-08,28.4,28.4,28.4,TON,31552.0,KRW,SHIPPED
sls-01-6d6b10fa23fc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2e6b1e323ff9,SO-000014-10,CUS-0014,MAT-FI-0077,2024-01-18,2024-02-20,2024-02-19,30.1,30.1,30.1,TON,31936.0,USD,SHIPPED
sls-01-9b3fb75aee35,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-57199b549484,SO-000015-10,CUS-0015,MAT-FI-0083,2024-01-31,2024-03-05,2024-03-07,31.8,31.8,31.8,TON,32320.0,USD,SHIPPED
sls-01-36fbd9cf6324,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c32af2863686,SO-000016-10,CUS-0016,MAT-FI-0089,2024-02-13,2024-03-19,2024-03-19,33.5,33.5,33.5,TON,32704.0,USD,SHIPPED
sls-01-b9aa0fcdd793,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-16c8b5274fdb,SO-000017-10,CUS-0017,MAT-FI-0095,2024-02-26,2024-04-02,2024-04-03,35.2,35.2,35.2,TON,33088.0,KRW,SHIPPED
sls-01-2befc8649d25,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-533142a5666a,SO-000018-10,CUS-0018,MAT-FI-0101,2024-03-10,2024-04-16,2024-04-18,8.0,8.0,8.0,TON,33472.0,USD,SHIPPED
sls-01-399cb6c34da9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9bc6c5e2a116,SO-000019-10,CUS-0019,MAT-FI-0107,2024-03-24,2024-05-01,2024-05-01,9.7,9.7,9.7,TON,30400.0,USD,SHIPPED
sls-01-b69710282b32,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d1b52ce84a50,SO-000020-10,CUS-0020,MAT-FI-0113,2024-04-06,2024-05-15,2024-05-15,11.4,11.4,11.4,TON,30784.0,USD,SHIPPED
sls-01-a69c88d8be6e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-61895c1017c9,SO-000021-10,CUS-0021,MAT-FI-0119,2024-04-19,2024-05-29,2024-05-29,13.1,13.1,13.1,TON,31168.0,KRW,SHIPPED
sls-01-e3847c119b77,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ba87ffdd02f3,SO-000022-10,CUS-0022,MAT-FI-0125,2024-05-02,2024-06-12,2024-06-10,14.8,14.8,14.8,TON,31552.0,USD,SHIPPED
sls-01-136293ba0c45,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e6ec7ea58a74,SO-000023-10,CUS-0023,MAT-FI-0131,2024-05-15,2024-06-26,2024-06-28,16.5,16.5,16.5,TON,31936.0,USD,SHIPPED
sls-01-164cf58eb7a2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-845830db574c,SO-000024-10,CUS-0024,MAT-FI-0137,2024-05-28,2024-07-10,2024-07-12,18.2,18.2,18.2,TON,32320.0,USD,SHIPPED
sls-01-8e7dd5531171,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-238bac127ee0,SO-000025-10,CUS-0001,MAT-FI-0143,2024-06-10,2024-07-24,2024-07-25,19.9,19.9,19.9,TON,32704.0,KRW,SHIPPED
sls-01-d461d119c7f1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e86ebd3d2a9e,SO-000026-10,CUS-0002,MAT-FI-0149,2024-06-23,2024-07-13,2024-07-11,21.6,21.6,21.6,TON,33088.0,USD,SHIPPED
sls-01-dd116144c57c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e9ee5ec35eae,SO-000027-10,CUS-0003,MAT-FI-0155,2024-07-06,2024-07-27,2024-07-29,23.3,23.3,23.3,TON,33472.0,USD,SHIPPED
sls-01-87b56e77309d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30c5d443d9b8,SO-000028-10,CUS-0004,MAT-FI-0161,2024-07-20,2024-08-11,2024-08-12,25.0,25.0,25.0,TON,30400.0,USD,SHIPPED
sls-01-4662e2313dfd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d8d6cefe88ce,SO-000029-10,CUS-0005,MAT-FI-0167,2024-08-02,2024-08-25,2024-08-23,26.7,26.7,26.7,TON,30784.0,KRW,SHIPPED
sls-01-947a25a7d1be,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-89b301ca6e15,SO-000030-10,CUS-0006,MAT-FI-0173,2024-08-15,2024-09-08,2024-09-10,28.4,28.4,28.4,TON,31168.0,USD,SHIPPED
sls-01-3f6b55aff0e7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4c6c4191059f,SO-000031-10,CUS-0007,MAT-FI-0179,2024-08-28,2024-09-22,2024-09-20,30.1,30.1,30.1,TON,31552.0,USD,SHIPPED
sls-01-4990d773d239,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e4bb5b414e0b,SO-000032-10,CUS-0008,MAT-FI-0185,2024-09-10,2024-10-06,2024-10-08,31.8,31.8,31.8,TON,31936.0,USD,SHIPPED
sls-01-b2a0a80d807a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-028fe2860ef2,SO-000033-10,CUS-0009,MAT-FI-0191,2024-09-23,2024-10-20,2024-10-21,33.5,33.5,33.5,TON,32320.0,KRW,SHIPPED
sls-01-f1cc9b276d97,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c1cc72a8a9fb,SO-000034-10,CUS-0010,MAT-FI-0197,2024-10-06,2024-11-03,2024-11-01,35.2,35.2,35.2,TON,32704.0,USD,SHIPPED
sls-01-bc1206f7d10a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1d0e20aa0a7e,SO-000035-10,CUS-0011,MAT-FI-0203,2024-10-19,2024-11-17,2024-11-15,8.0,8.0,8.0,TON,33088.0,USD,SHIPPED
sls-01-f1489907b4a8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ec15698d31ac,SO-000036-10,CUS-0012,MAT-FI-0209,2024-11-01,2024-12-01,2024-12-03,9.7,9.7,9.7,TON,33472.0,USD,SHIPPED
sls-01-2f83d3c0e985,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6be3a7864133,SO-000037-10,CUS-0013,MAT-FI-0215,2024-11-15,2024-12-16,2024-12-17,11.4,11.4,11.4,TON,30400.0,KRW,SHIPPED
sls-01-725a3716442a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b04a26f4ccaf,SO-000038-10,CUS-0014,FG-CATHODE,2024-11-28,2024-12-30,2024-12-28,13.1,13.1,13.1,TON,9139.0,USD,SHIPPED
sls-01-70dc81584661,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1e0420b121e0,SO-000039-10,CUS-0015,FG-NISO4,2024-12-11,2025-01-13,2025-01-12,14.8,14.8,14.8,TON,23376.0,USD,SHIPPED
sls-01-bb0dff952bcf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-670e73e6a81b,SO-000040-10,CUS-0016,FG-LIOH,2024-12-24,2025-01-27,2025-01-25,16.5,16.5,16.5,TON,31552.0,USD,SHIPPED
sls-01-ec468b266eef,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b0c471f97220,SO-000041-10,CUS-0017,MAT-FI-0017,2025-01-06,2025-02-10,2025-02-09,18.2,18.2,18.2,TON,31936.0,KRW,SHIPPED
sls-01-ea457fa127d5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6c761046de3e,SO-000042-10,CUS-0018,MAT-FI-0023,2025-01-19,2025-02-24,2025-02-25,19.9,19.9,19.9,TON,32320.0,USD,SHIPPED
sls-01-0b6fd73e7d0d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-76e3ecb89c62,SO-000043-10,CUS-0019,MAT-FI-0029,2025-02-01,2025-03-10,2025-03-10,21.6,21.6,21.6,TON,32704.0,USD,SHIPPED
sls-01-e6c28a3c4c87,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-984f4c217332,SO-000044-10,CUS-0020,MAT-FI-0035,2025-02-14,2025-03-24,2025-03-23,23.3,23.3,23.3,TON,33088.0,USD,SHIPPED
sls-01-ecb4c2bbae48,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b6bb57d2375b,SO-000045-10,CUS-0021,MAT-FI-0041,2025-02-27,2025-04-07,2025-04-05,25.0,25.0,25.0,TON,33472.0,KRW,SHIPPED
sls-01-75802413b252,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f32810a31d91,SO-000046-10,CUS-0022,MAT-FI-0047,2025-03-13,2025-04-22,2025-04-21,26.7,26.7,26.7,TON,30400.0,USD,SHIPPED
sls-01-22981ab9b30e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c960ca350c9,SO-000047-10,CUS-0023,MAT-FI-0053,2025-03-26,2025-05-06,2025-05-06,28.4,28.4,28.4,TON,30784.0,USD,SHIPPED
sls-01-152282531529,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7411e38289b5,SO-000048-10,CUS-0024,MAT-FI-0059,2025-04-08,2025-05-20,2025-05-22,30.1,30.1,30.1,TON,31168.0,USD,SHIPPED
sls-01-4bb41e162e90,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ba58611a47ab,SO-000049-10,CUS-0001,MAT-FI-0065,2025-04-21,2025-06-03,2025-06-04,31.8,31.8,31.8,TON,31552.0,KRW,SHIPPED
sls-01-f2c0895a4f61,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-59677b97027a,SO-000050-10,CUS-0002,MAT-FI-0071,2025-05-04,2025-06-17,2025-06-18,33.5,33.5,33.5,TON,31936.0,USD,SHIPPED
sls-01-f12766c22035,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-623861fef1d2,SO-000051-10,CUS-0003,MAT-FI-0077,2025-05-17,2025-06-06,2025-06-05,35.2,35.2,35.2,TON,32320.0,USD,SHIPPED
sls-01-55876ac08e3b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4a6cceb5eaf2,SO-000052-10,CUS-0004,MAT-FI-0083,2025-05-30,2025-06-20,2025-06-21,8.0,8.0,8.0,TON,32704.0,USD,SHIPPED
sls-01-c2e6a11f7c3f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b37f8ee763df,SO-000053-10,CUS-0005,MAT-FI-0089,2025-06-12,2025-07-04,2025-07-02,9.7,9.7,9.7,TON,33088.0,KRW,SHIPPED
sls-01-797e73d0d802,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d10118c966f,SO-000054-10,CUS-0006,MAT-FI-0095,2025-06-25,2025-07-18,2025-07-16,11.4,11.4,11.4,TON,33472.0,USD,SHIPPED
sls-01-727622685ef9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fcedc9be2acd,SO-000055-10,CUS-0007,MAT-FI-0101,2025-07-09,2025-08-02,2025-08-03,13.1,13.1,13.1,TON,30400.0,USD,SHIPPED
sls-01-d29c194faff6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e57613466b94,SO-000056-10,CUS-0008,MAT-FI-0107,2025-07-22,2025-08-16,2025-08-17,14.8,14.8,14.8,TON,30784.0,USD,SHIPPED
