record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,finance_document_id,document_type,partner_id,reference_id,posting_date,due_date,amount,currency,paid_at,status
fin-02-9cade116b414,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5509b1f150d2,AP-PO-000002-10,AP,SUP-0002,PO-000002-10,2026-03-15,2026-04-29,207028.97,USD,2026-04-26,PAID
fin-02-663825cbbc80,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-334981ab86ff,AP-PO-000003-10,AP,SUP-0003,PO-000003-10,2026-04-08,2026-05-23,2550.0,USD,2026-05-20,PAID
fin-02-8a571c2febe4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3cd327426842,AP-PO-000004-10,AP,SUP-0004,PO-000004-10,2026-05-02,2026-06-16,307480.8,USD,2026-06-13,PAID
fin-02-a8c274514790,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-89a7fa78bd5d,AP-PO-000006-10,AP,SUP-0006,PO-000006-10,2026-06-19,2026-08-03,411027.75,USD,2026-07-31,PAID
fin-02-22e2af700186,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f229e95cd9f8,AP-PO-000007-10,AP,SUP-0007,PO-000007-10,2026-07-13,2026-08-27,463961.4,USD,2026-08-24,PAID
fin-02-3c4451cdc70e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fbafc6f99f93,AP-PO-000008-10,AP,SUP-0008,PO-000008-10,2026-08-07,2026-09-21,517669.16,USD,2026-09-18,PAID
fin-02-e2650d07d313,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-08b71293c13f,AP-PO-000009-10,AP,SUP-0009,PO-000009-10,2026-08-31,2026-10-15,572150.64,KRW,2026-10-12,PAID
fin-02-5cb9db4c357d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-027e401b25ed,AP-PO-000010-10,AP,SUP-0010,PO-000010-10,2026-09-24,2026-11-08,584464.95,USD,2026-11-05,PAID
fin-02-781031cc522a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce7b6146455f,AP-PO-000013-10,AP,SUP-0003,PO-000013-10,2026-03-30,2026-05-14,210381.6,USD,2026-05-11,PAID
fin-02-aa41d6588d32,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a2334e0d8644,AP-PO-000014-10,AP,SUP-0004,PO-000014-10,2026-04-23,2026-06-07,260994.48,USD,2026-06-04,PAID
fin-02-159b24fe3fb8,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0819ec0a85f3,AP-PO-000016-10,AP,SUP-0006,PO-000016-10,2026-06-11,2026-07-26,364541.1,USD,2026-07-23,PAID
fin-02-8bbbb538ef40,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-68422265d3ab,AP-PO-000017-10,AP,SUP-0007,PO-000017-10,2026-07-05,2026-08-19,417475.12,USD,2026-08-16,PAID
