record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,clearance_id,shipment_id,declaration_date,inspection_status,duty_amount,currency,cleared_at,status,source_version
log-04-e1db462ba123,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ad1683e1abd1,CUSCLR-000001,SHP-000001,2026-03-19,CLEARED,0.0,USD,2026-03-21,CLEARED,1
log-04-e7218cf2f4ed,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fd742bdc8e6d,CUSCLR-000002,SHP-000002,2026-04-12,CLEARED,0.0,USD,2026-04-15,CLEARED,1
log-04-6303ed9344b4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-30c85fb5fea9,CUSCLR-000003,SHP-000003,2026-05-08,CLEARED,0.0,USD,2026-05-12,CLEARED,1
log-04-5632faa491a4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-86e8eb198f58,CUSCLR-000004,SHP-000004,2026-06-27,CLEARED,0.0,USD,2026-06-28,CLEARED,1
log-04-5dc88be2497c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d585e6c8d241,CUSCLR-000005,SHP-000005,2026-07-19,CLEARED,4513.24,USD,2026-07-21,CLEARED,1
log-04-235119eef895,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa82fce9e396,CUSCLR-000006,SHP-000006,2026-08-10,CLEARED,0.0,USD,2026-08-13,CLEARED,1
log-04-aa5cc620fcfa,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5c201903671f,CUSCLR-000007,SHP-000007,2026-09-05,CLEARED,0.0,KRW,2026-09-09,CLEARED,1
log-04-afc3f8d57c57,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3de84937e78e,CUSCLR-000008,SHP-000008,2026-10-01,CLEARED,0.0,USD,2026-10-02,CLEARED,1
log-04-aac4b27fcb5b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-54df4dee37b5,CUSCLR-000009,SHP-000009,2026-04-04,CLEARED,0.0,USD,2026-04-06,CLEARED,1
log-04-ed2ba3414465,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7b871809aa26,CUSCLR-000010,SHP-000010,2026-04-27,CLEARED,2579.0,USD,2026-04-30,CLEARED,1
