record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,batch_id,plan_line_id,production_date,site_id,input_material_id,input_lot_id,input_quantity,output_material_id,output_lot_id,output_quantity,quantity_uom,actual_yield,scrap_quantity,downtime_hours,status
mfg-02-675878f160ea,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce03f9423344,BATCH-0000001,MPS-0000001,2026-02-01,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000001,8.845,FG-CATHODE,LOT-FG-0000001,8.5,TON,0.96104,0.345,4,CONFIRMED
mfg-02-c453f6a72ec3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-65ffea5d320c,BATCH-0000002,MPS-0000002,2026-02-07,plant-afs-battery-02,RM-H2SO4,LOT-RM-000002,11.082,FG-LIOH,LOT-FG-0000002,10.43,TON,0.94112,0.652,0,CONFIRMED
mfg-02-bb3597eb0317,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07876c8009fd,BATCH-0000003,MPS-0000003,2026-02-13,plant-afs-battery-02,RM-MHP,LOT-RM-000003,13.17,FG-NISO4,LOT-FG-0000003,12.411,TON,0.9424,0.759,0,CONFIRMED
mfg-02-c27910483693,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74df97f8e1f2,BATCH-0000004,MPS-0000004,2026-02-19,plant-afs-battery-02,RM-LIME,LOT-RM-000004,15.342,MAT-FI-0017,LOT-FG-0000004,14.442,TON,0.94133,0.9,0,CONFIRMED
mfg-02-5d9eef25a20d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-de26d3c9172c,BATCH-0000005,MPS-0000005,2026-02-21,plant-afs-battery-02,MAT-RA-0013,LOT-RM-000005,17.751,MAT-FI-0023,LOT-FG-0000005,16.523,TON,0.9308,1.228,0,CONFIRMED
mfg-02-58542c69ca11,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-37a17edcb91d,BATCH-0000006,MPS-0000006,2026-02-27,plant-afs-battery-02,MAT-CO-0014,LOT-RM-000006,19.464,MAT-FI-0029,LOT-FG-0000006,18.655,TON,0.95845,0.809,0,CONFIRMED
mfg-02-6d9ba73ff883,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1dac9544c01d,BATCH-0000007,MPS-0000007,2026-03-05,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000007,20.942,FG-CATHODE,LOT-FG-0000007,20.837,TON,0.995,0.105,0,CONFIRMED
mfg-02-fb29aa4f371e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f6813fe7d981,BATCH-0000008,MPS-0000008,2026-03-11,plant-afs-battery-02,RM-H2SO4,LOT-RM-000008,24.109,FG-LIOH,LOT-FG-0000008,23.07,TON,0.9569,1.039,0,CONFIRMED
mfg-02-5d638238a785,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ee9fea5531a,BATCH-0000009,MPS-0000009,2026-03-13,plant-afs-battery-02,RM-MHP,LOT-RM-000009,26.75,FG-NISO4,LOT-FG-0000009,25.353,TON,0.94778,1.397,0,CONFIRMED
mfg-02-909add14c849,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5bf9c78187a1,BATCH-0000010,MPS-0000010,2026-03-19,plant-afs-battery-02,RM-LIME,LOT-RM-000010,29.725,MAT-FI-0017,LOT-FG-0000010,27.686,TON,0.93142,2.039,0,CONFIRMED
mfg-02-973ccb1c760d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c9b77e2847f,BATCH-0000011,MPS-0000011,2026-03-25,plant-afs-battery-02,MAT-RA-0013,LOT-RM-000011,32.402,MAT-FI-0023,LOT-FG-0000011,30.07,TON,0.92804,2.332,0,CONFIRMED
mfg-02-6445ed575d98,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63dd5705f6c2,BATCH-0000012,MPS-0000012,2026-04-01,plant-afs-battery-02,MAT-CO-0014,LOT-RM-000012,29.273,MAT-FI-0029,LOT-FG-0000012,28.135,TON,0.96113,1.138,0,CONFIRMED
mfg-02-56850e3d338c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f90828b132ed,BATCH-0000013,MPS-0000013,2026-04-03,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000013,31.154,FG-CATHODE,LOT-FG-0000013,30.342,TON,0.97395,0.812,0,CONFIRMED
mfg-02-767d45f6093a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a71517116250,BATCH-0000014,MPS-0000014,2026-04-09,plant-afs-battery-02,RM-H2SO4,LOT-RM-000014,36.061,FG-LIOH,LOT-FG-0000014,32.6,TON,0.90404,3.461,0,CONFIRMED
mfg-02-4d1d5cc7cf88,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6e3121b5f1ab,BATCH-0000015,MPS-0000015,2026-04-15,plant-afs-battery-02,RM-MHP,LOT-RM-000015,37.056,FG-NISO4,LOT-FG-0000015,34.908,TON,0.94204,2.148,0,CONFIRMED
mfg-02-0b027fcc5c63,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e5f513e77143,BATCH-0000016,MPS-0000016,2026-04-21,plant-afs-battery-02,RM-LIME,LOT-RM-000016,38.536,MAT-FI-0017,LOT-FG-0000016,37.267,TON,0.96708,1.269,0,CONFIRMED
mfg-02-e6df2ceb5c91,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4eeef84cf35b,BATCH-0000017,MPS-0000017,2026-04-23,plant-afs-battery-02,MAT-RA-0013,LOT-RM-000017,42.043,MAT-FI-0023,LOT-FG-0000017,39.676,TON,0.94369,2.367,0,CONFIRMED
mfg-02-b24e02b7db39,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-808a9d813768,BATCH-0000018,MPS-0000018,2026-04-29,plant-afs-battery-02,MAT-CO-0014,LOT-RM-000018,45.525,MAT-FI-0029,LOT-FG-0000018,42.135,TON,0.92554,3.39,0,CONFIRMED
mfg-02-de298b8d2033,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f9066534ed3d,BATCH-0000019,MPS-0000019,2026-05-05,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000019,45.455,FG-CATHODE,LOT-FG-0000019,44.645,TON,0.98218,0.81,0,CONFIRMED
mfg-02-677bc3136912,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c7dd92855885,BATCH-0000020,MPS-0000020,2026-05-11,plant-afs-battery-02,RM-H2SO4,LOT-RM-000020,10.128,FG-LIOH,LOT-FG-0000020,9.46,TON,0.93403,0.668,0,CONFIRMED
mfg-02-32a126ef0816,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-87d7240742b1,BATCH-0000021,MPS-0000021,2026-05-13,plant-afs-battery-02,RM-MHP,LOT-RM-000021,12.28,FG-NISO4,LOT-FG-0000021,11.592,TON,0.94394,0.688,0,CONFIRMED
mfg-02-c59696b60654,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f029d9e25ac3,BATCH-0000022,MPS-0000022,2026-05-19,plant-afs-battery-02,RM-LIME,LOT-RM-000022,14.862,MAT-FI-0017,LOT-FG-0000022,13.774,TON,0.9268,1.088,0,CONFIRMED
mfg-02-f3c5144c0d4a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-85c943861cd5,BATCH-0000023,MPS-0000023,2026-05-26,plant-afs-battery-02,MAT-RA-0013,LOT-RM-000023,14.515,MAT-FI-0023,LOT-FG-0000023,13.855,TON,0.95455,0.66,0,CONFIRMED
mfg-02-afc0172a0a99,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c2677d686afe,BATCH-0000024,MPS-0000024,2026-06-01,plant-afs-battery-02,MAT-CO-0014,LOT-RM-000024,16.871,MAT-FI-0029,LOT-FG-0000024,15.861,TON,0.94015,1.01,0,CONFIRMED
mfg-02-5963d23bec47,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bedaf1269892,BATCH-0000025,MPS-0000025,2026-06-03,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000025,18.275,FG-CATHODE,LOT-FG-0000025,17.917,TON,0.9804,0.358,0,CONFIRMED
mfg-02-7588b1fa6243,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a36914db5b31,BATCH-0000026,MPS-0000026,2026-06-09,plant-afs-battery-02,RM-H2SO4,LOT-RM-000026,20.958,FG-LIOH,LOT-FG-0000026,20.024,TON,0.95544,0.934,0,CONFIRMED
mfg-02-275e63c58bc2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8e74bb68a294,BATCH-0000027,MPS-0000027,2026-06-15,plant-afs-battery-02,RM-MHP,LOT-RM-000027,24.535,FG-NISO4,LOT-FG-0000027,22.181,TON,0.90405,2.354,0,CONFIRMED
mfg-02-9a2d72e4c91d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1324f129bed0,BATCH-0000028,MPS-0000028,2026-06-21,plant-afs-battery-02,RM-LIME,LOT-RM-000028,25.715,MAT-FI-0017,LOT-FG-0000028,24.388,TON,0.94841,1.327,0,CONFIRMED
mfg-02-9e308dea7e85,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-25cb4c75b96a,BATCH-0000029,MPS-0000029,2026-06-23,plant-afs-battery-02,MAT-RA-0013,LOT-RM-000029,28.92,MAT-FI-0023,LOT-FG-0000029,26.646,TON,0.92136,2.274,0,CONFIRMED
mfg-02-6eb883285c60,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9e95cb8c6a17,BATCH-0000030,MPS-0000030,2026-06-29,plant-afs-battery-02,MAT-CO-0014,LOT-RM-000030,31.022,MAT-FI-0029,LOT-FG-0000030,28.954,TON,0.93335,2.068,4,CONFIRMED
