record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,equipment_event_id,equipment_id,event_type,start_at,end_at,planned,root_cause,capacity_loss_hours
mfg-03-b45779dbfe98,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2371eab539d,EQEV-000001,EQ-01-001,PLANNED_MAINTENANCE,2026-02-01T00:00:00+00:00,2026-02-01T03:00:00+00:00,True,PERIODIC_PM,3
mfg-03-4dcd4a2e274d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-acc48bdc7121,EQEV-000002,EQ-02-002,BREAKDOWN,2026-02-24T00:00:00+00:00,2026-02-24T02:00:00+00:00,False,DEMO_WEAR,2
mfg-03-fcc69fbfd409,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa5e23eb4818,EQEV-000003,EQ-02-003,BREAKDOWN,2026-03-19T00:00:00+00:00,2026-03-19T03:00:00+00:00,False,DEMO_WEAR,3
mfg-03-596ce2788a0d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2eb61fb9e19d,EQEV-000004,EQ-02-004,BREAKDOWN,2026-04-11T00:00:00+00:00,2026-04-11T04:00:00+00:00,False,DEMO_WEAR,4
mfg-03-af06af98de83,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8e2c8f404f2e,EQEV-000005,EQ-02-005,PLANNED_MAINTENANCE,2026-05-04T00:00:00+00:00,2026-05-04T07:00:00+00:00,True,PERIODIC_PM,7
mfg-03-c8bca9da966d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-39bbfd62f474,EQEV-000006,EQ-02-006,BREAKDOWN,2026-05-27T00:00:00+00:00,2026-05-27T06:00:00+00:00,False,DEMO_WEAR,6
mfg-03-0f41132853eb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c58c04f25bbb,EQEV-000007,EQ-01-007,BREAKDOWN,2026-06-19T00:00:00+00:00,2026-06-19T07:00:00+00:00,False,DEMO_WEAR,7
mfg-03-0aafeb835295,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-de5f36a945cc,EQEV-000008,EQ-02-008,BREAKDOWN,2026-07-12T00:00:00+00:00,2026-07-12T08:00:00+00:00,False,DEMO_WEAR,8
mfg-03-857e3ba63641,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-629c273be0f6,EQEV-000009,EQ-02-009,PLANNED_MAINTENANCE,2026-02-05T00:00:00+00:00,2026-02-05T11:00:00+00:00,True,PERIODIC_PM,11
mfg-03-f512fd491ce9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cfada3df2ed0,EQEV-000010,EQ-02-010,BREAKDOWN,2026-02-28T00:00:00+00:00,2026-02-28T10:00:00+00:00,False,DEMO_WEAR,10
mfg-03-061bbed3b03b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-10d9964f7465,EQEV-000011,EQ-02-011,BREAKDOWN,2026-03-23T00:00:00+00:00,2026-03-23T11:00:00+00:00,False,DEMO_WEAR,11
mfg-03-76871acbee2f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c4f9a7b08178,EQEV-000012,EQ-02-012,BREAKDOWN,2026-04-15T00:00:00+00:00,2026-04-15T01:00:00+00:00,False,DEMO_WEAR,1
mfg-03-45fa6fc0e8c7,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-db960e36c23d,EQEV-000013,EQ-01-001,PLANNED_MAINTENANCE,2026-05-08T00:00:00+00:00,2026-05-08T15:00:00+00:00,True,PERIODIC_PM,15
mfg-03-d228f6ac4700,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa9058da5a5d,EQEV-000014,EQ-02-002,BREAKDOWN,2026-05-31T00:00:00+00:00,2026-05-31T03:00:00+00:00,False,DEMO_WEAR,3
mfg-03-a0fbdfcf44bf,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ee75bba764c6,EQEV-000015,EQ-02-003,BREAKDOWN,2026-06-23T00:00:00+00:00,2026-06-23T04:00:00+00:00,False,DEMO_WEAR,4
mfg-03-c9f6e442b428,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-209175111e26,EQEV-000016,EQ-02-004,BREAKDOWN,2026-07-16T00:00:00+00:00,2026-07-16T05:00:00+00:00,False,DEMO_WEAR,5
mfg-03-158bbf6222e6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ea0441ac22ea,EQEV-000017,EQ-02-005,PLANNED_MAINTENANCE,2026-02-09T00:00:00+00:00,2026-02-09T19:00:00+00:00,True,PERIODIC_PM,19
mfg-03-72c0d011b571,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f3d8b6d5380c,EQEV-000018,EQ-02-006,BREAKDOWN,2026-03-04T00:00:00+00:00,2026-03-04T07:00:00+00:00,False,DEMO_WEAR,7
mfg-03-cd3915382807,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-109d07929c93,EQEV-000019,EQ-01-007,BREAKDOWN,2026-03-27T00:00:00+00:00,2026-03-27T08:00:00+00:00,False,DEMO_WEAR,8
mfg-03-d83c5cc5c7f4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-43cf996ea36e,EQEV-000020,EQ-02-008,BREAKDOWN,2026-04-19T00:00:00+00:00,2026-04-19T09:00:00+00:00,False,DEMO_WEAR,9
