record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,observation_id,indicator_code,observed_at,published_at,vintage_date,value,unit,source_id,trust_grade
ext-01-51bed4ade7a5,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c92eaefa491c,EXT1-USD_KRW-202108,USD_KRW,2021-08-31,2021-09-10,2021-09-10,1316.2845,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-eb200a88d483,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6d9aaf63071f,EXT1-BASE_RATE_KR-202108,BASE_RATE_KR,2021-08-31,2021-09-10,2021-09-10,3.25,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-ddbd057676e4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3539b09af625,EXT1-PPI_MFG-202108,PPI_MFG,2021-08-31,2021-09-10,2021-09-10,100.0,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-1dcef5b8d5af,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aedb2a48b2da,EXT1-USD_KRW-202109,USD_KRW,2021-09-30,2021-10-10,2021-10-10,1259.3705,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-fb976e919e90,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-49b17386756c,EXT1-BASE_RATE_KR-202109,BASE_RATE_KR,2021-09-30,2021-10-10,2021-10-10,3.2936,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e632f95f8822,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3802b8c95e8e,EXT1-PPI_MFG-202109,PPI_MFG,2021-09-30,2021-10-10,2021-10-10,100.3688,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-9581899d7b20,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-73d625b841ed,EXT1-USD_KRW-202110,USD_KRW,2021-10-31,2021-11-10,2021-11-10,1225.4049,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-71da206198d5,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-744b205dc37d,EXT1-BASE_RATE_KR-202110,BASE_RATE_KR,2021-10-31,2021-11-10,2021-11-10,3.3366,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-bbb9931e7e65,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d948df86a36b,EXT1-PPI_MFG-202110,PPI_MFG,2021-10-31,2021-11-10,2021-11-10,100.7308,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-be4b1839b5cd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cbb851e74ba4,EXT1-USD_KRW-202111,USD_KRW,2021-11-30,2021-12-10,2021-12-10,1207.2812,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
