record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,snapshot_id,snapshot_date,location_id,material_id,lot_id,unrestricted_quantity,quality_quantity,blocked_quantity,safety_stock_quantity,quantity_uom
inv-01-2a7c161c531f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b240fe5c2e71,STK-20260228-RM-CU-CONC-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,RM-CU-CONC,ALL,2837.442,0.0,0.0,50.0,TON
inv-01-8f5d41a7b1b0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52acd47dd8c1,STK-20260228-RM-CU-CONC-LOC-P1-FG,2026-02-28,LOC-P1-FG,RM-CU-CONC,ALL,0.0,0.0,0.0,50.0,TON
inv-01-555a5ec653b8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6fc2709e11aa,STK-20260228-RM-MHP-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-MHP,ALL,2895.982,0.0,0.0,50.0,TON
inv-01-d3e560e64775,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74a902948e18,STK-20260228-RM-MHP-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-MHP,ALL,1.36,0.0,0.0,50.0,TON
inv-01-c86046931340,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-18d39cedf54e,STK-20260228-RM-H2SO4-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-H2SO4,ALL,2827.916,0.0,0.0,50.0,TON
inv-01-08926ddf17c4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ef6cddc79fe2,STK-20260228-RM-H2SO4-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-H2SO4,ALL,0.0,0.0,0.0,50.0,TON
inv-01-4b109b593f5f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6273ee6d8b48,STK-20260228-RM-LIME-LOC-P2-RAW,2026-02-28,LOC-P2-RAW,RM-LIME,ALL,2000.0,0.0,0.0,50.0,TON
inv-01-9ea293535cb4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d64c626d2042,STK-20260228-RM-LIME-LOC-P2-FG,2026-02-28,LOC-P2-FG,RM-LIME,ALL,2.38,0.0,0.0,50.0,TON
inv-01-a63e0ccf64ce,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5ea2764e0e09,STK-20260228-WIP-MATTE-LOC-P1-RAW,2026-02-28,LOC-P1-RAW,WIP-MATTE,ALL,100.0,0.0,0.0,10.0,TON
inv-01-c628d344c91b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-92be7ce2a902,STK-20260228-WIP-MATTE-LOC-P1-FG,2026-02-28,LOC-P1-FG,WIP-MATTE,ALL,0.0,0.0,0.0,10.0,TON
