record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,supplier_id,supplier_name,country_code,currency,lead_time_days,payment_terms,risk_grade,material_ids,active
mdm-02-9cd3e436b658,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4106561d9832,SUP-0001,글로벌 원료공급사 01 (가상),KR,KRW,18,NET30,LOW,"[""RM-MHP""]",True
mdm-02-58972d9625eb,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7183db99dc59,SUP-0002,글로벌 원료공급사 02 (가상),ID,USD,25,NET45,MEDIUM,"[""RM-LIME"", ""MAT-CO-0014""]",True
mdm-02-19f54dbedfa0,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6880e6de8462,SUP-0003,글로벌 원료공급사 03 (가상),AU,USD,32,NET60,HIGH,"[""MAT-CO-0014"", ""MAT-CO-0021"", ""MAT-RA-0013""]",True
mdm-02-a4a7462cf07f,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d6cc05667ff9,SUP-0004,글로벌 원료공급사 04 (가상),CL,USD,39,NET30,LOW,"[""MAT-RA-0019""]",True
mdm-02-d8573e1141bc,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bb782778d5f7,SUP-0005,글로벌 원료공급사 05 (가상),PE,KRW,46,NET45,MEDIUM,"[""RM-H2SO4"", ""MAT-RA-0018""]",True
mdm-02-e26d71b096d2,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-66a843f23360,SUP-0006,글로벌 원료공급사 06 (가상),CN,USD,53,NET60,HIGH,"[""MAT-RA-0024"", ""RM-MHP"", ""MAT-CO-0020""]",True
mdm-02-fb585f0b9ab3,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-009ebef4f254,SUP-0007,글로벌 원료공급사 07 (가상),JP,USD,60,NET30,LOW,"[""MAT-CO-0021""]",True
mdm-02-556ebbea0c52,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8d8b0dd7222,SUP-0008,글로벌 원료공급사 08 (가상),CA,USD,67,NET45,MEDIUM,"[""MAT-RA-0019"", ""RM-CU-CONC""]",True
mdm-02-b82858b91387,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6ad36573e67,SUP-0009,글로벌 원료공급사 09 (가상),KR,KRW,74,NET60,HIGH,"[""MAT-CO-0015"", ""RM-MHP"", ""MAT-CO-0020""]",True
mdm-02-4208fa1246bd,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bac56de6f17f,SUP-0010,글로벌 원료공급사 10 (가상),ID,USD,81,NET30,LOW,"[""MAT-CO-0026""]",True
