record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,shipment_id,po_line_id,vessel_or_mode,origin_port,destination_port,lane_id,shipment_quantity,quantity_uom,freight_amount,freight_currency,etd,eta,status
log-02-6d89c9f77c69,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-39165d968fc1,SHP-000001,PO-000001-10,DEMO-VESSEL-02,PERTH,ULSAN,LANE-002,15.0,TON,1102.5,USD,2023-08-05,2023-08-20,DELIVERED
log-02-88b4084b6ba9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-839d065065d1,SHP-000002,PO-000002-10,DEMO-VESSEL-03,VALPARAISO,ULSAN,LANE-003,19.5,TON,1501.5,USD,2023-08-24,2023-09-15,DELIVERED
log-02-99d052be50dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d9f9d4f89aa7,SHP-000003,PO-000004-10,DEMO-VESSEL-04,SHANGHAI,ULSAN,LANE-004,28.5,TON,2294.25,USD,2023-09-30,2023-10-28,DELIVERED
log-02-65fbc11a1cc8,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-11e55885a1d3,SHP-000004,PO-000005-10,DEMO-VESSEL-05,JAKARTA,ULSAN,LANE-005,33.0,TON,2772.0,USD,2023-10-19,2023-11-28,DELIVERED
log-02-0ad39122f4fe,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2d0c4371962,SHP-000005,PO-000006-10,DEMO-VESSEL-06,PERTH,ULSAN,LANE-006,37.5,EA,3281.25,USD,2023-11-07,2023-12-20,DELIVERED
log-02-0eeacfe134f6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-efa42434c16e,SHP-000006,PO-000009-10,DEMO-VESSEL-07,VALPARAISO,ULSAN,LANE-007,51.0,TON,4641.0,USD,2024-01-03,2024-02-29,DELIVERED
log-02-236b71e5a4bf,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-29d49c9639d0,SHP-000007,PO-000010-10,DEMO-VESSEL-08,SHANGHAI,ULSAN,LANE-008,55.5,EA,5244.75,USD,2024-01-22,2024-03-23,DELIVERED
log-02-de1a73b74c69,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f7e73bb140a9,SHP-000008,PO-000011-10,DEMO-VESSEL-09,JAKARTA,ULSAN,LANE-009,60.0,EA,5880.0,USD,2024-02-10,2024-04-18,DELIVERED
log-02-23fb7bba2f8e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-79cc29540940,SHP-000009,PO-000012-10,DEMO-VESSEL-10,PERTH,ULSAN,LANE-010,15.0,TON,1522.5,USD,2024-02-10,2024-03-01,DELIVERED
log-02-706a7659bb05,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-113d75e5542f,SHP-000010,PO-000015-10,DEMO-VESSEL-11,VALPARAISO,ULSAN,LANE-011,28.5,EA,2992.5,USD,2024-04-07,2024-05-09,DELIVERED
