record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,transport_event_id,transport_id,shipment_id,event_type,event_at,destination_location_id,delivered_quantity,quantity_uom,status
log-05-737bdf60a79d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-88dadff52fda,TR-000001-1,TR-000001,SHP-000001,DISPATCHED,2026-03-21T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-f97c94bb9434,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cad78b93f837,TR-000001-2,TR-000001,SHP-000001,DELIVERED,2026-03-23T00:00:00+00:00,LOC-P2-RAW,19.5,TON,COMPLETED
log-05-fa1de00bdcc1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63d7a48ee72f,TR-000002-1,TR-000002,SHP-000002,DISPATCHED,2026-04-15T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-57335a6f262a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84f19d012f3b,TR-000002-2,TR-000002,SHP-000002,DELIVERED,2026-04-16T00:00:00+00:00,LOC-P2-RAW,24.0,TON,COMPLETED
log-05-51001cd014ad,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-22be77e57dd0,TR-000003-1,TR-000003,SHP-000003,DISPATCHED,2026-05-12T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-ae727f957664,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2307661a6480,TR-000003-2,TR-000003,SHP-000003,DELIVERED,2026-05-14T00:00:00+00:00,LOC-P2-RAW,28.5,TON,COMPLETED
log-05-34fdc8fc1add,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-38864ae43778,TR-000004-1,TR-000004,SHP-000004,DISPATCHED,2026-06-28T00:00:00+00:00,LOC-P1-RAW,0.0,EA,COMPLETED
log-05-db9e4322d54a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dc20e9872859,TR-000004-2,TR-000004,SHP-000004,DELIVERED,2026-06-29T00:00:00+00:00,LOC-P1-RAW,37.5,EA,COMPLETED
log-05-1c6ebafdc85e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6670a4f84bca,TR-000005-1,TR-000005,SHP-000005,DISPATCHED,2026-07-21T00:00:00+00:00,LOC-P2-RAW,0.0,EA,COMPLETED
log-05-d7f371b0ebe3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cabdb915582e,TR-000005-2,TR-000005,SHP-000005,DELIVERED,2026-07-23T00:00:00+00:00,LOC-P2-RAW,42.0,EA,COMPLETED
log-05-1a25402cac9f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a66ec342faf9,TR-000006-1,TR-000006,SHP-000006,DISPATCHED,2026-08-13T00:00:00+00:00,LOC-P1-RAW,0.0,TON,COMPLETED
log-05-e5b4f6384dcc,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ddf6af5a046a,TR-000006-2,TR-000006,SHP-000006,DELIVERED,2026-08-14T00:00:00+00:00,LOC-P1-RAW,46.5,TON,COMPLETED
log-05-37abe5e9380d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-340ac048676a,TR-000007-1,TR-000007,SHP-000007,DISPATCHED,2026-09-09T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-b67abafe2663,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-25a0282683e7,TR-000007-2,TR-000007,SHP-000007,DELIVERED,2026-09-11T00:00:00+00:00,LOC-P2-RAW,51.0,TON,COMPLETED
log-05-abaad2854d23,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9c6526359d3d,TR-000008-1,TR-000008,SHP-000008,DISPATCHED,2026-10-02T00:00:00+00:00,LOC-P1-RAW,0.0,EA,COMPLETED
log-05-b062ef27fd88,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4a8084c83eeb,TR-000008-2,TR-000008,SHP-000008,DELIVERED,2026-10-03T00:00:00+00:00,LOC-P1-RAW,55.5,EA,COMPLETED
log-05-b4e7757f852c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e5f7e21b2312,TR-000009-1,TR-000009,SHP-000009,DISPATCHED,2026-04-06T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-1f8bbbb85765,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ab5d0300eef3,TR-000009-2,TR-000009,SHP-000009,DELIVERED,2026-04-08T00:00:00+00:00,LOC-P2-RAW,19.5,TON,COMPLETED
log-05-535e1895e967,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-236ad36282fd,TR-000010-1,TR-000010,SHP-000010,DISPATCHED,2026-04-30T00:00:00+00:00,LOC-P1-RAW,0.0,EA,COMPLETED
log-05-9812073eef28,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e46de198f4b9,TR-000010-2,TR-000010,SHP-000010,DELIVERED,2026-05-01T00:00:00+00:00,LOC-P1-RAW,24.0,EA,COMPLETED
log-05-7d37ff5d6d55,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a429218296f,TR-000011-1,TR-000011,SHP-000011,DISPATCHED,2026-06-23T00:00:00+00:00,LOC-P1-RAW,0.0,TON,COMPLETED
log-05-6e94d0105e77,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3c0ecba33aab,TR-000011-2,TR-000011,SHP-000011,DELIVERED,2026-06-25T00:00:00+00:00,LOC-P1-RAW,33.0,TON,COMPLETED
