record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,material_id,material_code,material_name,aliases,material_type,grade,base_uom,valuation_class,benchmark_code,active
mdm-01-801a9fbd3206,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-24e92e8dab22,RM-CU-CONC,RM-CU-CONC,동정광,동정광|RM CU CONC,RAW,CU_25PCT,TON,RAW,LME_COPPER,True
mdm-01-8c76ace6802f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e0b255773fb,RM-MHP,RM-MHP,니켈 MHP,니켈 MHP|RM MHP,RAW,NI_40PCT,TON,RAW,NICKEL,True
mdm-01-be2d0d1f0489,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-12f3fdac4190,RM-BLACKMASS,RM-BLACKMASS,Black Mass(폐배터리 파쇄분),Black Mass(폐배터리 파쇄분)|RM BLACKMASS,RAW,LI_4PCT,TON,RAW,LITHIUM,True
mdm-01-9e81b25294f9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7a61391f381e,RM-H2SO4,RM-H2SO4,황산 98%,황산 98%|RM H2SO4,RAW,TECHNICAL_98PCT,TON,RAW,SULFURIC_ACID,True
mdm-01-c9d803e6f2f1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c1891b02e8fc,RM-LIME,RM-LIME,소석회,소석회|RM LIME,RAW,INDUSTRIAL,TON,RAW,INDUSTRIAL_CHEMICAL,True
mdm-01-3e715fe15594,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e6b1e5c4c917,WIP-MATTE,WIP-MATTE,동 매트,동 매트|WIP MATTE,WIP,CU_60PCT,TON,WIP,,True
mdm-01-e24891bd2074,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0785024c044b,WIP-ANODE,WIP-ANODE,아노드동,아노드동|WIP ANODE,WIP,CU_99_5PCT,TON,WIP,,True
mdm-01-f536d96007c6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa572f648903,WIP-NISO4,WIP-NISO4,조황산니켈 용액,조황산니켈 용액|WIP NISO4,WIP,CRUDE_SOLUTION,TON,WIP,,True
mdm-01-ffd487b528ac,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-59510e586320,FG-CATHODE,FG-CATHODE,전기동,전기동|FG CATHODE,FINISHED,LME_GRADE_A,TON,FINISHED,COPPER,True
mdm-01-6179e326b706,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-28483a334c70,FG-NISO4,FG-NISO4,고순도 황산니켈,고순도 황산니켈|FG NISO4,FINISHED,BATTERY_GRADE,TON,FINISHED,NICKEL_SULFATE,True
mdm-01-0e6c5a27847a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-576bbea70b07,FG-LIOH,FG-LIOH,배터리급 수산화리튬,배터리급 수산화리튬|FG LIOH,FINISHED,BATTERY_GRADE,TON,FINISHED,LITHIUM,True
mdm-01-bab121934e68,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7bf87131bf04,BP-H2SO4,BP-H2SO4,부산물 황산,부산물 황산|BP H2SO4,BYPRODUCT,TECHNICAL_98PCT,TON,BYPRODUCT,SULFURIC_ACID,True
mdm-01-08ea05adc58b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6aad4b3155f0,BP-GOLD,BP-GOLD,부산물 금,부산물 금|BP GOLD,BYPRODUCT,FINE_GOLD_9999,KG,BYPRODUCT,GOLD,True
mdm-01-91c5030046f4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1c68f16c65b6,MAT-CO-0014,MAT-CO-0014,포장재 014,포장재014|DEMO-014,CONSUMABLE,G3,EA,CONSUMABLE,,True
mdm-01-5a111bc8d665,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-79da99cda0bc,MAT-CO-0015,MAT-CO-0015,예비품 015,예비품015|DEMO-015,CONSUMABLE,G4,EA,CONSUMABLE,,True
mdm-01-8f948ba24f7f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-78299d7a1383,MAT-WI-0016,MAT-WI-0016,중간재 016,중간재016|DEMO-016,WIP,G1,TON,WIP,,True
mdm-01-a7d7f6a1fe1e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b59129b4ca71,MAT-FI-0017,MAT-FI-0017,완제품 017,완제품017|DEMO-017,FINISHED,G2,TON,FINISHED,,True
