record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,reference_id,reference_type,code,name,origin,destination,mode,lead_time_days,currency
mdm-08-4c1a8c5aa576,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce743a5559a5,INC-FOB,INCOTERM,FOB,FOB,,,,0,
mdm-08-1846123a07b2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9775dd399395,INC-CIF,INCOTERM,CIF,CIF,,,,0,
mdm-08-d6f93e073c9c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-54b7b70d7e67,INC-CFR,INCOTERM,CFR,CFR,,,,0,
mdm-08-ab3acf9ebc0c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3af987540f28,INC-DAP,INCOTERM,DAP,DAP,,,,0,
mdm-08-e88123213877,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ab69b13037c5,PAY-NET30,PAYMENT_TERM,NET30,NET30,,,,30,
mdm-08-8ccb34d203ec,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3f4b3ce2c0e1,PAY-NET45,PAYMENT_TERM,NET45,NET45,,,,45,
mdm-08-d33f9020e4fc,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ee6aefc657c,PAY-NET60,PAYMENT_TERM,NET60,NET60,,,,60,
mdm-08-4e561a36154f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-96bec628011c,PORT-BUSAN,PORT,BUSAN,BUSAN Port,,,SEA,0,USD
mdm-08-30627caafe03,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8841e2e25680,PORT-ULSAN,PORT,ULSAN,ULSAN Port,,,SEA,0,USD
mdm-08-4ccecf5a29f8,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b854883c73fe,PORT-JAKARTA,PORT,JAKARTA,JAKARTA Port,,,SEA,0,USD
mdm-08-597e8064b35f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5c772623eaed,PORT-PERTH,PORT,PERTH,PERTH Port,,,SEA,0,USD
mdm-08-943e68860588,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4107098a4c5f,PORT-VALPARAISO,PORT,VALPARAISO,VALPARAISO Port,,,SEA,0,USD
mdm-08-7e28f35e4400,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a835c4f476d5,PORT-SHANGHAI,PORT,SHANGHAI,SHANGHAI Port,,,SEA,0,USD
mdm-08-aa5bcd4b9337,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-31fe290b60df,LANE-001,TRANSPORT_LANE,LN001,JAKARTA→ULSAN,JAKARTA,ULSAN,SEA,12,USD
mdm-08-bdbb1bdee41f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c9137301ca15,LANE-002,TRANSPORT_LANE,LN002,PERTH→ULSAN,PERTH,ULSAN,SEA,13,USD
mdm-08-26cdd11fd3f2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b933f58690ff,LANE-003,TRANSPORT_LANE,LN003,VALPARAISO→ULSAN,VALPARAISO,ULSAN,SEA,14,USD
mdm-08-3baaf2d73ffe,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-089f36e228e1,LANE-004,TRANSPORT_LANE,LN004,SHANGHAI→ULSAN,SHANGHAI,ULSAN,SEA,15,USD
mdm-08-5de7b7930f17,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-eac76ec9d34f,LANE-005,TRANSPORT_LANE,LN005,BUSAN→ULSAN,BUSAN,ULSAN,SEA,16,USD
mdm-08-da731629ffc2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-19cc7cb80dc7,LANE-006,TRANSPORT_LANE,LN006,ULSAN→ULSAN,ULSAN,ULSAN,SEA,17,USD
mdm-08-e6eb32d93bbc,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-32da51fee634,LANE-007,TRANSPORT_LANE,LN007,JAKARTA→ULSAN,JAKARTA,ULSAN,SEA,18,USD
