record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,transport_event_id,transport_id,shipment_id,event_type,event_at,destination_location_id,delivered_quantity,quantity_uom,status
log-05-737bdf60a79d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-88dadff52fda,TR-000001-1,TR-000001,SHP-000001,DISPATCHED,2023-08-23T00:00:00+00:00,LOC-P1-RAW,0.0,TON,COMPLETED
log-05-f97c94bb9434,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cad78b93f837,TR-000001-2,TR-000001,SHP-000001,DELIVERED,2023-08-25T00:00:00+00:00,LOC-P1-RAW,15.0,TON,COMPLETED
log-05-fa1de00bdcc1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63d7a48ee72f,TR-000002-1,TR-000002,SHP-000002,DISPATCHED,2023-09-20T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-57335a6f262a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84f19d012f3b,TR-000002-2,TR-000002,SHP-000002,DELIVERED,2023-09-21T00:00:00+00:00,LOC-P2-RAW,19.5,TON,COMPLETED
log-05-51001cd014ad,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-22be77e57dd0,TR-000003-1,TR-000003,SHP-000003,DISPATCHED,2023-11-05T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-ae727f957664,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2307661a6480,TR-000003-2,TR-000003,SHP-000003,DELIVERED,2023-11-07T00:00:00+00:00,LOC-P2-RAW,28.5,TON,COMPLETED
log-05-34fdc8fc1add,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-38864ae43778,TR-000004-1,TR-000004,SHP-000004,DISPATCHED,2023-11-30T00:00:00+00:00,LOC-P2-RAW,0.0,TON,COMPLETED
log-05-db9e4322d54a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dc20e9872859,TR-000004-2,TR-000004,SHP-000004,DELIVERED,2023-12-01T00:00:00+00:00,LOC-P2-RAW,33.0,TON,COMPLETED
log-05-1c6ebafdc85e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6670a4f84bca,TR-000005-1,TR-000005,SHP-000005,DISPATCHED,2023-12-26T00:00:00+00:00,LOC-P1-RAW,0.0,EA,COMPLETED
log-05-d7f371b0ebe3,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cabdb915582e,TR-000005-2,TR-000005,SHP-000005,DELIVERED,2023-12-28T00:00:00+00:00,LOC-P1-RAW,37.5,EA,COMPLETED
