record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,milestone_id,shipment_id,event_type,planned_at,actual_at,location,status,source_version
log-03-178027b45ab7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-16b5eb390804,MS-000001-01,SHP-000001,BOOKED,2026-02-17T00:00:00+00:00,2026-02-19T00:00:00+00:00,ORIGIN,COMPLETED,1
log-03-e7d00c2d778f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e374662d8930,MS-000001-02,SHP-000001,PICKED_UP,2026-02-20T00:00:00+00:00,2026-02-22T00:00:00+00:00,ORIGIN,COMPLETED,1
log-03-ee4fdcc01c66,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8e07f708ed44,MS-000001-03,SHP-000001,ETD,2026-02-22T00:00:00+00:00,2026-02-24T00:00:00+00:00,DESTINATION,COMPLETED,1
log-03-3d48e3ce3ac1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0e5b22794a91,MS-000001-04,SHP-000001,ETA,2026-03-15T00:00:00+00:00,2026-03-17T00:00:00+00:00,DESTINATION,COMPLETED,1
log-03-4ac25e87f3f7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-17432e1636f8,MS-000001-05,SHP-000001,ATA,2026-03-16T00:00:00+00:00,2026-03-18T00:00:00+00:00,DESTINATION,COMPLETED,1
log-03-ffec4d44cfcd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-61ca8d794340,MS-000001-06,SHP-000001,UNLOADED,2026-03-17T00:00:00+00:00,2026-03-19T00:00:00+00:00,DESTINATION,COMPLETED,1
log-03-2bc2a0cc7580,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4c68f05fa61e,MS-000002-01,SHP-000002,BOOKED,2026-03-08T00:00:00+00:00,2026-03-08T00:00:00+00:00,ORIGIN,COMPLETED,1
log-03-81d47bb742f1,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fe4ac4a9ea2a,MS-000002-02,SHP-000002,PICKED_UP,2026-03-13T00:00:00+00:00,2026-03-13T00:00:00+00:00,ORIGIN,COMPLETED,1
log-03-7df59c2c0f73,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-34234f85d787,MS-000002-03,SHP-000002,ETD,2026-03-15T00:00:00+00:00,2026-03-15T00:00:00+00:00,DESTINATION,COMPLETED,1
log-03-dbdee41c03dc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9899e0624213,MS-000002-04,SHP-000002,ETA,2026-04-08T00:00:00+00:00,2026-04-08T00:00:00+00:00,DESTINATION,COMPLETED,1
