record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,movement_id,movement_date,movement_type,material_id,lot_id,from_location_id,to_location_id,quantity,quantity_uom,reference_type,reference_id
inv-02-9a34bc171af0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0e3f953e41fe,MOV-BP-BP-GOLD-BATCH-0000001,2023-08-01,PRODUCTION_RECEIPT,BP-GOLD,LOT-BP-BP-GOLD-BATCH-0000001,PRODUCTION,LOC-P1-FG,0.038,KG,BATCH,BATCH-0000001
inv-02-50b11b9c967b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-19e0b558684b,MOV-BP-BP-GOLD-BATCH-0006001,2023-08-01,PRODUCTION_RECEIPT,BP-GOLD,LOT-BP-BP-GOLD-BATCH-0006001,PRODUCTION,LOC-P1-FG,0.041,KG,BATCH,BATCH-0006001
inv-02-2473bc83d490,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d972241acd15,MOV-BP-BP-H2SO4-BATCH-0000001,2023-08-01,PRODUCTION_RECEIPT,BP-H2SO4,LOT-BP-BP-H2SO4-BATCH-0000001,PRODUCTION,LOC-P1-FG,11.475,TON,BATCH,BATCH-0000001
inv-02-2b62bfa511b5,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e1af4009b09f,MOV-BP-BP-H2SO4-BATCH-0006001,2023-08-01,PRODUCTION_RECEIPT,BP-H2SO4,LOT-BP-BP-H2SO4-BATCH-0006001,PRODUCTION,LOC-P1-FG,12.285,TON,BATCH,BATCH-0006001
inv-02-16bfab5e647e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-25b59d1c1fb4,MOV-ISS-BATCH-0000001,2023-08-01,PRODUCTION_ISSUE,RM-CU-CONC,LOT-RM-000001,LOC-P1-RAW,PRODUCTION,-3.903,TON,BATCH,BATCH-0000001
inv-02-5a1069335bfa,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3fbfd0516b9c,MOV-ISS-BATCH-0004733,2023-08-01,PRODUCTION_ISSUE,RM-BLACKMASS,LOT-RM-004733,LOC-P2-RAW,PRODUCTION,-5.01,TON,BATCH,BATCH-0004733
inv-02-3b41997ea6fc,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e1538f193561,MOV-ISS-BATCH-0004733-2,2023-08-01,PRODUCTION_ISSUE,RM-H2SO4,LOT-RM-RM-H2SO4-BATCH-0004733,LOC-P2-RAW,PRODUCTION,-0.571,TON,BATCH,BATCH-0004733
inv-02-2e42eae17b6e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2e1dc07c4bef,MOV-ISS-BATCH-0004733-3,2023-08-01,PRODUCTION_ISSUE,RM-LIME,LOT-RM-RM-LIME-BATCH-0004733,LOC-P2-RAW,PRODUCTION,-0.238,TON,BATCH,BATCH-0004733
inv-02-04139c8cd050,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-82ac1c25bb50,MOV-ISS-BATCH-0006001,2023-08-01,PRODUCTION_ISSUE,RM-CU-CONC,LOT-RM-001001,LOC-P1-RAW,PRODUCTION,-4.116,TON,BATCH,BATCH-0006001
inv-02-e7e72378a319,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3b1c08787832,MOV-OPEN-00001,2023-08-01,OPENING,RM-CU-CONC,LOT-OPEN-00001,,LOC-P1-RAW,28568.156,TON,OPENING_BALANCE,DEMO-OPENING
inv-02-93e6c9055464,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-be8afb9d85e8,MOV-OPEN-00002,2023-08-01,OPENING,RM-MHP,LOT-OPEN-00002,,LOC-P2-RAW,29706.546,TON,OPENING_BALANCE,DEMO-OPENING
inv-02-2033e17c172e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3b345c06fd54,MOV-OPEN-00003,2023-08-01,OPENING,RM-BLACKMASS,LOT-OPEN-00003,,LOC-P2-RAW,29808.133,TON,OPENING_BALANCE,DEMO-OPENING
inv-02-f5bad622c334,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-55285b9381d8,MOV-OPEN-00004,2023-08-01,OPENING,RM-H2SO4,LOT-OPEN-00004,,LOC-P2-RAW,12295.47,TON,OPENING_BALANCE,DEMO-OPENING
inv-02-906cdd989565,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f2808fec5ead,MOV-OPEN-00005,2023-08-01,OPENING,RM-LIME,LOT-OPEN-00005,,LOC-P2-RAW,3634.016,TON,OPENING_BALANCE,DEMO-OPENING
