record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,node_id,node_type,code,name,parent_id,entity_mode,industry_code,effective_from,effective_to
fnd-01-59caac0393c4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-db85e404ef56,org-afs-demo-group,ENTERPRISE_GROUP,AFS_GROUP,AFS 데모소재그룹,,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-01c881b385c6,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-924b2508cdce,org-afs-metals,LEGAL_ENTITY,AFS_METALS,AFS 메탈 주식회사,org-afs-demo-group,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-748ed5ad49dd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a4f49f76ba3e,org-afs-metals-shared,SHARED_SERVICE,METALS_SHARED,AFS 메탈 전사공통,org-afs-metals,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-d7fd42248f5b,tenant-afs-demo-materials,org-afs-smelting-bu,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9664a5ce671d,org-afs-smelting-bu,BUSINESS_DIVISION,SMELTING_BU,제련사업부,org-afs-metals,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-de638a17b6a1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bd40dd372b45,plant-afs-smelting-01,PLANT,SMELTING_P1,제1공장(제련·정제),org-afs-smelting-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-29d4806ad26d,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-62d47158b3aa,org-afs-advanced,LEGAL_ENTITY,AFS_ADVANCED,AFS 첨단소재 주식회사,org-afs-demo-group,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-a02d54c513c7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-830276292596,org-afs-advanced-shared,SHARED_SERVICE,ADV_SHARED,AFS 첨단소재 전사공통,org-afs-advanced,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-6afb85b1583f,tenant-afs-demo-materials,org-afs-battery-bu,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-12babb03f53d,org-afs-battery-bu,BUSINESS_DIVISION,BATTERY_BU,배터리소재사업부,org-afs-advanced,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-6309e136e034,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-48a8d2021dbf,plant-afs-battery-02,PLANT,BATTERY_P2,제2공장(황산니켈),org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-023a1de8e7a1,tenant-afs-demo-materials,plant-afs-expansion-03,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cd4fafd0da78,plant-afs-expansion-03,PLANT,EXPANSION_P3,증설 제3공장,org-afs-battery-bu,VIRTUAL_EXPANSION,C24,2024-01-01,9999-12-31
fnd-01-015c49a9ebc0,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dc0c2cb6cbbf,dept-procurement,DEPARTMENT,PROC,원료구매팀,org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-6840472c1958,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-eb12598a1c51,dept-logistics,DEPARTMENT,LOG,물류팀,org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-695f8a14ba97,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0298cae4c282,dept-production,DEPARTMENT,MFG,생산관리팀,org-afs-battery-bu,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-31129d57ade7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-abcd3281b68a,dept-finance,DEPARTMENT,FIN,재무회계팀,org-afs-advanced-shared,VIRTUAL,C24,2024-01-01,9999-12-31
fnd-01-2df0e9d4af77,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e164bdea0b64,dept-management,DEPARTMENT,MGT,경영관리팀,org-afs-advanced-shared,VIRTUAL,C24,2024-01-01,9999-12-31
